Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Kansas,B12,37-3,34.39,116.7,82.3,69.9,0.012,9.71,106.0,96.3,1.98
2,Memphis,CUSA,38-2,30.78,114.0,83.2,71.1,0.012,6.57,104.0,97.4,7.83
3,North Carolina,ACC,36-3,29.56,118.2,88.6,75.7,0.05,10.27,104.8,94.5,2.9
4,UCLA,P10,35-4,29.27,113.9,84.6,67.3,0.047,10.87,106.4,95.5,1.84
5,Wisconsin,B10,31-5,26.24,109.8,83.6,64.2,0.043,8.15,104.0,95.9,3.64
6,Duke,ACC,28-6,25.84,112.2,86.4,75.1,-0.006,10.51,106.0,95.5,5.87
7,Georgetown,BE,28-6,24.96,110.7,85.7,63.8,0.029,8.94,105.0,96.1,0.05
8,Louisville,BE,27-9,24.9,109.4,84.5,68.4,-0.057,9.85,105.3,95.4,3.51
9,Texas,B12,31-7,24.52,116.2,91.7,67.4,0.046,10.93,105.4,94.4,3.18
10,Washington St,P10,26-9,23.77,111.1,87.4,61.7,-0.003,8.98,105.7,96.7,-4.61
11,Davidson,SC,29-7,23.01,112.8,89.8,69.1,-0.036,2.38,101.3,98.9,12.21
12,Stanford,P10,28-8,22.23,109.2,86.9,66.6,0.039,9.41,105.9,96.5,-3.74
13,Marquette,BE,25-10,21.74,110.7,88.9,70.3,-0.027,9.25,104.9,95.6,-1.66
14,Tennessee,SEC,31-5,21.73,112.4,90.6,73.5,0.11,9.73,106.1,96.3,8.77
15,Xavier,A10,30-7,21.61,113.4,91.8,66.8,0.054,7.51,105.1,97.6,5.65
16,Clemson,ACC,24-10,21.61,110.0,88.4,71.9,-0.045,9.98,106.2,96.2,2.4
17,Drake,MVC,28-5,20.86,115.2,94.3,66.4,0.012,4.82,102.2,97.4,0.68
18,West Virginia,BE,26-11,20.72,110.1,89.3,67.3,-0.017,9.33,105.2,95.9,-0.78
