Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
78,San Diego St,MWC,19-14,8.81,104.3,95.5,64.7,-0.101,0.82,104.8,104.0,-1.82
79,BYU,WCC,22-12,8.74,109.5,100.7,75.4,0.006,0.4,104.6,104.2,-1.68
80,Pittsburgh,ACC,16-17,8.71,112.7,104.0,65.3,0.044,10.49,111.2,100.7,0.22
81,Auburn,SEC,18-14,8.35,112.1,103.8,73.4,0.045,6.9,107.7,100.8,1.47
82,Monmouth NJ,MAAC,27-7,8.22,109.2,101.0,72.3,0.07,-2.89,103.7,106.6,1.93
83,Belmont,OVC,23-7,8.21,111.3,103.0,67.9,0.069,-1.24,104.2,105.4,3.75
84,New Mexico St,WAC,28-6,7.95,110.9,103.0,67.8,0.063,-4.43,101.3,105.7,-4.82
85,Davidson,A10,17-15,7.69,108.8,101.1,68.3,-0.031,4.3,107.2,102.9,1.93
86,Penn St,B10,15-18,7.52,104.9,97.4,70.3,-0.013,8.81,108.9,100.1,0.56
87,CS Bakersfield,WAC,24-9,7.51,100.4,92.9,66.9,0.0,-1.69,103.1,104.8,-1.13
88,Colorado St,MWC,24-12,7.47,108.8,101.3,66.6,0.024,1.15,104.5,103.3,-1.27
89,Col Charleston,CAA,25-10,7.3,106.5,99.2,64.4,0.054,0.05,106.1,106.1,0.15
90,St Bonaventure,A10,20-12,7.23,109.4,102.1,68.6,-0.026,0.12,105.0,104.9,-4.37
91,Richmond,A10,22-13,7.18,110.3,103.1,68.8,0.043,3.0,105.7,102.7,-1.72
92,Mississippi St,SEC,16-16,7.01,106.8,99.8,68.8,-0.032,5.12,106.4,101.3,-6.18
93,Louisiana Tech,CUSA,23-10,6.98,108.2,101.2,68.4,-0.062,-5.74,101.2,106.9,-6.3
94,Boise St,MWC,20-12,6.79,109.4,102.7,69.3,0.032,3.24,106.3,103.1,1.38
95,Connecticut,Amer,16-17,6.52,105.5,98.9,64.9,-0.047,5.73,107.7,102.0,5.22
96,Loyola-Chicago,MVC,18-14,6.44,109.2,102.8,65.6,-0.104,-0.42,103.7,104.1,-4.23
97,St John's,BE,14-19,6.34,109.3,103.0,73.1,-0.039,9.34,109.9,100.6,-2.65
98,Akron,MAC,27-9,6.19,112.9,106.7,66.1,0.084,-1.34,104.6,105.9,-5.09
99,Fresno St,MWC,20-13,6.08,104.8,98.7,68.3,-0.001,2.3,106.0,103.7,-2.36
100,Furman,SC,22-11,6.04,107.4,101.4,65.7,-0.006,-1.52,105.1,106.6,0.5
101,Oakland,Horz,25-9,5.95,105.2,99.3,71.8,-0.011,-3.96,103.2,107.1,-5.34
102,Memphis,Amer,19-13,5.95,107.2,101.2,68.3,0.026,1.64,105.0,103.3,-4.63
103,Valparaiso,Horz,24-9,5.87,106.7,100.8,67.0,0.069,-2.73,103.3,106.1,0.11
104,Stanford,P12,14-17,5.82,105.0,99.2,68.2,-0.008,8.51,110.5,101.9,6.07
105,Ohio,MAC,20-11,5.76,105.9,100.2,70.2,-0.072,-2.8,103.8,106.6,-6.77
