OriTeamName,AdjTeamName
North Carolina,North Carolina
Connecticut,Connecticut
Pittsburgh,Pittsburgh
Memphis,Memphis
Louisville,Louisville
Missouri,Missouri
Oklahoma,Oklahoma
Gonzaga,Gonzaga
Duke,Duke
Michigan St,Michigan St
West Virginia,West Virginia
UCLA,UCLA
Kansas,Kansas
Villanova,Villanova
Arizona St,Arizona St
Syracuse,Syracuse
Washington,Washington
Purdue,Purdue
Marquette,Marquette
Xavier,Xavier
BYU,BYU
Clemson,Clemson
Texas,Texas
Wake Forest,Wake Forest
Illinois,Illinois
Oklahoma St,Oklahoma St
USC,USC
Utah,Utah
Wisconsin,Wisconsin
California,California
Georgetown,Georgetown
Tennessee,Tennessee
Baylor,Baylor
Ohio St,Ohio St
Florida,Florida
San Diego St,San Diego St
Arizona,Arizona
Butler,Butler
Florida St,Florida St
Notre Dame,Notre Dame
Minnesota,Minnesota
New Mexico,New Mexico
Miami FL,Miami FL
Utah St,Utah St
Texas A&M,Texas A&M
LSU,LSU
Michigan,Michigan
Kentucky,Kentucky
Washington St,Washington St
Temple,Temple
Kansas St,Kansas St
Stanford,Stanford
UAB,UAB
VCU,VA Commonwealth
Maryland,Maryland
Saint Mary's,St Mary's CA
Penn St,Penn St
Tulsa,Tulsa
Auburn,Auburn
Illinois St,Illinois St
Rhode Island,Rhode Island
North Dakota St,N Dakota St
Nebraska,Nebraska
Davidson,Davidson
Northwestern,Northwestern
Cleveland St,Cleveland St
Siena,Siena
Creighton,Creighton
Mississippi St,Mississippi St
Houston,Houston
Virginia Tech,Virginia Tech
South Carolina,South Carolina
UNLV,UNLV
Boston College,Boston College
Niagara,Niagara
Seton Hall,Seton Hall
Dayton,Dayton
Providence,Providence
Green Bay,WI Green Bay
Vanderbilt,Vanderbilt
North Carolina St,NC State
UTEP,UTEP
Northern Iowa,Northern Iowa
Vermont,Vermont
Duquesne,Duquesne
Cincinnati,Cincinnati
Iowa,Iowa
Western Kentucky,WKU
George Mason,George Mason
Oral Roberts,Oral Roberts
Miami OH,Miami OH
Old Dominion,Old Dominion
Mississippi,Mississippi
Texas Tech,Texas Tech
Northeastern,Northeastern
Akron,Akron
Wright St,Wright St
Saint Joseph's,St Joseph's PA
Georgia Tech,Georgia Tech
Stephen F Austin,SF Austin
Alabama,Alabama
Oakland,Oakland
Nevada,Nevada
Virginia,Virginia
East Tennessee St,ETSU
La Salle,La Salle
Cal St Northridge,CS Northridge
Cornell,Cornell
Portland,Portland
Pacific,Pacific
Oregon St,Oregon St
American,American Univ
Iowa St,Iowa St
Richmond,Richmond
Weber St,Weber St
Belmont,Belmont
Tennessee Martin,TN Martin
Bradley,Bradley
Portland St,Portland St
Buffalo,Buffalo
St John's,St John's
Jacksonville,Jacksonville
Sam Houston St,Sam Houston St
Kent St,Kent
New Mexico St,New Mexico St
TCU,TCU
Arkansas,Arkansas
Evansville,Evansville
Illinois Chicago,IL Chicago
Wyoming,Wyoming
Murray St,Murray St
Drexel,Drexel
James Madison,James Madison
Wichita St,Wichita St
UCF,UCF
Massachusetts,Massachusetts
South Florida,South Florida
Santa Clara,Santa Clara
UT Arlington,UT Arlington
Charlotte,Charlotte
Bowling Green,Bowling Green
Drake,Drake
Saint Louis,St Louis
Mount St Mary's,Mt St Mary's
Robert Morris,Robert Morris
Southern Miss,Southern Miss
College of Charleston,Col Charleston
Arkansas Little Rock,Ark Little Rock
Rutgers,Rutgers
Boise St,Boise St
Eastern Kentucky,E Kentucky
Milwaukee,WI Milwaukee
Morgan St,Morgan St
Marshall,Marshall
North Texas,North Texas
Southern Illinois,S Illinois
Morehead St,Morehead St
Oregon,Oregon
Lipscomb,Lipscomb
Idaho,Idaho
San Diego,San Diego
Texas A&M Corpus Chris,TAM C. Christi
Louisiana Tech,Louisiana Tech
Middle Tennessee,MTSU
UC Santa Barbara,Santa Barbara
VMI,VMI
Nicholls St,Nicholls St
Long Beach St,Long Beach St
Ohio,Ohio
Hofstra,Hofstra
Montana,Montana
Boston University,Boston Univ
Fairfield,Fairfield
Tulane,Tulane
IUPUI,IUPUI
Radford,Radford
Binghamton,Binghamton
Colorado,Colorado
Rider,Rider
South Alabama,South Alabama
Troy,Troy
Holy Cross,Holy Cross
Colorado St,Colorado St
Austin Peay,Austin Peay
Utah Valley,Utah Valley
Sacred Heart,Sacred Heart
George Washington,G Washington
St Bonaventure,St Bonaventure
UTSA,UT San Antonio
Stony Brook,Stony Brook
Manhattan,Manhattan
Idaho St,Idaho St
San Jose St,San Jose St
Iona,Iona
The Citadel,Citadel
Missouri St,Missouri St
Liberty,Liberty
Georgia,Georgia
Southeastern Louisiana,SE Louisiana
Alabama St,Alabama St
Cal St Fullerton,CS Fullerton
Indiana St,Indiana St
Northern Colorado,N Colorado
SMU,SMU
Denver,Denver
DePaul,DePaul
Fresno St,Fresno St
Texas St,Texas St
Delaware,Delaware
Lamar,Lamar
Indiana,Indiana
Chattanooga,Chattanooga
South Dakota St,S Dakota St
Hawaii,Hawaii
East Carolina,East Carolina
Mercer,Mercer
IPFW,IPFW
UC Irvine,UC Irvine
UC Riverside,UC Riverside
UC Davis,UC Davis
Loyola MD,Loyola MD
Wofford,Wofford
Arkansas St,Arkansas St
Navy,Navy
Youngstown St,Youngstown St
Valparaiso,Valparaiso
Southern Utah,Southern Utah
Loyola Chicago,Loyola-Chicago
Georgia St,Georgia St
Air Force,Air Force
McNeese St,McNeese St
Gardner Webb,Gardner Webb
Chicago St,Chicago St
William & Mary,William & Mary
Rice,Rice
Montana St,Montana St
Canisius,Canisius
Tennessee Tech,Tennessee Tech
Ball St,Ball St
Western Carolina,W Carolina
Northern Arizona,Northern Arizona
Campbell,Campbell
LIU Brooklyn,Long Island
Yale,Yale
Albany,Albany NY
San Francisco,San Francisco
Jackson St,Jackson St
Western Michigan,W Michigan
Samford,Samford
Centenary,Centenary
Marist,Marist
Central Michigan,C Michigan
Eastern Washington,E Washington
