OriTeamName,AdjTeamName
Duke,Duke
Cincinnati,Cincinnati
Maryland,Maryland
Kansas,Kansas
Oklahoma,Oklahoma
Indiana,Indiana
Florida,Florida
Illinois,Illinois
Oregon,Oregon
Kentucky,Kentucky
Marquette,Marquette
USC,USC
Arizona,Arizona
Kent St,Kent
Stanford,Stanford
Pittsburgh,Pittsburgh
Ohio St,Ohio St
Connecticut,Connecticut
Notre Dame,Notre Dame
South Carolina,South Carolina
North Carolina St,NC State
Alabama,Alabama
Xavier,Xavier
Gonzaga,Gonzaga
Georgia,Georgia
Mississippi St,Mississippi St
Butler,Butler
Texas,Texas
Missouri,Missouri
Wake Forest,Wake Forest
Texas Tech,Texas Tech
Michigan St,Michigan St
Memphis,Memphis
Mississippi,Mississippi
UCLA,UCLA
Georgetown,Georgetown
California,California
Miami FL,Miami FL
Oklahoma St,Oklahoma St
Charlotte,Charlotte
Tulsa,Tulsa
Dayton,Dayton
Minnesota,Minnesota
Western Kentucky,WKU
Utah,Utah
Iowa,Iowa
Valparaiso,Valparaiso
Temple,Temple
Southern Illinois,S Illinois
Wisconsin,Wisconsin
Hawaii,Hawaii
Villanova,Villanova
Virginia,Virginia
Tennessee,Tennessee
Ball St,Ball St
Arkansas,Arkansas
Syracuse,Syracuse
Penn,Penn
Creighton,Creighton
Bowling Green,Bowling Green
Louisville,Louisville
Pepperdine,Pepperdine
BYU,BYU
Louisiana Tech,Louisiana Tech
UNC Wilmington,UNC Wilmington
LSU,LSU
Wyoming,Wyoming
Saint Joseph's,St Joseph's PA
Arizona St,Arizona St
Georgia Tech,Georgia Tech
Boston College,Boston College
Tennessee Tech,Tennessee Tech
South Florida,South Florida
San Diego St,San Diego St
Utah St,Utah St
St John's,St John's
UC Santa Barbara,Santa Barbara
St Bonaventure,St Bonaventure
College of Charleston,Col Charleston
Richmond,Richmond
UNLV,UNLV
Fresno St,Fresno St
Purdue,Purdue
Seton Hall,Seton Hall
Vanderbilt,Vanderbilt
Saint Louis,St Louis
Colorado,Colorado
Auburn,Auburn
East Tennessee St,ETSU
Northwestern,Northwestern
UC Irvine,UC Irvine
New Mexico,New Mexico
Milwaukee,WI Milwaukee
Providence,Providence
UAB,UAB
New Mexico St,New Mexico St
Pacific,Pacific
Arkansas Little Rock,Ark Little Rock
Washington,Washington
McNeese St,McNeese St
San Diego,San Diego
Detroit,Detroit
Houston,Houston
Nebraska,Nebraska
Rutgers,Rutgers
Baylor,Baylor
Louisiana Lafayette,ULL
SMU,SMU
Oral Roberts,Oral Roberts
UNC Greensboro,UNC Greensboro
TCU,TCU
Manhattan,Manhattan
Ohio,Ohio
Southwest Missouri St,Missouri St
Iowa St,Iowa St
Hampton,Hampton
Marist,Marist
Illinois Chicago,IL Chicago
Davidson,Davidson
Kansas St,Kansas St
Florida St,Florida St
VCU,VA Commonwealth
Nevada,Nevada
Oregon St,Oregon St
Colorado St,Colorado St
Loyola Chicago,Loyola-Chicago
Massachusetts,Massachusetts
Michigan,Michigan
Tulane,Tulane
Western Michigan,W Michigan
Montana St,Montana St
Clemson,Clemson
George Mason,George Mason
Wright St,Wright St
Georgia St,Georgia St
Georgia Southern,Ga Southern
North Carolina,North Carolina
Chattanooga,Chattanooga
Miami OH,Miami OH
Illinois St,Illinois St
Arkansas St,Arkansas St
Virginia Tech,Virginia Tech
Oakland,Oakland
Weber St,Weber St
Princeton,Princeton
La Salle,La Salle
Murray St,Murray St
Yale,Yale
