OriTeamName,AdjTeamName
Duke,Duke
Kansas,Kansas
Syracuse,Syracuse
Kentucky,Kentucky
Kansas St,Kansas St
West Virginia,West Virginia
Ohio St,Ohio St
Baylor,Baylor
Wisconsin,Wisconsin
BYU,BYU
Georgetown,Georgetown
Butler,Butler
Maryland,Maryland
California,California
Purdue,Purdue
Texas A&M,Texas A&M
Villanova,Villanova
Xavier,Xavier
Texas,Texas
Michigan St,Michigan St
Temple,Temple
Utah St,Utah St
Missouri,Missouri
Marquette,Marquette
Clemson,Clemson
Dayton,Dayton
Northern Iowa,Northern Iowa
Pittsburgh,Pittsburgh
Saint Mary's,St Mary's CA
Tennessee,Tennessee
Georgia Tech,Georgia Tech
Washington,Washington
Florida St,Florida St
Minnesota,Minnesota
Notre Dame,Notre Dame
Vanderbilt,Vanderbilt
Old Dominion,Old Dominion
Louisville,Louisville
Oklahoma St,Oklahoma St
UTEP,UTEP
San Diego St,San Diego St
UNLV,UNLV
New Mexico,New Mexico
Gonzaga,Gonzaga
Cornell,Cornell
Mississippi St,Mississippi St
Virginia Tech,Virginia Tech
Mississippi,Mississippi
Memphis,Memphis
Florida,Florida
Connecticut,Connecticut
Richmond,Richmond
Arizona St,Arizona St
Murray St,Murray St
Miami FL,Miami FL
VCU,VA Commonwealth
Illinois,Illinois
Wake Forest,Wake Forest
Siena,Siena
Rhode Island,Rhode Island
North Carolina,North Carolina
UAB,UAB
Alabama,Alabama
Wichita St,Wichita St
Wright St,Wright St
Seton Hall,Seton Hall
St John's,St John's
Cincinnati,Cincinnati
North Carolina St,NC State
Michigan,Michigan
Northeastern,Northeastern
Texas Tech,Texas Tech
Iowa St,Iowa St
Missouri St,Missouri St
Boston College,Boston College
Virginia,Virginia
USC,USC
South Florida,South Florida
Portland,Portland
Nevada,Nevada
Marshall,Marshall
Wofford,Wofford
Tulsa,Tulsa
Northwestern,Northwestern
South Carolina,South Carolina
Kent St,Kent
Houston,Houston
Arizona,Arizona
Illinois St,Illinois St
Georgia,Georgia
Providence,Providence
Colorado,Colorado
Nebraska,Nebraska
Ohio,Ohio
Montana,Montana
Charlotte,Charlotte
Pacific,Pacific
Saint Louis,St Louis
Southern Miss,Southern Miss
Sam Houston St,Sam Houston St
Weber St,Weber St
Morehead St,Morehead St
Penn St,Penn St
Auburn,Auburn
Oklahoma,Oklahoma
William & Mary,William & Mary
Stanford,Stanford
IUPUI,IUPUI
Appalachian St,Appalachian St
Harvard,Harvard
Iona,Iona
Louisiana Tech,Louisiana Tech
New Mexico St,New Mexico St
Bradley,Bradley
Creighton,Creighton
Washington St,Washington St
Fairfield,Fairfield
UCLA,UCLA
Arkansas,Arkansas
Princeton,Princeton
Akron,Akron
Southern Illinois,S Illinois
George Washington,G Washington
Utah,Utah
Northern Colorado,N Colorado
Detroit,Detroit
Western Kentucky,WKU
Niagara,Niagara
Oregon,Oregon
Hofstra,Hofstra
Milwaukee,WI Milwaukee
Belmont,Belmont
St Bonaventure,St Bonaventure
Boston University,Boston Univ
Oakland,Oakland
Vermont,Vermont
Indiana St,Indiana St
Western Michigan,W Michigan
Green Bay,WI Green Bay
Duquesne,Duquesne
Oral Roberts,Oral Roberts
Drexel,Drexel
Miami OH,Miami OH
Colorado St,Colorado St
Jacksonville,Jacksonville
Idaho,Idaho
SMU,SMU
Coastal Carolina,Coastal Car
East Tennessee St,ETSU
Oregon St,Oregon St
College of Charleston,Col Charleston
Cleveland St,Cleveland St
UC Santa Barbara,Santa Barbara
Long Beach St,Long Beach St
Western Carolina,W Carolina
Morgan St,Morgan St
Buffalo,Buffalo
Stephen F Austin,SF Austin
Rutgers,Rutgers
La Salle,La Salle
Boise St,Boise St
George Mason,George Mason
Campbell,Campbell
Middle Tennessee,MTSU
Fresno St,Fresno St
UCF,UCF
Massachusetts,Massachusetts
Loyola Marymount,Loy Marymount
Drake,Drake
DePaul,DePaul
Texas A&M Corpus Chris,TAM C. Christi
Saint Joseph's,St Joseph's PA
Lipscomb,Lipscomb
Iowa,Iowa
North Texas,North Texas
Saint Peter's,St Peter's
Troy,Troy
Seattle,Seattle
Eastern Kentucky,E Kentucky
San Jose St,San Jose St
Mount St Mary's,Mt St Mary's
TCU,TCU
Valparaiso,Valparaiso
Portland St,Portland St
Lehigh,Lehigh
Quinnipiac,Quinnipiac
Robert Morris,Robert Morris
Stony Brook,Stony Brook
Davidson,Davidson
Eastern Michigan,E Michigan
LSU,LSU
Rider,Rider
Denver,Denver
Indiana,Indiana
Montana St,Montana St
Central Michigan,C Michigan
The Citadel,Citadel
UTSA,UT San Antonio
Manhattan,Manhattan
Bowling Green,Bowling Green
Arkansas St,Arkansas St
Canisius,Canisius
Southeastern Louisiana,SE Louisiana
