Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Kentucky,SEC,38-2,32.55,119.6,87.1,67.2,0.033,8.7,105.4,96.7,2.81
2,Ohio St,B10,31-8,30.04,115.5,85.5,67.8,-0.049,11.2,107.7,96.5,0.97
3,Michigan St,B10,29-8,27.81,112.1,84.2,65.8,-0.027,11.15,107.3,96.1,2.48
4,Kansas,B12,32-7,26.87,111.4,84.6,68.2,0.028,11.51,107.1,95.6,7.72
5,Syracuse,BE,34-3,26.04,115.1,89.1,65.9,0.061,9.27,105.9,96.6,2.39
6,North Carolina,ACC,32-6,25.44,113.4,88.0,72.6,0.017,8.37,105.9,97.5,4.6
7,Missouri,B12,30-5,25.28,122.4,97.1,67.1,0.017,6.74,104.4,97.6,-2.72
8,Wisconsin,B10,26-10,24.03,111.1,87.1,59.7,-0.017,9.76,106.3,96.6,-0.03
9,Indiana,B10,27-9,22.53,117.5,95.0,68.0,0.007,9.47,106.1,96.7,-1.26
10,Florida,SEC,26-11,22.47,117.8,95.3,65.8,-0.044,8.3,104.2,95.9,1.87
11,Wichita St,MVC,27-6,22.36,113.4,91.1,67.4,-0.016,4.58,103.7,99.1,5.39
12,Memphis,CUSA,26-9,21.88,111.4,89.6,68.7,-0.063,6.59,103.9,97.3,9.27
13,Baylor,B12,30-8,21.25,113.4,92.1,67.6,0.058,10.02,106.6,96.5,0.0
14,St Louis,A10,26-8,21.24,109.3,88.0,64.2,-0.055,4.95,103.5,98.5,-0.56
15,Georgetown,BE,24-9,21.04,108.5,87.5,64.1,-0.014,9.26,106.0,96.7,3.09
16,Vanderbilt,SEC,25-11,20.9,112.9,92.0,66.3,-0.048,9.48,106.5,97.0,6.03
17,Louisville,BE,30-10,20.66,103.6,83.0,67.9,0.031,11.18,107.4,96.2,4.42
18,Marquette,BE,27-8,20.2,108.8,88.6,71.7,0.042,8.9,105.1,96.2,1.33
19,Duke,ACC,27-7,19.67,114.9,95.2,68.5,0.058,9.37,106.1,96.7,10.13
20,New Mexico,MWC,28-7,19.43,108.2,88.7,67.2,0.003,3.02,102.3,99.3,-2.76
21,Gonzaga,WCC,26-7,18.37,110.4,92.0,67.0,-0.019,3.29,103.7,100.4,4.39
22,Michigan,B10,24-10,17.5,111.5,94.0,62.0,0.058,10.97,107.3,96.4,1.52
23,Kansas St,B12,22-11,17.49,107.2,89.7,68.0,-0.024,8.81,105.7,96.9,-0.42
24,Florida St,ACC,25-10,17.11,104.8,87.7,68.1,0.035,8.67,105.7,97.0,4.37
25,Belmont,ASun,27-8,16.91,114.3,97.4,69.3,-0.016,-0.59,101.4,102.0,3.43
26,Alabama,SEC,21-12,16.67,103.4,86.7,63.8,-0.066,7.82,106.0,98.2,5.94
27,Iowa St,B12,23-11,16.64,111.1,94.5,67.8,-0.004,8.24,105.7,97.5,-0.83
28,Creighton,MVC,29-6,16.47,116.6,100.1,67.7,0.079,3.93,103.2,99.2,0.59
29,California,P12,24-10,16.32,108.5,92.2,67.4,-0.008,4.71,103.3,98.6,1.69
30,Purdue,B10,22-13,16.25,113.4,97.1,65.9,-0.003,9.6,107.0,97.4,0.46
31,Cincinnati,BE,26-11,15.99,106.9,90.9,64.7,0.024,7.56,104.2,96.6,-5.49
32,Texas,B12,20-14,15.87,110.2,94.3,67.2,-0.066,9.52,106.6,97.1,2.11
33,Virginia,ACC,22-10,15.86,102.4,86.5,61.5,-0.025,4.67,103.5,98.9,-3.71
34,St Mary's CA,WCC,27-6,15.46,111.7,96.2,65.0,0.037,0.78,102.6,101.8,-0.07
35,Murray St,OVC,31-2,15.37,105.9,90.5,67.1,0.032,-2.47,101.0,103.5,3.78
36,Long Beach St,BW,25-9,15.29,108.9,93.6,68.2,-0.046,0.58,101.9,101.3,12.17
37,UNLV,MWC,26-9,14.96,106.5,91.5,69.9,0.006,4.45,103.1,98.7,1.2
38,Connecticut,BE,20-14,14.49,108.6,94.1,64.9,-0.034,9.36,106.1,96.8,3.11
39,Temple,A10,24-8,14.47,110.6,96.1,68.2,0.055,5.92,104.6,98.7,5.6
40,Stanford,P12,26-11,14.35,104.2,89.8,69.0,-0.018,3.98,103.1,99.1,-1.63
41,Harvard,Ivy,26-5,14.34,106.1,91.8,62.2,0.027,-1.78,99.1,100.9,-1.05
42,NC State,ACC,24-13,14.19,109.4,95.2,68.6,-0.004,7.51,104.7,97.2,4.82
43,Notre Dame,BE,22-12,14.19,108.1,93.9,62.0,0.032,7.74,105.0,97.2,-0.71
44,Drexel,CAA,29-7,13.53,107.3,93.8,62.1,0.025,-1.73,99.0,100.8,-2.6
45,West Virginia,BE,19-14,13.49,108.7,95.2,65.5,-0.019,9.21,106.0,96.8,4.75
46,VA Commonwealth,CAA,29-7,13.48,104.3,90.8,66.4,0.025,0.89,100.3,99.4,2.24
47,South Florida,BE,22-14,13.12,101.2,88.1,60.4,0.041,8.53,105.6,97.1,2.58
48,Miami FL,ACC,20-13,13.12,108.3,95.2,66.0,-0.037,6.32,103.9,97.6,2.85
49,MTSU,SB,27-7,12.88,105.8,92.9,67.5,-0.003,-0.19,101.3,101.5,3.65
50,BYU,WCC,26-9,12.75,103.6,90.8,74.1,0.02,1.63,103.5,101.9,1.47
51,Arizona,P12,23-12,12.74,104.8,92.1,66.2,-0.05,4.67,103.9,99.2,3.51
52,Minnesota,B10,23-15,12.73,105.8,93.1,65.3,0.016,8.97,106.4,97.4,-0.57
53,Xavier,A10,23-13,12.63,106.0,93.4,68.0,0.03,7.92,105.9,98.0,6.4
54,Iona,MAAC,25-8,12.24,112.7,100.5,71.9,-0.01,-1.63,100.5,102.1,3.65
55,Seton Hall,BE,21-13,12.2,104.0,91.8,66.8,0.001,6.81,104.8,98.0,-0.72
56,Washington,P12,24-11,11.9,106.8,95.0,71.2,0.025,5.51,104.5,99.0,2.96
57,Ohio,MAC,29-8,11.87,103.9,92.0,67.6,0.021,1.11,101.9,100.8,-2.03
58,St Bonaventure,A10,20-12,11.84,107.9,96.1,65.3,-0.024,3.57,102.9,99.4,-0.45
59,UCLA,P12,19-14,11.83,106.1,94.2,66.2,-0.073,5.1,102.9,97.8,2.96
60,Oregon,P12,24-10,11.79,111.5,99.7,68.8,0.04,4.87,102.8,98.0,0.57
61,S Dakota St,Sum,27-8,11.67,110.9,99.2,66.5,0.031,-2.1,101.3,103.4,0.49
62,La Salle,A10,21-13,11.51,104.6,93.1,69.5,-0.096,2.73,103.0,100.3,-3.35
63,Tennessee,SEC,19-15,11.37,103.9,92.5,66.2,-0.04,7.51,105.8,98.3,2.26
64,Pittsburgh,BE,22-17,11.33,110.7,99.4,63.8,-0.037,7.24,104.9,97.7,0.35
65,New Mexico St,WAC,26-10,11.22,106.6,95.4,70.8,-0.041,-0.52,101.8,102.3,0.03
66,San Diego St,MWC,26-8,11.13,104.1,93.0,67.5,0.06,4.09,103.4,99.3,-1.28
67,St Joseph's PA,A10,20-14,10.91,107.7,96.8,66.8,-0.053,5.51,104.4,98.9,3.76
68,Southern Miss,CUSA,25-9,10.81,108.5,97.6,65.5,0.041,4.31,102.8,98.5,2.04
69,Dayton,A10,20-13,10.76,110.4,99.7,66.0,-0.015,5.33,103.4,98.1,2.97
70,Davidson,SC,25-8,10.7,109.4,98.7,69.1,0.008,-3.05,99.7,102.8,9.05
71,Akron,MAC,22-12,10.64,105.6,94.9,68.3,-0.02,2.11,102.5,100.4,2.81
72,Northwestern,B10,19-14,10.5,112.0,101.5,64.2,0.048,9.18,106.0,96.8,0.64
73,Denver,SB,22-9,10.37,108.1,97.7,62.1,-0.072,-2.13,100.0,102.2,1.27
74,Massachusetts,A10,25-12,9.81,103.4,93.6,74.7,0.055,3.86,103.2,99.4,-3.04
75,Northern Iowa,MVC,20-14,9.53,104.2,94.7,63.6,0.002,5.55,104.9,99.4,5.32
76,Illinois,B10,17-15,9.45,101.4,92.0,65.7,-0.007,9.51,107.7,98.2,0.98
77,Mississippi St,SEC,21-12,9.34,109.0,99.6,65.8,0.006,5.09,103.4,98.3,-0.28
78,Lehigh,Pat,27-8,9.32,105.9,96.6,69.2,-0.026,-6.5,98.0,104.5,-7.58
79,Marshall,CUSA,21-14,9.27,106.7,97.4,66.9,0.025,6.3,104.4,98.1,6.34
80,Cleveland St,Horz,22-11,9.24,102.8,93.5,65.5,0.007,0.98,100.8,99.8,3.68
81,Colorado,P12,24-12,8.83,102.1,93.3,66.7,0.082,5.86,104.2,98.3,1.8
82,Clemson,ACC,16-15,8.65,102.7,94.1,64.4,-0.107,2.62,101.4,98.8,-3.85
83,Virginia Tech,ACC,16-17,8.63,104.0,95.4,63.7,-0.094,6.76,104.0,97.3,2.93
84,Georgia St,CAA,22-12,8.59,99.4,90.8,65.7,-0.075,-3.32,99.6,102.9,-7.14
85,Villanova,BE,13-19,8.49,106.4,97.9,68.7,-0.097,9.3,105.5,96.2,3.36
86,Missouri St,MVC,16-16,8.21,102.6,94.4,64.2,-0.094,4.56,104.1,99.5,3.75
87,Oregon St,P12,21-15,8.21,108.3,100.1,71.5,-0.059,3.7,102.9,99.2,-4.83
88,Colorado St,MWC,20-12,8.15,109.1,101.0,65.3,0.075,4.98,103.2,98.2,2.26
89,Bucknell,Pat,25-10,8.14,104.8,96.6,64.8,0.009,-3.1,99.7,102.8,1.09
90,Oral Roberts,Sum,27-7,8.08,109.0,100.9,64.9,0.063,-1.68,101.2,102.9,1.82
91,Wyoming,MWC,21-12,8.01,99.0,91.0,62.2,-0.032,0.76,102.1,101.3,-6.87
92,Buffalo,MAC,20-11,7.93,104.7,96.8,69.1,-0.001,1.41,102.2,100.8,2.04
93,Illinois St,MVC,21-14,7.77,106.6,98.8,65.3,0.003,3.03,102.9,99.9,-4.49
94,Mississippi,SEC,20-14,7.75,101.9,94.2,67.2,0.065,6.36,104.0,97.7,1.29
95,Tulsa,CUSA,17-14,7.71,103.4,95.7,65.5,-0.073,2.71,102.1,99.4,2.92
96,Mercer,ASun,27-11,7.67,102.4,94.8,65.9,0.02,-1.24,101.0,102.2,-1.17
97,Oklahoma St,B12,15-18,7.58,104.3,96.7,66.9,-0.017,10.4,106.3,95.9,4.75
98,LSU,SEC,18-15,7.34,99.0,91.6,67.1,0.019,5.59,104.1,98.5,-1.39
99,Washington St,P12,19-18,7.32,107.1,99.8,64.5,-0.057,3.82,103.4,99.6,-4.65
100,Princeton,Ivy,20-12,7.27,104.9,97.6,64.2,-0.017,-0.42,100.4,100.8,1.09
101,Wagner,NEC,25-6,7.16,102.0,94.8,68.9,0.015,-5.58,98.7,104.3,0.18
102,Iowa,B10,18-17,7.12,108.8,101.7,68.6,0.01,7.86,106.0,98.2,-4.93
103,UCF,CUSA,22-11,7.07,103.8,96.7,64.6,0.095,3.56,102.4,98.8,-1.66
104,Montana,BSky,25-7,6.78,100.9,94.1,66.3,0.065,-4.73,101.0,105.7,-0.12
105,Oklahoma,B12,15-16,6.6,102.7,96.1,68.2,-0.019,7.71,106.1,98.4,-2.9
106,Nevada,WAC,28-7,6.49,103.2,96.7,66.4,0.128,-1.46,101.1,102.5,-3.82
107,Santa Barbara,BW,20-11,6.37,108.5,102.1,65.2,-0.008,-1.95,100.8,102.7,4.98
108,Lamar,Slnd,23-12,6.37,104.8,98.4,68.0,-0.027,-4.44,97.5,101.9,3.18
109,Richmond,A10,16-16,6.1,106.5,100.4,65.1,-0.047,3.77,103.0,99.3,0.81
110,George Mason,CAA,24-9,6.08,101.4,95.3,68.8,0.048,-1.63,99.5,101.1,-2.4
111,Old Dominion,CAA,22-14,6.03,99.2,93.2,66.2,-0.005,1.07,101.5,100.4,5.82
112,Georgia,SEC,15-17,5.95,101.8,95.9,62.7,0.032,9.02,105.7,96.7,3.76
113,Fairfield,MAAC,22-15,5.65,98.0,92.3,66.0,-0.066,-0.81,101.1,101.9,3.1
114,Detroit,Horz,22-14,5.48,105.4,99.9,68.5,-0.006,0.49,100.5,100.0,1.79
115,UNC Asheville,BSth,24-10,5.48,107.8,102.3,70.1,0.001,-4.03,100.1,104.1,6.43
116,Butler,Horz,22-15,5.31,97.0,91.7,65.8,0.021,1.82,101.5,99.7,7.03
117,Kent,MAC,21-12,5.26,102.8,97.5,68.6,0.005,-0.05,100.4,100.5,-2.33
118,Vermont,AE,24-12,5.18,102.4,97.3,63.9,-0.022,-5.87,97.1,103.0,-1.35
