OriTeamName,AdjTeamName
Kentucky,Kentucky
Wisconsin,Wisconsin
Duke,Duke
Arizona,Arizona
Villanova,Villanova
Virginia,Virginia
Gonzaga,Gonzaga
Utah,Utah
Notre Dame,Notre Dame
North Carolina,North Carolina
Oklahoma,Oklahoma
Kansas,Kansas
Wichita St,Wichita St
Baylor,Baylor
Michigan St,Michigan St
Iowa St,Iowa St
Louisville,Louisville
Northern Iowa,Northern Iowa
Ohio St,Ohio St
Butler,Butler
Xavier,Xavier
Georgetown,Georgetown
Iowa,Iowa
Texas,Texas
West Virginia,West Virginia
SMU,SMU
Providence,Providence
BYU,BYU
Arkansas,Arkansas
VCU,VA Commonwealth
San Diego St,San Diego St
North Carolina St,NC State
Maryland,Maryland
Florida,Florida
Georgia,Georgia
Vanderbilt,Vanderbilt
Davidson,Davidson
Oklahoma St,Oklahoma St
Stanford,Stanford
UCLA,UCLA
Miami FL,Miami FL
Dayton,Dayton
Cincinnati,Cincinnati
Purdue,Purdue
Oregon,Oregon
Mississippi,Mississippi
Boise St,Boise St
Indiana,Indiana
LSU,LSU
St John's,St John's
Stephen F Austin,SF Austin
Minnesota,Minnesota
Syracuse,Syracuse
Texas A&M,Texas A&M
Alabama,Alabama
TCU,TCU
Murray St,Murray St
Buffalo,Buffalo
Richmond,Richmond
Illinois,Illinois
Rhode Island,Rhode Island
Illinois St,Illinois St
South Carolina,South Carolina
Arizona St,Arizona St
Valparaiso,Valparaiso
Temple,Temple
Saint Mary's,St Mary's CA
Georgia St,Georgia St
Old Dominion,Old Dominion
George Washington,G Washington
Green Bay,WI Green Bay
Colorado St,Colorado St
Connecticut,Connecticut
Michigan,Michigan
Harvard,Harvard
Louisiana Tech,Louisiana Tech
Yale,Yale
Pittsburgh,Pittsburgh
Creighton,Creighton
Kansas St,Kansas St
Central Michigan,C Michigan
Penn St,Penn St
Seton Hall,Seton Hall
Clemson,Clemson
Tulsa,Tulsa
Georgia Tech,Georgia Tech
Memphis,Memphis
Toledo,Toledo
Cleveland St,Cleveland St
Tennessee,Tennessee
Colorado,Colorado
UC Irvine,UC Irvine
Marquette,Marquette
South Dakota St,S Dakota St
Sam Houston St,Sam Houston St
Wofford,Wofford
UTEP,UTEP
New Mexico St,New Mexico St
Florida St,Florida St
Iona,Iona
UNLV,UNLV
UC Davis,UC Davis
North Carolina Central,NC Central
La Salle,La Salle
UC Santa Barbara,Santa Barbara
Oregon St,Oregon St
San Diego,San Diego
Akron,Akron
Wyoming,Wyoming
Boston College,Boston College
Hofstra,Hofstra
California,California
St Bonaventure,St Bonaventure
Evansville,Evansville
Bowling Green,Bowling Green
William & Mary,William & Mary
Northeastern,Northeastern
Washington,Washington
Kent St,Kent
Wake Forest,Wake Forest
Nebraska,Nebraska
Northwestern,Northwestern
Vermont,Vermont
Utah St,Utah St
Massachusetts,Massachusetts
Pepperdine,Pepperdine
Hawaii,Hawaii
Louisiana Lafayette,ULL
Eastern Kentucky,E Kentucky
Stony Brook,Stony Brook
Albany,Albany NY
Eastern Washington,E Washington
Loyola Chicago,Loyola-Chicago
Portland,Portland
Long Beach St,Long Beach St
UAB,UAB
New Mexico,New Mexico
Eastern Michigan,E Michigan
Auburn,Auburn
Coastal Carolina,Coastal Car
Western Kentucky,WKU
Belmont,Belmont
North Florida,North Florida
San Francisco,San Francisco
High Point,High Point
Charlotte,Charlotte
Georgia Southern,Ga Southern
Tennessee Martin,TN Martin
Canisius,Canisius
DePaul,DePaul
USC,USC
North Dakota St,N Dakota St
Cal Poly,Cal Poly SLO
Morehead St,Morehead St
Texas Tech,Texas Tech
Western Michigan,W Michigan
Middle Tennessee,MTSU
St Francis NY,St Francis NY
Princeton,Princeton
Mississippi St,Mississippi St
Manhattan,Manhattan
Saint Joseph's,St Joseph's PA
Rider,Rider
Columbia,Columbia
Montana,Montana
Chattanooga,Chattanooga
Oakland,Oakland
Dartmouth,Dartmouth
Indiana St,Indiana St
Louisiana Monroe,ULM
Radford,Radford
NJIT,NJIT
IPFW,IPFW
UNC Wilmington,UNC Wilmington
Virginia Tech,Virginia Tech
Winthrop,Winthrop
Quinnipiac,Quinnipiac
Northern Arizona,Northern Arizona
Colgate,Colgate
USC Upstate,SC Upstate
Northern Illinois,N Illinois
Detroit,Detroit
Monmouth,Monmouth NJ
Robert Morris,Robert Morris
Mercer,Mercer
Washington St,Washington St
Saint Peter's,St Peter's
American,American Univ
New Hampshire,New Hampshire
Florida Gulf Coast,FL Gulf Coast
Norfolk St,Norfolk St
Missouri,Missouri
Lafayette,Lafayette
Santa Clara,Santa Clara
Charleston Southern,Charleston So
Sacramento St,CS Sacramento
UT Arlington,UT Arlington
Rutgers,Rutgers
James Madison,James Madison
Lehigh,Lehigh
Bucknell,Bucknell
Cornell,Cornell
Fresno St,Fresno St
Air Force,Air Force
George Mason,George Mason
Oral Roberts,Oral Roberts
Maryland Eastern Shore,MD E Shore
Fordham,Fordham
UTSA,UT San Antonio
Rice,Rice
Milwaukee,WI Milwaukee
Gardner Webb,Gardner Webb
Houston,Houston
Texas Southern,TX Southern
Miami OH,Miami OH
UC Riverside,UC Riverside
East Tennessee St,ETSU
Duquesne,Duquesne
South Dakota,South Dakota
Tulane,Tulane
St Francis PA,St Francis PA
Denver,Denver
Southern Illinois,S Illinois
East Carolina,East Carolina
Eastern Illinois,E Illinois
Mount St Mary's,Mt St Mary's
Incarnate Word,Incarnate Word
Texas A&M Corpus Chris,TAM C. Christi
Northwestern St,Northwestern LA
Texas St,Texas St
Idaho,Idaho
Ohio,Ohio
Southeast Missouri St,SE Missouri St
Western Carolina,W Carolina
Arkansas Little Rock,Ark Little Rock
Bryant,Bryant
UNC Asheville,UNC Asheville
Sacred Heart,Sacred Heart
Boston University,Boston Univ
Pacific,Pacific
Cal St Bakersfield,CS Bakersfield
Holy Cross,Holy Cross
Wright St,Wright St
Seattle,Seattle
North Texas,North Texas
Northern Kentucky,N Kentucky
Tennessee Tech,Tennessee Tech
SIU Edwardsville,Edwardsville
Elon,Elon
Drexel,Drexel
Hampton,Hampton
Northern Colorado,N Colorado
Army,Army
Bradley,Bradley
Missouri St,Missouri St
Nebraska Omaha,NE Omaha
Ball St,Ball St
Portland St,Portland St
Howard,Howard
Delaware,Delaware
Marshall,Marshall
Delaware St,Delaware St
Siena,Siena
Grand Canyon,Grand Canyon
Alabama St,Alabama St
Brown,Brown
Weber St,Weber St
Towson,Towson
Cal St Northridge,CS Northridge
FIU,Florida Intl
Nevada,Nevada
Loyola Marymount,Loy Marymount
Youngstown St,Youngstown St
Lamar,Lamar
Drake,Drake
Navy,Navy
South Florida,South Florida
Southern,Southern Univ
College of Charleston,Col Charleston
IUPUI,IUPUI
Illinois Chicago,IL Chicago
UCF,UCF
Hartford,Hartford
Appalachian St,Appalachian St
UNC Greensboro,UNC Greensboro
UMKC,Missouri KC
Troy,Troy
LIU Brooklyn,Long Island
Saint Louis,St Louis
Florida Atlantic,FL Atlantic
Penn,Penn
Cal St Fullerton,CS Fullerton
Samford,Samford
VMI,VMI
Arkansas St,Arkansas St
Fairfield,Fairfield
South Alabama,South Alabama
Lipscomb,Lipscomb
Niagara,Niagara
McNeese St,McNeese St
Campbell,Campbell
Prairie View A&M,Prairie View
UMass Lowell,MA Lowell
Wagner,Wagner
Marist,Marist
Southeastern Louisiana,SE Louisiana
Loyola MD,Loyola MD
Southern Utah,Southern Utah
Furman,Furman
New Orleans,New Orleans
Jacksonville St,Jacksonville St
Jackson St,Jackson St
Idaho St,Idaho St
North Dakota,North Dakota
Longwood,Longwood
Southern Miss,Southern Miss
Austin Peay,Austin Peay
Houston Baptist,Houston Bap
Fairleigh Dickinson,F Dickinson
Montana St,Montana St
Utah Valley,Utah Valley
Binghamton,Binghamton
Western Illinois,W Illinois
Arkansas Pine Bluff,Ark Pine Bluff
Coppin St,Coppin St
Presbyterian,Presbyterian
Chicago St,Chicago St
Nicholls St,Nicholls St
The Citadel,Citadel
Bethune Cookman,Bethune-Cookman
South Carolina St,S Carolina St
Liberty,Liberty
Morgan St,Morgan St
Tennessee St,Tennessee St
Texas Pan American,UTRGV
Alabama A&M,Alabama A&M
North Carolina A&T,NC A&T
Savannah St,Savannah St
Stetson,Stetson
Jacksonville,Jacksonville
Abilene Christian,Abilene Chr
Kennesaw St,Kennesaw
UMBC,UMBC
Central Connecticut,Central Conn
Maine,Maine
Alcorn St,Alcorn St
San Jose St,San Jose St
Mississippi Valley St,MS Valley St
Central Arkansas,Cent Arkansas
Florida A&M,Florida A&M
Grambling St,Grambling
