OriTeamName,AdjTeamName
Gonzaga,Gonzaga
Villanova,Villanova
Florida,Florida
North Carolina,North Carolina
Kentucky,Kentucky
West Virginia,West Virginia
Kansas,Kansas
Wichita St,Wichita St
Louisville,Louisville
Baylor,Baylor
SMU,SMU
Purdue,Purdue
Virginia,Virginia
UCLA,UCLA
Duke,Duke
Oregon,Oregon
Saint Mary's,St Mary's CA
Arizona,Arizona
Iowa St,Iowa St
Michigan,Michigan
Wisconsin,Wisconsin
Cincinnati,Cincinnati
Oklahoma St,Oklahoma St
Butler,Butler
Florida St,Florida St
Notre Dame,Notre Dame
Creighton,Creighton
South Carolina,South Carolina
Kansas St,Kansas St
Xavier,Xavier
Marquette,Marquette
Vanderbilt,Vanderbilt
Wake Forest,Wake Forest
Rhode Island,Rhode Island
Minnesota,Minnesota
Arkansas,Arkansas
Northwestern,Northwestern
TCU,TCU
Michigan St,Michigan St
Dayton,Dayton
Miami FL,Miami FL
Middle Tennessee,MTSU
Texas Tech,Texas Tech
Indiana,Indiana
Maryland,Maryland
Clemson,Clemson
VCU,VA Commonwealth
Utah,Utah
Illinois St,Illinois St
Virginia Tech,Virginia Tech
Houston,Houston
Seton Hall,Seton Hall
USC,USC
Syracuse,Syracuse
Nevada,Nevada
Alabama,Alabama
Princeton,Princeton
UNC Wilmington,UNC Wilmington
Providence,Providence
Tennessee,Tennessee
Georgia,Georgia
California,California
Vermont,Vermont
UCF,UCF
Illinois,Illinois
East Tennessee St,ETSU
Oklahoma,Oklahoma
Texas A&M,Texas A&M
Georgetown,Georgetown
Iowa,Iowa
UT Arlington,UT Arlington
Ohio St,Ohio St
Texas,Texas
Colorado,Colorado
Mississippi,Mississippi
Bucknell,Bucknell
Georgia Tech,Georgia Tech
San Diego St,San Diego St
BYU,BYU
Pittsburgh,Pittsburgh
Auburn,Auburn
Monmouth,Monmouth NJ
Belmont,Belmont
New Mexico St,New Mexico St
Davidson,Davidson
Cal St Bakersfield,CS Bakersfield
Penn St,Penn St
Colorado St,Colorado St
College of Charleston,Col Charleston
St Bonaventure,St Bonaventure
Richmond,Richmond
Mississippi St,Mississippi St
Louisiana Tech,Louisiana Tech
Boise St,Boise St
Connecticut,Connecticut
Loyola Chicago,Loyola-Chicago
St John's,St John's
Akron,Akron
Fresno St,Fresno St
Furman,Furman
Memphis,Memphis
Oakland,Oakland
Stanford,Stanford
Valparaiso,Valparaiso
Ohio,Ohio
Nebraska,Nebraska
UNC Asheville,UNC Asheville
Florida Gulf Coast,FL Gulf Coast
Saint Peter's,St Peter's
North Carolina St,NC State
Winthrop,Winthrop
San Francisco,San Francisco
Harvard,Harvard
Chattanooga,Chattanooga
Towson,Towson
Lehigh,Lehigh
Temple,Temple
Iona,Iona
UNC Greensboro,UNC Greensboro
Old Dominion,Old Dominion
New Mexico,New Mexico
George Mason,George Mason
Buffalo,Buffalo
Arkansas St,Arkansas St
Santa Clara,Santa Clara
Arizona St,Arizona St
Toledo,Toledo
Albany,Albany NY
Georgia St,Georgia St
George Washington,G Washington
Rutgers,Rutgers
William & Mary,William & Mary
Missouri St,Missouri St
Utah St,Utah St
Troy,Troy
Elon,Elon
Northern Kentucky,N Kentucky
UC Irvine,UC Irvine
La Salle,La Salle
Wyoming,Wyoming
Wofford,Wofford
Kent St,Kent
Fort Wayne,IPFW
South Dakota,South Dakota
Mercer,Mercer
Tulsa,Tulsa
Louisiana Lafayette,ULL
Utah Valley,Utah Valley
Eastern Michigan,E Michigan
Marshall,Marshall
Southern Illinois,S Illinois
Yale,Yale
Grand Canyon,Grand Canyon
Evansville,Evansville
Rice,Rice
Northeastern,Northeastern
Massachusetts,Massachusetts
Jacksonville St,Jacksonville St
Tennessee St,Tennessee St
Samford,Samford
North Carolina Central,NC Central
Missouri,Missouri
Western Michigan,W Michigan
North Dakota St,N Dakota St
Wright St,Wright St
Lipscomb,Lipscomb
Washington,Washington
North Dakota,North Dakota
Northern Iowa,Northern Iowa
Texas St,Texas St
Penn,Penn
Nebraska Omaha,NE Omaha
Boston College,Boston College
Loyola Marymount,Loy Marymount
Gardner Webb,Gardner Webb
LSU,LSU
Siena,Siena
Ball St,Ball St
Weber St,Weber St
New Hampshire,New Hampshire
New Orleans,New Orleans
DePaul,DePaul
Saint Joseph's,St Joseph's PA
South Dakota St,S Dakota St
Eastern Washington,E Washington
Denver,Denver
Hofstra,Hofstra
