OriTeamName,AdjTeamName
Louisville,Louisville
Arizona,Arizona
Florida,Florida
Virginia,Virginia
Wisconsin,Wisconsin
Wichita St,Wichita St
Kansas,Kansas
Duke,Duke
Michigan St,Michigan St
Tennessee,Tennessee
Villanova,Villanova
Michigan,Michigan
Kentucky,Kentucky
UCLA,UCLA
Connecticut,Connecticut
Pittsburgh,Pittsburgh
Creighton,Creighton
Syracuse,Syracuse
Ohio St,Ohio St
Iowa St,Iowa St
Oklahoma St,Oklahoma St
Iowa,Iowa
San Diego St,San Diego St
Gonzaga,Gonzaga
VCU,VA Commonwealth
Baylor,Baylor
Cincinnati,Cincinnati
Oregon,Oregon
North Carolina,North Carolina
Oklahoma,Oklahoma
SMU,SMU
Harvard,Harvard
New Mexico,New Mexico
Stanford,Stanford
Saint Louis,St Louis
Memphis,Memphis
Louisiana Tech,Louisiana Tech
Florida St,Florida St
Arizona St,Arizona St
Utah,Utah
Texas,Texas
Dayton,Dayton
Maryland,Maryland
Arkansas,Arkansas
Kansas St,Kansas St
Minnesota,Minnesota
Providence,Providence
BYU,BYU
George Washington,G Washington
Massachusetts,Massachusetts
Clemson,Clemson
Illinois,Illinois
St John's,St John's
Xavier,Xavier
Saint Joseph's,St Joseph's PA
Nebraska,Nebraska
Georgetown,Georgetown
West Virginia,West Virginia
LSU,LSU
California,California
North Dakota St,N Dakota St
North Carolina St,NC State
Indiana,Indiana
Southern Miss,Southern Miss
Saint Mary's,St Mary's CA
Georgia St,Georgia St
Colorado,Colorado
Marquette,Marquette
Stephen F Austin,SF Austin
Missouri,Missouri
Green Bay,WI Green Bay
New Mexico St,New Mexico St
Boise St,Boise St
Manhattan,Manhattan
Vermont,Vermont
Iona,Iona
Miami FL,Miami FL
Georgia,Georgia
UNLV,UNLV
Penn St,Penn St
Texas Tech,Texas Tech
Tulsa,Tulsa
Mississippi,Mississippi
St Bonaventure,St Bonaventure
Cleveland St,Cleveland St
Alabama,Alabama
Mercer,Mercer
San Francisco,San Francisco
Middle Tennessee,MTSU
UC Irvine,UC Irvine
North Carolina Central,NC Central
Richmond,Richmond
Purdue,Purdue
Northern Iowa,Northern Iowa
Seton Hall,Seton Hall
Notre Dame,Notre Dame
Belmont,Belmont
Washington,Washington
Butler,Butler
Princeton,Princeton
Buffalo,Buffalo
UC Santa Barbara,Santa Barbara
