Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Ohio St,B10,34-3,32.78,120.3,87.5,66.2,0.031,10.12,106.0,95.9,0.8
2,Kansas,B12,35-3,27.94,115.5,87.6,70.9,0.061,8.61,105.2,96.6,2.51
3,Duke,ACC,32-5,27.79,115.5,87.8,71.7,0.018,9.52,104.4,94.9,5.79
4,Pittsburgh,BE,28-6,26.4,115.9,89.6,64.8,-0.022,9.54,104.8,95.2,1.42
5,Texas,B12,28-8,25.38,111.1,85.7,68.7,-0.058,8.32,104.5,96.2,3.71
6,Wisconsin,B10,25-9,25.31,118.2,92.9,59.3,-0.003,11.29,106.7,95.4,-0.07
7,Kentucky,SEC,29-9,25.26,113.9,88.6,67.8,-0.043,9.96,104.9,94.9,6.59
8,San Diego St,MWC,34-3,24.52,109.9,85.3,65.6,0.059,7.31,104.2,96.9,4.37
9,Purdue,B10,26-8,24.2,111.5,87.3,68.5,0.008,10.63,105.6,94.9,2.88
10,Connecticut,BE,32-9,23.33,111.3,88.0,67.4,0.049,13.1,106.8,93.7,3.28
11,BYU,MWC,32-5,22.86,113.7,90.8,72.5,0.056,6.98,103.5,96.5,3.82
12,Notre Dame,BE,27-7,22.69,116.4,93.7,66.0,0.074,10.99,105.4,94.4,0.38
13,Syracuse,BE,27-8,21.88,109.8,87.9,68.1,0.033,10.35,105.5,95.1,2.51
14,Louisville,BE,25-10,21.87,108.1,86.2,69.2,-0.037,10.05,105.5,95.4,-0.6
15,North Carolina,ACC,29-8,21.68,107.6,86.0,74.0,0.064,11.66,106.7,95.1,7.52
16,Washington,P10,24-11,21.27,113.2,91.9,73.2,-0.099,7.78,103.7,96.0,3.63
17,Florida,SEC,29-8,20.13,111.2,91.1,65.7,0.037,8.53,103.8,95.2,3.95
18,Illinois,B10,20-14,19.67,109.2,89.5,67.9,-0.073,12.78,107.4,94.6,5.27
19,West Virginia,BE,21-12,19.65,110.3,90.7,65.9,-0.018,12.92,107.7,94.7,8.51
