Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Villanova,BE,35-5,32.01,121.7,89.7,67.2,0.023,10.67,109.6,98.9,5.28
2,North Carolina,ACC,33-7,29.8,123.3,93.5,70.5,-0.055,11.64,111.0,99.4,5.11
3,Virginia,ACC,29-8,29.66,119.5,89.9,62.3,-0.04,13.15,111.6,98.5,6.83
4,Kansas,B12,33-5,29.64,119.0,89.3,69.4,0.044,13.31,111.0,97.7,6.52
5,Michigan St,B10,29-6,27.93,122.3,94.4,67.2,-0.012,7.87,107.1,99.2,2.45
6,Kentucky,SEC,27-9,25.12,120.6,95.5,68.2,-0.046,9.34,108.4,99.0,6.23
7,Louisville,ACC,23-8,24.65,112.4,87.7,66.6,-0.024,8.9,110.3,101.4,-2.69
8,West Virginia,B12,26-9,24.44,114.2,89.8,70.3,0.004,11.6,110.3,98.7,2.69
9,Purdue,B10,26-9,23.87,115.8,92.0,68.1,-0.046,8.61,109.0,100.3,1.1
10,Oklahoma,B12,29-8,23.79,116.8,93.0,70.6,0.082,13.34,111.0,97.6,3.64
11,Indiana,B10,27-8,23.02,120.6,97.6,69.1,0.0,7.49,108.6,101.1,0.14
12,Oregon,P12,31-7,22.63,117.9,95.3,69.1,0.041,9.74,108.6,98.9,3.33
13,Wichita St,MVC,26-9,22.55,110.2,87.6,66.5,-0.079,3.9,104.2,100.3,7.51
14,Xavier,BE,28-6,22.53,116.1,93.5,72.5,0.047,8.79,107.7,99.0,3.91
15,Miami FL,ACC,27-8,22.44,118.3,95.9,66.3,0.077,12.55,111.3,98.7,5.04
16,SMU,Amer,25-5,21.97,118.1,96.2,66.6,0.015,4.32,105.2,100.9,1.46
17,Duke,ACC,25-11,21.87,120.8,98.9,68.5,-0.026,12.55,111.9,99.3,7.42
18,Texas A&M,SEC,28-9,21.27,112.7,91.4,68.1,0.007,9.41,109.3,99.9,6.5
19,Arizona,P12,25-9,20.95,115.7,94.7,69.5,-0.038,7.81,107.8,100.0,0.13
20,Iowa St,B12,23-12,20.93,120.1,99.2,71.5,-0.062,12.54,109.7,97.2,4.54
