Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Louisville,BE,35-5,32.9,116.0,83.1,66.8,-0.016,10.43,106.1,95.7,4.3
2,Florida,SEC,29-8,31.18,115.5,84.3,63.4,-0.089,7.39,104.5,97.2,5.64
3,Indiana,B10,29-7,29.28,119.0,89.8,67.1,-0.021,10.24,106.1,95.8,-0.55
4,Michigan,B10,31-8,27.8,120.2,92.4,65.1,-0.006,11.39,107.1,95.7,0.24
5,Gonzaga,WCC,32-3,27.79,118.6,90.9,64.5,0.026,5.03,104.4,99.4,6.74
6,Duke,ACC,30-6,26.95,117.3,90.4,68.2,0.033,10.85,107.6,96.7,9.73
7,Ohio St,B10,29-8,25.4,113.4,88.0,64.6,0.02,11.28,106.6,95.3,-0.92
8,Kansas,B12,31-6,25.17,110.9,85.7,67.7,0.01,8.71,106.4,97.7,6.76
9,Syracuse,BE,30-10,24.78,111.4,86.7,64.4,-0.003,10.44,106.0,95.5,-0.15
10,Michigan St,B10,27-9,24.14,110.8,86.7,64.5,0.001,12.79,107.9,95.1,2.64
11,Pittsburgh,BE,24-9,24.13,113.8,89.7,61.0,-0.058,6.43,104.6,98.1,-4.69
12,Wisconsin,B10,23-12,22.51,106.4,83.9,61.9,-0.033,12.06,108.0,95.9,1.06
13,Miami FL,ACC,29-7,22.36,111.9,89.5,63.8,0.029,8.57,106.5,97.9,5.49
14,Arizona,P12,27-8,21.86,113.5,91.7,66.7,-0.011,8.69,105.5,96.8,3.78
15,Creighton,MVC,28-8,21.7,116.4,94.7,65.2,-0.009,6.34,104.5,98.1,3.88
16,Georgetown,BE,25-7,21.2,105.8,84.6,62.5,0.039,8.53,105.6,97.1,-1.26
17,Wichita St,MVC,30-9,20.27,110.0,89.8,65.3,-0.002,7.26,105.8,98.6,2.66
18,VA Commonwealth,A10,27-9,20.23,112.2,91.9,67.8,0.002,6.08,105.0,98.9,2.08
19,St Louis,A10,28-7,19.99,106.8,86.8,65.2,0.0,5.39,103.9,98.5,0.47
20,Minnesota,B10,21-13,19.82,112.9,93.1,63.6,-0.036,12.08,107.6,95.5,4.88
21,St Mary's CA,WCC,28-7,19.31,114.3,95.0,64.2,0.024,3.86,103.9,100.0,1.51
22,Colorado St,MWC,26-9,19.1,116.2,97.1,64.9,0.02,7.41,104.6,97.1,1.2
23,New Mexico,MWC,29-6,19.0,108.0,89.0,65.1,0.074,8.51,105.4,96.8,6.21
24,Oklahoma St,B12,24-9,18.66,107.2,88.5,67.4,-0.016,7.36,106.0,98.6,0.88
25,Missouri,SEC,23-11,18.54,113.2,94.6,68.2,-0.032,6.48,104.2,97.8,1.38
