OriTeamName,AdjTeamName
Ohio St,Ohio St
Kansas,Kansas
Duke,Duke
Pittsburgh,Pittsburgh
Texas,Texas
Wisconsin,Wisconsin
Kentucky,Kentucky
San Diego St,San Diego St
Purdue,Purdue
Connecticut,Connecticut
BYU,BYU
Notre Dame,Notre Dame
Syracuse,Syracuse
Louisville,Louisville
North Carolina,North Carolina
Washington,Washington
Florida,Florida
Illinois,Illinois
West Virginia,West Virginia
Arizona,Arizona
Cincinnati,Cincinnati
Utah St,Utah St
Belmont,Belmont
George Mason,George Mason
Clemson,Clemson
Marquette,Marquette
Wichita St,Wichita St
UNLV,UNLV
Villanova,Villanova
Michigan,Michigan
Georgetown,Georgetown
Kansas St,Kansas St
Vanderbilt,Vanderbilt
Temple,Temple
Florida St,Florida St
Gonzaga,Gonzaga
Butler,Butler
Richmond,Richmond
Xavier,Xavier
Virginia Tech,Virginia Tech
St John's,St John's
Saint Mary's,St Mary's CA
Missouri,Missouri
Maryland,Maryland
Michigan St,Michigan St
Penn St,Penn St
Old Dominion,Old Dominion
New Mexico,New Mexico
Texas A&M,Texas A&M
Northwestern,Northwestern
Alabama,Alabama
UCLA,UCLA
VCU,VA Commonwealth
Colorado,Colorado
Duquesne,Duquesne
USC,USC
Oakland,Oakland
Minnesota,Minnesota
Seton Hall,Seton Hall
Washington St,Washington St
Miami FL,Miami FL
Tennessee,Tennessee
Georgia,Georgia
Nebraska,Nebraska
UAB,UAB
Iona,Iona
Boston College,Boston College
Missouri St,Missouri St
Cleveland St,Cleveland St
College of Charleston,Col Charleston
Harvard,Harvard
UTEP,UTEP
Oklahoma St,Oklahoma St
California,California
Southern Miss,Southern Miss
Mississippi,Mississippi
Colorado St,Colorado St
Rutgers,Rutgers
Princeton,Princeton
Baylor,Baylor
Iowa St,Iowa St
Indiana,Indiana
Wofford,Wofford
Boise St,Boise St
Marshall,Marshall
Providence,Providence
North Carolina St,NC State
Iowa,Iowa
Morehead St,Morehead St
Tulsa,Tulsa
Memphis,Memphis
Oregon,Oregon
Drexel,Drexel
Long Beach St,Long Beach St
Bucknell,Bucknell
Valparaiso,Valparaiso
Dayton,Dayton
Creighton,Creighton
Georgia Tech,Georgia Tech
Kent St,Kent
Stanford,Stanford
