OriTeamName,AdjTeamName
Louisville,Louisville
Florida,Florida
Indiana,Indiana
Michigan,Michigan
Gonzaga,Gonzaga
Duke,Duke
Ohio St,Ohio St
Kansas,Kansas
Syracuse,Syracuse
Michigan St,Michigan St
Pittsburgh,Pittsburgh
Wisconsin,Wisconsin
Miami FL,Miami FL
Arizona,Arizona
Creighton,Creighton
Georgetown,Georgetown
Wichita St,Wichita St
VCU,VA Commonwealth
Saint Louis,St Louis
Minnesota,Minnesota
Saint Mary's,St Mary's CA
Colorado St,Colorado St
New Mexico,New Mexico
Oklahoma St,Oklahoma St
Missouri,Missouri
Marquette,Marquette
Kansas St,Kansas St
Baylor,Baylor
Iowa,Iowa
Iowa St,Iowa St
San Diego St,San Diego St
North Carolina,North Carolina
Mississippi,Mississippi
North Carolina St,NC State
Oregon,Oregon
Notre Dame,Notre Dame
Memphis,Memphis
UNLV,UNLV
Illinois,Illinois
Cincinnati,Cincinnati
Virginia,Virginia
Butler,Butler
Belmont,Belmont
Middle Tennessee,MTSU
Colorado,Colorado
UCLA,UCLA
Denver,Denver
Stanford,Stanford
Connecticut,Connecticut
La Salle,La Salle
Oklahoma,Oklahoma
Maryland,Maryland
Villanova,Villanova
Boise St,Boise St
Kentucky,Kentucky
California,California
BYU,BYU
Bucknell,Bucknell
Temple,Temple
Stony Brook,Stony Brook
Southern Miss,Southern Miss
Akron,Akron
Alabama,Alabama
Illinois St,Illinois St
Valparaiso,Valparaiso
Davidson,Davidson
Dayton,Dayton
Northern Iowa,Northern Iowa
Providence,Providence
Stephen F Austin,SF Austin
Weber St,Weber St
Arizona St,Arizona St
Tennessee,Tennessee
Purdue,Purdue
North Dakota St,N Dakota St
Santa Clara,Santa Clara
Detroit,Detroit
Xavier,Xavier
Saint Joseph's,St Joseph's PA
Arkansas,Arkansas
Washington,Washington
Ohio,Ohio
Louisiana Tech,Louisiana Tech
Richmond,Richmond
Evansville,Evansville
Massachusetts,Massachusetts
Princeton,Princeton
New Mexico St,New Mexico St
Iona,Iona
Washington St,Washington St
Indiana St,Indiana St
Lehigh,Lehigh
Harvard,Harvard
Texas,Texas
Texas A&M,Texas A&M
South Dakota St,S Dakota St
Vanderbilt,Vanderbilt
Oregon St,Oregon St
Air Force,Air Force
Wyoming,Wyoming
St John's,St John's
Georgia Tech,Georgia Tech
LSU,LSU
USC,USC
Florida Gulf Coast,FL Gulf Coast
Rutgers,Rutgers
Boston College,Boston College
Utah St,Utah St
Fresno St,Fresno St
Eastern Kentucky,E Kentucky
Clemson,Clemson
George Washington,G Washington
UTEP,UTEP
Georgia,Georgia
Utah,Utah
Canisius,Canisius
Seton Hall,Seton Hall
Drake,Drake
St Bonaventure,St Bonaventure
Florida St,Florida St
Kent St,Kent
Wright St,Wright St
West Virginia,West Virginia
Loyola MD,Loyola MD
East Carolina,East Carolina
Green Bay,WI Green Bay
Pacific,Pacific
Mercer,Mercer
