Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,North Carolina,ACC,34-4,30.53,119.8,89.3,75.5,-0.011,9.92,105.0,95.1,2.82
2,Connecticut,BE,31-5,28.57,112.2,83.6,70.1,0.024,10.74,105.9,95.2,0.98
3,Pittsburgh,BE,31-5,28.26,117.3,89.1,68.3,-0.012,11.17,105.4,94.3,4.68
4,Memphis,CUSA,33-4,27.93,108.8,80.9,69.2,-0.009,6.08,103.1,97.0,6.75
5,Louisville,BE,31-6,25.53,108.3,82.7,69.6,0.068,10.64,105.9,95.3,4.21
6,Missouri,B12,31-7,24.32,113.3,89.0,73.4,0.032,8.66,103.7,95.0,-0.57
7,Oklahoma,B12,30-6,24.08,114.6,90.6,69.7,0.018,10.09,105.5,95.4,2.58
8,Gonzaga,WCC,28-6,23.84,113.3,89.4,69.9,0.003,4.48,102.1,97.7,10.17
9,Duke,ACC,30-7,23.78,114.0,90.2,69.3,0.053,10.85,105.6,94.8,5.44
10,Michigan St,B10,31-7,23.75,110.4,86.6,69.1,0.092,12.0,106.0,94.0,7.08
11,West Virginia,BE,23-12,23.65,110.3,86.7,67.0,-0.068,10.74,105.7,95.0,3.02
12,UCLA,P10,26-9,23.44,115.8,92.3,67.5,-0.03,9.56,104.9,95.3,0.71
13,Kansas,B12,27-8,23.32,110.5,87.2,70.6,-0.012,10.01,105.5,95.4,5.33
14,Villanova,BE,30-8,23.26,110.1,86.8,71.8,0.021,10.86,106.1,95.3,-2.08
15,Arizona St,P10,25-10,22.48,114.2,91.7,62.0,-0.018,10.62,106.1,95.4,1.18
16,Syracuse,BE,28-10,21.67,113.2,91.6,72.0,0.025,12.24,105.6,93.4,4.98
17,Washington,P10,26-9,21.53,108.8,87.3,74.5,-0.005,10.95,106.7,95.8,3.54
18,Purdue,B10,27-10,21.36,106.5,85.1,68.2,-0.013,9.78,104.4,94.6,-1.63
