OriTeamName,AdjTeamName
Florida,Florida
Duke,Duke
Texas,Texas
Connecticut,Connecticut
Villanova,Villanova
Memphis,Memphis
UCLA,UCLA
Illinois,Illinois
Kansas,Kansas
North Carolina,North Carolina
LSU,LSU
Pittsburgh,Pittsburgh
Georgetown,Georgetown
Ohio St,Ohio St
Washington,Washington
West Virginia,West Virginia
Tennessee,Tennessee
Boston College,Boston College
Arkansas,Arkansas
South Carolina,South Carolina
George Mason,George Mason
Iowa,Iowa
Arizona,Arizona
Kentucky,Kentucky
Bradley,Bradley
Michigan,Michigan
Michigan St,Michigan St
Wichita St,Wichita St
Notre Dame,Notre Dame
Northern Iowa,Northern Iowa
Texas A&M,Texas A&M
North Carolina St,NC State
Gonzaga,Gonzaga
Indiana,Indiana
Missouri St,Missouri St
Marquette,Marquette
Nevada,Nevada
Wisconsin,Wisconsin
Florida St,Florida St
Air Force,Air Force
UNC Wilmington,UNC Wilmington
Saint Joseph's,St Joseph's PA
George Washington,G Washington
Cincinnati,Cincinnati
Louisville,Louisville
Oklahoma,Oklahoma
California,California
Southern Illinois,S Illinois
Vanderbilt,Vanderbilt
Syracuse,Syracuse
Creighton,Creighton
San Diego St,San Diego St
Xavier,Xavier
Oklahoma St,Oklahoma St
Miami FL,Miami FL
Bucknell,Bucknell
UAB,UAB
Maryland,Maryland
Clemson,Clemson
Alabama,Alabama
Butler,Butler
Milwaukee,WI Milwaukee
Hofstra,Hofstra
Iona,Iona
Oregon,Oregon
Temple,Temple
Old Dominion,Old Dominion
Utah St,Utah St
Pacific,Pacific
Kent St,Kent
Rutgers,Rutgers
Colorado,Colorado
Houston,Houston
Virginia Tech,Virginia Tech
Winthrop,Winthrop
Iowa St,Iowa St
Kansas St,Kansas St
Stanford,Stanford
Wake Forest,Wake Forest
Providence,Providence
Minnesota,Minnesota
Virginia,Virginia
Akron,Akron
South Alabama,South Alabama
UTEP,UTEP
Montana,Montana
Seton Hall,Seton Hall
Murray St,Murray St
UNLV,UNLV
DePaul,DePaul
Western Kentucky,WKU
BYU,BYU
Northwestern St,Northwestern
Charlotte,Charlotte
La Salle,La Salle
Louisiana Tech,Louisiana Tech
Penn,Penn
Washington St,Washington St
Hawaii,Hawaii
Drexel,Drexel
Miami OH,Miami OH
USC,USC
VCU,VA Commonwealth
Georgia Tech,Georgia Tech
Massachusetts,Massachusetts
Saint Mary's,St Mary's CA
Georgia,Georgia
Marist,Marist
Ohio,Ohio
Northeastern,Northeastern
Nebraska,Nebraska
Oral Roberts,Oral Roberts
Auburn,Auburn
Mississippi St,Mississippi St
St John's,St John's
New Mexico,New Mexico
Toledo,Toledo
Penn St,Penn St
San Diego,San Diego
Northern Illinois,N Illinois
Texas Tech,Texas Tech
Davidson,Davidson
Northwestern,Northwestern
Texas A&M Corpus Chris,Texas A&M
Saint Louis,St Louis
New Mexico St,New Mexico St
Fordham,Fordham
Colorado St,Colorado St
Holy Cross,Holy Cross
UC Irvine,UC Irvine
Dayton,Dayton
Siena,Siena
Samford,Samford
Manhattan,Manhattan
Loyola Marymount,Loy Marymount
Drake,Drake
Fresno St,Fresno St
Albany,Albany NY
Buffalo,Buffalo
Utah,Utah
Arizona St,Arizona St
Wyoming,Wyoming
Boise St,Boise St
Loyola Chicago,Loyola-Chicago
Long Beach St,Long Beach St
Saint Peter's,St Peter's
Mississippi,Mississippi
Eastern Washington,E Washington
Oregon St,Oregon St
Rhode Island,Rhode Island
San Francisco,San Francisco
Missouri,Missouri
Louisiana Lafayette,ULL
Purdue,Purdue
Baylor,Baylor
Northern Arizona,Northern Arizona
Sacramento St,CS Sacramento
Central Connecticut,Central Conn
Middle Tennessee,MTSU
Santa Clara,Santa Clara
Georgia Southern,Ga Southern
Portland St,Portland St
North Dakota St,N Dakota St
Cal St Fullerton,CS Fullerton
Monmouth,Monmouth NJ
Belmont,Belmont
Troy,Troy
Illinois Chicago,IL Chicago
Coastal Carolina,Coastal Car
Illinois St,Illinois St
UC Santa Barbara,Santa Barbara
South Florida,South Florida
Fairleigh Dickinson,F Dickinson
Denver,Denver
Detroit,Detroit
Valparaiso,Valparaiso
Lipscomb,Lipscomb
IUPUI,IUPUI
Sam Houston St,Sam Houston St
Indiana St,Indiana St
College of Charleston,Col Charleston
Niagara,Niagara
Wright St,Wright St
Loyola MD,Loyola MD
Stephen F Austin,SF Austin
SMU,SMU
Birmingham Southern,Birmingham So
Evansville,Evansville
Southeastern Louisiana,SE Louisiana
UCF,UCF
UT Arlington,UT Arlington
