Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Louisville,Amer,31-6,30.4,118.3,87.9,68.9,-0.044,5.24,107.1,101.9,-1.38
2,Arizona,P12,33-5,30.12,115.9,85.8,64.4,0.014,10.38,110.0,99.6,5.62
3,Florida,SEC,36-3,28.55,116.0,87.4,62.9,0.053,9.96,109.5,99.5,5.64
4,Virginia,ACC,30-7,26.45,114.1,87.7,61.2,0.013,9.38,109.4,100.0,4.12
5,Wisconsin,B10,30-8,25.83,121.4,95.6,63.9,0.019,12.08,110.2,98.1,6.15
6,Wichita St,MVC,35-1,25.36,117.1,91.8,64.9,-0.009,1.68,105.8,104.1,4.84
7,Kansas,B12,25-10,24.55,118.7,94.1,68.5,-0.05,13.04,112.2,99.2,11.58
8,Duke,ACC,26-9,24.22,124.1,99.9,65.9,-0.035,10.01,109.5,99.4,6.25
9,Michigan St,B10,29-9,23.92,118.0,94.1,66.0,-0.003,11.19,110.1,99.0,3.26
10,Tennessee,SEC,24-13,23.67,117.3,93.6,63.2,-0.098,8.83,108.9,100.0,4.08
11,Villanova,BE,29-5,23.63,115.7,92.1,67.8,0.075,8.03,110.0,101.9,4.52
12,Michigan,B10,28-9,23.44,123.3,99.9,62.9,0.048,11.95,110.0,98.1,2.55
13,Kentucky,SEC,29-11,22.57,117.8,95.3,65.7,-0.025,11.29,110.4,99.1,7.72
14,UCLA,P12,28-9,22.52,118.1,95.6,69.9,-0.019,8.54,109.2,100.6,0.46
15,Connecticut,Amer,32-8,22.11,113.0,90.9,65.2,0.08,9.71,109.4,99.7,3.98
16,Pittsburgh,ACC,26-10,21.88,116.3,94.4,63.4,-0.038,8.89,108.2,99.3,0.77
17,Creighton,BE,27-8,21.69,123.6,102.0,65.2,0.024,8.1,108.3,100.2,3.47
18,Syracuse,ACC,28-6,21.59,114.0,92.5,61.1,0.017,8.59,109.7,101.1,2.97
19,Ohio St,B10,25-10,21.31,108.6,87.3,65.8,-0.043,9.42,109.6,100.1,1.37
20,Iowa St,B12,28-8,21.05,118.3,97.2,71.7,0.064,11.41,111.1,99.6,3.88
21,Oklahoma St,B12,21-13,20.93,115.4,94.4,69.0,-0.109,9.87,109.8,100.0,1.29
22,Iowa,B10,20-13,20.41,119.6,99.2,69.9,-0.116,9.22,108.6,99.4,-2.65
23,San Diego St,MWC,31-5,20.37,109.8,89.4,63.8,0.068,5.2,107.6,102.4,3.98
24,Gonzaga,WCC,29-7,20.14,113.4,93.3,67.0,0.016,5.59,108.8,103.2,4.3
25,VA Commonwealth,A10,26-9,19.8,108.6,88.8,70.2,-0.058,6.2,107.4,101.2,3.31
26,Baylor,B12,26-12,19.34,118.3,98.9,63.6,0.012,11.55,111.2,99.6,4.27
27,Cincinnati,Amer,27-7,19.24,109.0,89.8,63.0,0.036,6.11,107.6,101.5,0.24
28,Oregon,P12,24-10,19.0,118.3,99.3,69.7,-0.037,8.67,109.4,100.7,2.89
29,North Carolina,ACC,24-10,18.44,112.1,93.6,70.9,0.001,9.88,110.6,100.7,4.45
30,Oklahoma,B12,23-10,17.85,117.3,99.4,71.1,-0.022,10.08,110.2,100.1,3.09
31,SMU,Amer,27-10,17.67,110.8,93.1,66.0,-0.043,4.97,106.3,101.4,-3.17
