Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Kentucky,SEC,38-1,36.9,119.4,82.5,63.0,0.048,9.86,107.9,98.0,7.48
2,Wisconsin,B10,36-4,33.7,127.0,93.3,59.4,0.015,11.0,108.2,97.2,6.74
3,Duke,ACC,35-4,32.46,122.5,90.0,66.1,0.068,11.25,109.1,97.8,3.87
4,Arizona,P12,34-4,32.4,117.9,85.5,66.0,-0.032,8.04,107.1,99.1,2.49
5,Villanova,BE,33-3,30.65,120.6,89.9,64.9,0.031,8.41,107.1,98.7,2.28
6,Virginia,ACC,30-4,30.08,113.6,83.5,58.9,0.023,8.79,107.4,98.6,2.7
7,Gonzaga,WCC,35-3,27.76,119.7,92.0,65.4,0.019,5.11,106.2,101.1,5.79
8,Utah,P12,26-9,27.26,114.5,87.2,61.8,-0.053,8.42,107.5,99.0,2.67
9,Notre Dame,ACC,32-6,24.95,123.4,98.5,63.9,0.062,8.56,106.7,98.2,-6.7
10,North Carolina,ACC,26-12,23.85,117.1,93.2,69.2,-0.026,13.55,110.1,96.5,9.89
11,Oklahoma,B12,24-11,22.76,110.4,87.7,67.0,-0.044,11.3,108.9,97.6,2.84
12,Kansas,B12,27-9,22.7,112.5,89.8,67.2,0.071,14.01,109.6,95.6,11.45
13,Wichita St,MVC,30-5,22.16,113.7,91.6,62.8,0.022,3.62,104.2,100.6,4.82
14,Baylor,B12,24-10,22.11,114.5,92.4,62.3,-0.035,11.04,107.8,96.8,2.71
15,Michigan St,B10,27-12,21.7,114.5,92.8,63.2,-0.017,11.2,109.3,98.1,1.93
16,Iowa St,B12,25-9,21.45,116.9,95.5,69.9,0.006,11.27,107.9,96.6,1.73
17,Louisville,ACC,27-9,21.22,108.2,86.9,65.1,0.027,10.45,108.4,98.0,1.33
18,Northern Iowa,MVC,31-4,20.91,114.1,93.2,58.5,0.018,1.91,103.2,101.2,2.28
19,Ohio St,B10,24-11,20.77,113.6,92.8,65.6,-0.042,8.25,107.4,99.1,-2.01
20,Butler,BE,23-11,20.09,108.1,88.0,63.9,-0.022,10.24,109.4,99.1,2.77
