OriTeamName,AdjTeamName
Kentucky,Kentucky
Ohio St,Ohio St
Michigan St,Michigan St
Kansas,Kansas
Syracuse,Syracuse
North Carolina,North Carolina
Missouri,Missouri
Wisconsin,Wisconsin
Indiana,Indiana
Florida,Florida
Wichita St,Wichita St
Memphis,Memphis
Baylor,Baylor
Saint Louis,St Louis
Georgetown,Georgetown
Vanderbilt,Vanderbilt
Louisville,Louisville
Marquette,Marquette
Duke,Duke
New Mexico,New Mexico
Gonzaga,Gonzaga
Michigan,Michigan
Kansas St,Kansas St
Florida St,Florida St
Belmont,Belmont
Alabama,Alabama
Iowa St,Iowa St
Creighton,Creighton
California,California
Purdue,Purdue
Cincinnati,Cincinnati
Texas,Texas
Virginia,Virginia
Saint Mary's,St Mary's CA
Murray St,Murray St
Long Beach St,Long Beach St
UNLV,UNLV
Connecticut,Connecticut
Temple,Temple
Stanford,Stanford
Harvard,Harvard
North Carolina St,NC State
Notre Dame,Notre Dame
Drexel,Drexel
West Virginia,West Virginia
VCU,VA Commonwealth
South Florida,South Florida
Miami FL,Miami FL
Middle Tennessee,MTSU
BYU,BYU
Arizona,Arizona
Minnesota,Minnesota
Xavier,Xavier
Iona,Iona
Seton Hall,Seton Hall
Washington,Washington
Ohio,Ohio
St Bonaventure,St Bonaventure
UCLA,UCLA
Oregon,Oregon
South Dakota St,S Dakota St
La Salle,La Salle
Tennessee,Tennessee
Pittsburgh,Pittsburgh
New Mexico St,New Mexico St
San Diego St,San Diego St
Saint Joseph's,St Joseph's PA
Southern Miss,Southern Miss
Dayton,Dayton
Davidson,Davidson
Akron,Akron
Northwestern,Northwestern
Denver,Denver
Massachusetts,Massachusetts
Northern Iowa,Northern Iowa
Illinois,Illinois
Mississippi St,Mississippi St
Lehigh,Lehigh
Marshall,Marshall
Cleveland St,Cleveland St
Colorado,Colorado
Clemson,Clemson
Virginia Tech,Virginia Tech
Georgia St,Georgia St
Villanova,Villanova
Missouri St,Missouri St
Oregon St,Oregon St
Colorado St,Colorado St
Bucknell,Bucknell
Oral Roberts,Oral Roberts
Wyoming,Wyoming
Buffalo,Buffalo
Illinois St,Illinois St
Mississippi,Mississippi
Tulsa,Tulsa
Mercer,Mercer
Oklahoma St,Oklahoma St
LSU,LSU
Washington St,Washington St
Princeton,Princeton
Wagner,Wagner
Iowa,Iowa
UCF,UCF
Montana,Montana
Oklahoma,Oklahoma
Nevada,Nevada
UC Santa Barbara,Santa Barbara
Lamar,Lamar
Richmond,Richmond
George Mason,George Mason
Old Dominion,Old Dominion
Georgia,Georgia
Fairfield,Fairfield
Detroit,Detroit
UNC Asheville,UNC Asheville
Butler,Butler
Kent St,Kent
Vermont,Vermont
Evansville,Evansville
Rutgers,Rutgers
UT Arlington,UT Arlington
Texas A&M,Texas A&M
Robert Morris,Robert Morris
Duquesne,Duquesne
Utah St,Utah St
Arkansas,Arkansas
Providence,Providence
Manhattan,Manhattan
Loyola MD,Loyola MD
UAB,UAB
Weber St,Weber St
Bowling Green,Bowling Green
Maryland,Maryland
Penn St,Penn St
USC Upstate,SC Upstate
East Carolina,East Carolina
Indiana St,Indiana St
Valparaiso,Valparaiso
Penn,Penn
Loyola Marymount,Loy Marymount
Drake,Drake
Stony Brook,Stony Brook
UTEP,UTEP
Milwaukee,WI Milwaukee
San Francisco,San Francisco
East Tennessee St,ETSU
Auburn,Auburn
Rice,Rice
Oakland,Oakland
Charlotte,Charlotte
DePaul,DePaul
Nebraska,Nebraska
Quinnipiac,Quinnipiac
Boise St,Boise St
Idaho,Idaho
Stephen F Austin,SF Austin
St John's,St John's
Yale,Yale
Cal St Fullerton,CS Fullerton
College of Charleston,Col Charleston
LIU Brooklyn,Long Island
TCU,TCU
North Dakota St,N Dakota St
South Carolina,South Carolina
Youngstown St,Youngstown St
Cal Poly,Cal Poly SLO
North Texas,North Texas
Tennessee St,Tennessee St
Western Michigan,W Michigan
Delaware,Delaware
Charleston Southern,Charleston So
George Washington,G Washington
UTSA,UT San Antonio
Georgia Tech,Georgia Tech
Green Bay,WI Green Bay
American,American Univ
Florida Gulf Coast,FL Gulf Coast
Western Illinois,W Illinois
Fresno St,Fresno St
Arkansas Little Rock,Ark Little Rock
Boston University,Boston Univ
Savannah St,Savannah St
Norfolk St,Norfolk St
Columbia,Columbia
North Florida,North Florida
Coastal Carolina,Coastal Car
Tennessee Tech,Tennessee Tech
Northeastern,Northeastern
Air Force,Air Force
Houston,Houston
Miami OH,Miami OH
Louisiana Tech,Louisiana Tech
Western Kentucky,WKU
Ball St,Ball St
Arkansas St,Arkansas St
Wofford,Wofford
Morehead St,Morehead St
Tulane,Tulane
Albany,Albany NY
SMU,SMU
Florida Atlantic,FL Atlantic
IUPUI,IUPUI
Jacksonville St,Jacksonville St
Louisiana Lafayette,ULL
Portland St,Portland St
Cornell,Cornell
Toledo,Toledo
Eastern Washington,E Washington
Austin Peay,Austin Peay
South Alabama,South Alabama
Wake Forest,Wake Forest
Lipscomb,Lipscomb
North Carolina Central,NC Central
Hawaii,Hawaii
Wright St,Wright St
St Francis NY,St Francis NY
Central Connecticut,Central Conn
San Diego,San Diego
Hofstra,Hofstra
USC,USC
McNeese St,McNeese St
Southern Illinois,S Illinois
Rider,Rider
Holy Cross,Holy Cross
Rhode Island,Rhode Island
Seattle,Seattle
Northwestern St,Northwestern LA
Southeast Missouri St,SE Missouri St
FIU,Florida Intl
Arizona St,Arizona St
Siena,Siena
Sacred Heart,Sacred Heart
Campbell,Campbell
High Point,High Point
Texas Tech,Texas Tech
Southern Utah,Southern Utah
Mississippi Valley St,MS Valley St
UNC Wilmington,UNC Wilmington
Lafayette,Lafayette
Western Carolina,W Carolina
Delaware St,Delaware St
Utah Valley,Utah Valley
Jacksonville,Jacksonville
Cal St Bakersfield,CS Bakersfield
Niagara,Niagara
Georgia Southern,Ga Southern
Furman,Furman
James Madison,James Madison
UC Irvine,UC Irvine
Stetson,Stetson
Presbyterian,Presbyterian
Morgan St,Morgan St
Central Michigan,C Michigan
Marist,Marist
Elon,Elon
Bethune Cookman,Bethune-Cookman
Northern Colorado,N Colorado
Appalachian St,Appalachian St
North Dakota,North Dakota
Bradley,Bradley
Winthrop,Winthrop
Boston College,Boston College
Eastern Michigan,E Michigan
Chattanooga,Chattanooga
Eastern Kentucky,E Kentucky
Texas St,Texas St
Texas Southern,TX Southern
Troy,Troy
Gardner Webb,Gardner Webb
Fordham,Fordham
Maine,Maine
Coppin St,Coppin St
IPFW,IPFW
VMI,VMI
San Jose St,San Jose St
Santa Clara,Santa Clara
UC Riverside,UC Riverside
Pacific,Pacific
Portland,Portland
UNC Greensboro,UNC Greensboro
Illinois Chicago,IL Chicago
Pepperdine,Pepperdine
UMKC,Missouri KC
South Dakota,South Dakota
Hampton,Hampton
Samford,Samford
Sam Houston St,Sam Houston St
Loyola Chicago,Loyola-Chicago
Liberty,Liberty
Monmouth,Monmouth NJ
Montana St,Montana St
Sacramento St,CS Sacramento
New Hampshire,New Hampshire
Mount St Mary's,Mt St Mary's
William & Mary,William & Mary
Dartmouth,Dartmouth
Army,Army
Eastern Illinois,E Illinois
NJIT,NJIT
North Carolina A&T,NC A&T
Southeastern Louisiana,SE Louisiana
Cal St Northridge,CS Northridge
Utah,Utah
Idaho St,Idaho St
Hartford,Hartford
Texas A&M Corpus Chris,TAM C. Christi
SIU Edwardsville,Edwardsville
Howard,Howard
St Francis PA,St Francis PA
Brown,Brown
Louisiana Monroe,ULM
Texas Pan American,UTRGV
Radford,Radford
Southern,Southern Univ
Alabama St,Alabama St
Saint Peter's,St Peter's
Florida A&M,Florida A&M
Kennesaw St,Kennesaw
Houston Baptist,Houston Bap
Central Arkansas,Cent Arkansas
Arkansas Pine Bluff,Ark Pine Bluff
The Citadel,Citadel
Prairie View A&M,Prairie View
Colgate,Colgate
Nicholls St,Nicholls St
Canisius,Canisius
Maryland Eastern Shore,MD E Shore
UC Davis,UC Davis
Navy,Navy
Northern Illinois,N Illinois
Alcorn St,Alcorn St
Jackson St,Jackson St
Nebraska Omaha,NE Omaha
Chicago St,Chicago St
Fairleigh Dickinson,F Dickinson
Tennessee Martin,TN Martin
Alabama A&M,Alabama A&M
Bryant,Bryant
Towson,Towson
Northern Arizona,Northern Arizona
Longwood,Longwood
UMBC,UMBC
South Carolina St,S Carolina St
Binghamton,Binghamton
Grambling St,Grambling
