OriTeamName,AdjTeamName
North Carolina,North Carolina
Florida,Florida
Ohio St,Ohio St
Georgetown,Georgetown
Kansas,Kansas
UCLA,UCLA
Texas A&M,Texas A&M
Wisconsin,Wisconsin
Memphis,Memphis
Duke,Duke
Pittsburgh,Pittsburgh
Maryland,Maryland
Kentucky,Kentucky
Indiana,Indiana
Butler,Butler
Southern Illinois,S Illinois
Michigan St,Michigan St
Oregon,Oregon
Air Force,Air Force
Louisville,Louisville
Villanova,Villanova
Notre Dame,Notre Dame
Georgia Tech,Georgia Tech
Arizona,Arizona
Texas,Texas
Mississippi St,Mississippi St
Washington St,Washington St
Creighton,Creighton
Clemson,Clemson
Tennessee,Tennessee
Purdue,Purdue
Xavier,Xavier
West Virginia,West Virginia
Florida St,Florida St
Illinois,Illinois
Missouri St,Missouri St
Virginia Tech,Virginia Tech
Marquette,Marquette
UNLV,UNLV
USC,USC
Syracuse,Syracuse
Arkansas,Arkansas
Akron,Akron
Vanderbilt,Vanderbilt
BYU,BYU
Nevada,Nevada
Boston College,Boston College
Virginia,Virginia
Gonzaga,Gonzaga
DePaul,DePaul
Winthrop,Winthrop
LSU,LSU
Bradley,Bradley
VCU,VA Commonwealth
Georgia,Georgia
Oklahoma,Oklahoma
Kansas St,Kansas St
Connecticut,Connecticut
Mississippi,Mississippi
Michigan,Michigan
Davidson,Davidson
Alabama,Alabama
Missouri,Missouri
Old Dominion,Old Dominion
Wichita St,Wichita St
Stanford,Stanford
Massachusetts,Massachusetts
Washington,Washington
Northern Iowa,Northern Iowa
Iowa,Iowa
Providence,Providence
Texas Tech,Texas Tech
Drexel,Drexel
Oklahoma St,Oklahoma St
North Carolina St,NC State
Appalachian St,Appalachian St
Santa Clara,Santa Clara
California,California
San Diego St,San Diego St
Hawaii,Hawaii
Kent St,Kent
Nebraska,Nebraska
Evansville,Evansville
Loyola Chicago,Loyola-Chicago
Auburn,Auburn
Illinois St,Illinois St
Oral Roberts,Oral Roberts
Miami OH,Miami OH
George Mason,George Mason
Utah St,Utah St
Texas A&M Corpus Chris,TAM C. Christi
Penn,Penn
New Mexico St,New Mexico St
Houston,Houston
Holy Cross,Holy Cross
George Washington,G Washington
