OriTeamName,AdjTeamName
North Carolina,North Carolina
Illinois,Illinois
Duke,Duke
Louisville,Louisville
Michigan St,Michigan St
Oklahoma St,Oklahoma St
Wake Forest,Wake Forest
Villanova,Villanova
Kentucky,Kentucky
Florida,Florida
Kansas,Kansas
Oklahoma,Oklahoma
Arizona,Arizona
Washington,Washington
Connecticut,Connecticut
Syracuse,Syracuse
Wisconsin,Wisconsin
Alabama,Alabama
Cincinnati,Cincinnati
Utah,Utah
Utah St,Utah St
Georgia Tech,Georgia Tech
North Carolina St,NC State
Pittsburgh,Pittsburgh
Boston College,Boston College
Gonzaga,Gonzaga
Iowa,Iowa
Texas,Texas
Southern Illinois,S Illinois
Ohio St,Ohio St
New Mexico,New Mexico
Texas Tech,Texas Tech
Vanderbilt,Vanderbilt
Mississippi St,Mississippi St
West Virginia,West Virginia
Milwaukee,WI Milwaukee
Maryland,Maryland
George Washington,G Washington
Creighton,Creighton
Pacific,Pacific
Minnesota,Minnesota
LSU,LSU
Vermont,Vermont
Texas A&M,Texas A&M
Air Force,Air Force
Northern Iowa,Northern Iowa
Wichita St,Wichita St
Iowa St,Iowa St
Saint Joseph's,St Joseph's PA
South Carolina,South Carolina
UAB,UAB
Georgetown,Georgetown
Memphis,Memphis
Charlotte,Charlotte
Clemson,Clemson
Nevada,Nevada
Arkansas,Arkansas
UTEP,UTEP
Notre Dame,Notre Dame
Southwest Missouri St,Missouri St
DePaul,DePaul
Providence,Providence
Western Michigan,W Michigan
Indiana,Indiana
Holy Cross,Holy Cross
Miami OH,Miami OH
UCLA,UCLA
Miami FL,Miami FL
Stanford,Stanford
Arizona St,Arizona St
Old Dominion,Old Dominion
Akron,Akron
Kansas St,Kansas St
Louisiana Lafayette,ULL
Oral Roberts,Oral Roberts
Buffalo,Buffalo
Penn,Penn
Saint Mary's,St Mary's CA
Nebraska,Nebraska
Washington St,Washington St
Xavier,Xavier
Tennessee,Tennessee
Kent St,Kent
Temple,Temple
Ohio,Ohio
Western Kentucky,WKU
Denver,Denver
Toledo,Toledo
Virginia,Virginia
UNLV,UNLV
Rice,Rice
Boston University,Boston Univ
Oregon,Oregon
Bucknell,Bucknell
Virginia Tech,Virginia Tech
TCU,TCU
Cal St Northridge,CS Northridge
Houston,Houston
Ball St,Ball St
Marquette,Marquette
