OriTeamName,AdjTeamName
Kansas,Kansas
Memphis,Memphis
North Carolina,North Carolina
UCLA,UCLA
Wisconsin,Wisconsin
Duke,Duke
Georgetown,Georgetown
Louisville,Louisville
Texas,Texas
Washington St,Washington St
Davidson,Davidson
Stanford,Stanford
Marquette,Marquette
Tennessee,Tennessee
Xavier,Xavier
Clemson,Clemson
Drake,Drake
West Virginia,West Virginia
Michigan St,Michigan St
Butler,Butler
Texas A&M,Texas A&M
Pittsburgh,Pittsburgh
Notre Dame,Notre Dame
Arizona,Arizona
Kansas St,Kansas St
Gonzaga,Gonzaga
Connecticut,Connecticut
USC,USC
Indiana,Indiana
Purdue,Purdue
Ohio St,Ohio St
New Mexico,New Mexico
Mississippi St,Mississippi St
Virginia Tech,Virginia Tech
BYU,BYU
Oregon,Oregon
Florida,Florida
Miami FL,Miami FL
Nebraska,Nebraska
Arkansas,Arkansas
Baylor,Baylor
Saint Mary's,St Mary's CA
Western Kentucky,WKU
Oklahoma,Oklahoma
Saint Joseph's,St Joseph's PA
Villanova,Villanova
Syracuse,Syracuse
UNLV,UNLV
Arizona St,Arizona St
Illinois,Illinois
Mississippi,Mississippi
Massachusetts,Massachusetts
Georgia Tech,Georgia Tech
Missouri,Missouri
Kent St,Kent
Vanderbilt,Vanderbilt
Temple,Temple
Illinois St,Illinois St
Florida St,Florida St
UAB,UAB
Utah,Utah
Dayton,Dayton
Maryland,Maryland
Southern Illinois,S Illinois
South Alabama,South Alabama
IUPUI,IUPUI
California,California
VCU,VA Commonwealth
Washington,Washington
Houston,Houston
Minnesota,Minnesota
Rhode Island,Rhode Island
Oklahoma St,Oklahoma St
Creighton,Creighton
Wake Forest,Wake Forest
Akron,Akron
Oral Roberts,Oral Roberts
Duquesne,Duquesne
Kentucky,Kentucky
George Mason,George Mason
Tulsa,Tulsa
Miami OH,Miami OH
Charlotte,Charlotte
Texas Tech,Texas Tech
Providence,Providence
Alabama,Alabama
Bradley,Bradley
Missouri St,Missouri St
Cal St Fullerton,CS Fullerton
Virginia,Virginia
Georgia,Georgia
Siena,Siena
San Diego St,San Diego St
Western Michigan,W Michigan
Ohio,Ohio
Stephen F Austin,SF Austin
Southern Miss,Southern Miss
UCF,UCF
New Mexico St,New Mexico St
UNC Greensboro,UNC Greensboro
Cleveland St,Cleveland St
Nevada,Nevada
Cincinnati,Cincinnati
Winthrop,Winthrop
Boston College,Boston College
South Carolina,South Carolina
Seton Hall,Seton Hall
Utah St,Utah St
UTEP,UTEP
North Carolina St,NC State
South Florida,South Florida
Portland St,Portland St
DePaul,DePaul
Illinois Chicago,IL Chicago
LSU,LSU
Wright St,Wright St
UC Santa Barbara,Santa Barbara
Old Dominion,Old Dominion
Valparaiso,Valparaiso
Rider,Rider
San Diego,San Diego
Northern Iowa,Northern Iowa
Iowa St,Iowa St
Cornell,Cornell
Colorado,Colorado
Boise St,Boise St
UMBC,UMBC
Georgia Southern,Ga Southern
Belmont,Belmont
Penn St,Penn St
Cal St Northridge,CS Northridge
Brown,Brown
Indiana St,Indiana St
North Texas,North Texas
North Dakota St,N Dakota St
Niagara,Niagara
Sam Houston St,Sam Houston St
Michigan,Michigan
Marshall,Marshall
St John's,St John's
Oakland,Oakland
Appalachian St,Appalachian St
Robert Morris,Robert Morris
Pacific,Pacific
Iowa,Iowa
Auburn,Auburn
Green Bay,WI Green Bay
Marist,Marist
La Salle,La Salle
American,American Univ
Richmond,Richmond
Northeastern,Northeastern
Santa Clara,Santa Clara
Northern Arizona,Northern Arizona
Wichita St,Wichita St
Air Force,Air Force
Saint Louis,St Louis
Chattanooga,Chattanooga
Fordham,Fordham
Lamar,Lamar
UC Irvine,UC Irvine
UNC Wilmington,UNC Wilmington
Loyola MD,Loyola MD
Tulane,Tulane
Middle Tennessee,MTSU
Milwaukee,WI Milwaukee
Austin Peay,Austin Peay
College of Charleston,Col Charleston
Holy Cross,Holy Cross
George Washington,G Washington
Morgan St,Morgan St
UNC Asheville,UNC Asheville
Mount St Mary's,Mt St Mary's
East Tennessee St,ETSU
Vermont,Vermont
Albany,Albany NY
TCU,TCU
Central Michigan,C Michigan
New Orleans,New Orleans
UT Arlington,UT Arlington
Buffalo,Buffalo
Rutgers,Rutgers
Eastern Michigan,E Michigan
High Point,High Point
Lafayette,Lafayette
Elon,Elon
Weber St,Weber St
Gardner Webb,Gardner Webb
William & Mary,William & Mary
Fresno St,Fresno St
Northwestern,Northwestern
Colgate,Colgate
Arkansas Little Rock,Ark Little Rock
Wyoming,Wyoming
Louisiana Lafayette,ULL
Lipscomb,Lipscomb
Montana,Montana
IPFW,IPFW
Central Connecticut,Central Conn
Navy,Navy
Loyola Chicago,Loyola-Chicago
Murray St,Murray St
Wofford,Wofford
Bowling Green,Bowling Green
Delaware,Delaware
Southeastern Louisiana,SE Louisiana
Alabama St,Alabama St
Liberty,Liberty
Sacred Heart,Sacred Heart
Fairfield,Fairfield
Jacksonville,Jacksonville
Hampton,Hampton
LIU Brooklyn,Long Island
Hofstra,Hofstra
Utah Valley St,Utah Valley
James Madison,James Madison
Evansville,Evansville
St Bonaventure,St Bonaventure
Iona,Iona
Southern Utah,Southern Utah
Toledo,Toledo
Binghamton,Binghamton
Youngstown St,Youngstown St
Florida Atlantic,FL Atlantic
Boston University,Boston Univ
East Carolina,East Carolina
Pepperdine,Pepperdine
Wagner,Wagner
Tennessee St,Tennessee St
Hawaii,Hawaii
Yale,Yale
Montana St,Montana St
Ball St,Ball St
Denver,Denver
Manhattan,Manhattan
McNeese St,McNeese St
Quinnipiac,Quinnipiac
Northern Colorado,N Colorado
Bucknell,Bucknell
Towson,Towson
Troy,Troy
Nicholls St,Nicholls St
Western Carolina,W Carolina
Hartford,Hartford
Texas Pan American,UTRGV
Oregon St,Oregon St
Tennessee Martin,TN Martin
Eastern Washington,E Washington
Tennessee Tech,Tennessee Tech
Detroit,Detroit
Lehigh,Lehigh
Georgia St,Georgia St
Northwestern St,Northwestern
VMI,VMI
Drexel,Drexel
San Francisco,San Francisco
Western Illinois,W Illinois
UMKC,Missouri KC
San Jose St,San Jose St
FIU,Florida Intl
Texas St,Texas St
Columbia,Columbia
Chicago St,Chicago St
Army,Army
Colorado St,Colorado St
Northern Illinois,N Illinois
Portland,Portland
Cal Poly,Cal Poly SLO
Louisiana Monroe,ULM
Stetson,Stetson
Arkansas St,Arkansas St
Texas A&M Corpus Chris,Texas A&M
South Dakota St,S Dakota St
Centenary,Centenary
Delaware St,Delaware St
New Hampshire,New Hampshire
Saint Peter's,St Peter's
Eastern Kentucky,E Kentucky
Central Arkansas,Cent Arkansas
Harvard,Harvard
Mercer,Mercer
UTSA,UT San Antonio
SMU,SMU
USC Upstate,SC Upstate
Coastal Carolina,Coastal Car
Savannah St,Savannah St
Morehead St,Morehead St
Campbell,Campbell
Penn,Penn
Norfolk St,Norfolk St
Idaho,Idaho
Furman,Furman
UC Riverside,UC Riverside
Presbyterian,Presbyterian
Idaho St,Idaho St
St Francis NY,St Francis NY
Radford,Radford
Samford,Samford
Coppin St,Coppin St
Rice,Rice
Stony Brook,Stony Brook
Florida A&M,Florida A&M
Fairleigh Dickinson,F Dickinson
Canisius,Canisius
Long Beach St,Long Beach St
Mississippi Valley St,Mississippi St
Florida Gulf Coast,FL Gulf Coast
Monmouth,Monmouth NJ
North Carolina A&T,NC A&T
Kennesaw St,Kennesaw
Southeast Missouri St,SE Missouri St
Princeton,Princeton
Dartmouth,Dartmouth
Southern,Southern Univ
Jackson St,Jackson St
Charleston Southern,Charleston So
South Carolina St,S Carolina St
Alabama A&M,Alabama A&M
St Francis PA,St Francis PA
Cal St Bakersfield,CS Bakersfield
Maine,Maine
UC Davis,UC Davis
Winston Salem St,W Salem St
Eastern Illinois,E Illinois
Bethune Cookman,Bethune-Cookman
Jacksonville St,Jacksonville St
Longwood,Longwood
Louisiana Tech,Louisiana Tech
Arkansas Pine Bluff,Ark Pine Bluff
The Citadel,Citadel
Prairie View A&M,Prairie View
Loyola Marymount,Loy Marymount
Sacramento St,CS Sacramento
Texas Southern,TX Southern
North Carolina Central,NC Central
Howard,Howard
North Florida,North Florida
Grambling St,Grambling
Alcorn St,Alcorn St
Maryland Eastern Shore,MD E Shore
NJIT,NJIT
