OriTeamName,AdjTeamName
Duke,Duke
Connecticut,Connecticut
Saint Joseph's,St Joseph's PA
Oklahoma St,Oklahoma St
Pittsburgh,Pittsburgh
Wisconsin,Wisconsin
Gonzaga,Gonzaga
Georgia Tech,Georgia Tech
North Carolina St,NC State
Kentucky,Kentucky
North Carolina,North Carolina
Stanford,Stanford
Illinois,Illinois
Wake Forest,Wake Forest
Mississippi St,Mississippi St
Texas,Texas
Cincinnati,Cincinnati
Kansas,Kansas
Louisville,Louisville
Nevada,Nevada
Xavier,Xavier
Maryland,Maryland
Vanderbilt,Vanderbilt
Providence,Providence
Florida,Florida
Seton Hall,Seton Hall
Florida St,Florida St
Texas Tech,Texas Tech
Alabama,Alabama
Syracuse,Syracuse
Memphis,Memphis
Arizona,Arizona
Western Michigan,W Michigan
BYU,BYU
Michigan St,Michigan St
Air Force,Air Force
Boston College,Boston College
Richmond,Richmond
South Carolina,South Carolina
Nebraska,Nebraska
UTEP,UTEP
Southern Illinois,S Illinois
Utah,Utah
Charlotte,Charlotte
Michigan,Michigan
Utah St,Utah St
UAB,UAB
Manhattan,Manhattan
George Washington,G Washington
Missouri,Missouri
Boise St,Boise St
Notre Dame,Notre Dame
Villanova,Villanova
Colorado,Colorado
Oklahoma,Oklahoma
Purdue,Purdue
Wichita St,Wichita St
DePaul,DePaul
Saint Mary's,St Mary's CA
Washington,Washington
Murray St,Murray St
Milwaukee,WI Milwaukee
Illinois Chicago,IL Chicago
Creighton,Creighton
Iowa St,Iowa St
Louisiana Lafayette,ULL
Auburn,Auburn
Virginia,Virginia
Iowa,Iowa
LSU,LSU
Dayton,Dayton
Penn,Penn
Rutgers,Rutgers
Kent St,Kent
Rice,Rice
Georgia,Georgia
UNLV,UNLV
Hawaii,Hawaii
Detroit,Detroit
Oregon,Oregon
VCU,VA Commonwealth
Pacific,Pacific
Kansas St,Kansas St
Northern Iowa,Northern Iowa
Rhode Island,Rhode Island
East Tennessee St,ETSU
Saint Louis,St Louis
Troy St,Troy
Temple,Temple
Tennessee,Tennessee
Fresno St,Fresno St
Marquette,Marquette
West Virginia,West Virginia
Indiana,Indiana
Southwest Missouri St,Missouri St
George Mason,George Mason
Arkansas,Arkansas
UCF,UCF
Drexel,Drexel
Old Dominion,Old Dominion
Northwestern,Northwestern
California,California
Niagara,Niagara
Austin Peay,Austin Peay
Belmont,Belmont
Fairfield,Fairfield
Clemson,Clemson
Princeton,Princeton
Buffalo,Buffalo
Miami FL,Miami FL
San Diego St,San Diego St
Wyoming,Wyoming
Toledo,Toledo
New Mexico,New Mexico
East Carolina,East Carolina
College of Charleston,Col Charleston
Western Kentucky,WKU
IUPUI,IUPUI
Louisiana Tech,Louisiana Tech
UNC Wilmington,UNC Wilmington
UC Santa Barbara,Santa Barbara
Miami OH,Miami OH
Eastern Washington,E Washington
Virginia Tech,Virginia Tech
Georgetown,Georgetown
Washington St,Washington St
Boston University,Boston Univ
Pepperdine,Pepperdine
Mississippi,Mississippi
Butler,Butler
Colorado St,Colorado St
USC,USC
Minnesota,Minnesota
Georgia St,Georgia St
Middle Tennessee,MTSU
Ball St,Ball St
SMU,SMU
Davidson,Davidson
Stephen F Austin,SF Austin
Hofstra,Hofstra
Georgia Southern,Ga Southern
Oral Roberts,Oral Roberts
UCLA,UCLA
Arizona St,Arizona St
Chattanooga,Chattanooga
Duquesne,Duquesne
UMKC,Missouri KC
Ohio St,Ohio St
Delaware,Delaware
Oregon St,Oregon St
Arkansas Little Rock,Ark Little Rock
Valparaiso,Valparaiso
Tulsa,Tulsa
TCU,TCU
Drake,Drake
Green Bay,WI Green Bay
Santa Clara,Santa Clara
Idaho,Idaho
Saint Peter's,St Peter's
Akron,Akron
Arkansas St,Arkansas St
Bradley,Bradley
Portland,Portland
Furman,Furman
Weber St,Weber St
Oakland,Oakland
Birmingham Southern,Birmingham So
New Orleans,New Orleans
Holy Cross,Holy Cross
Wright St,Wright St
Vermont,Vermont
Mississippi Valley St,MS Valley St
San Francisco,San Francisco
Bowling Green,Bowling Green
Centenary,Centenary
Southern Miss,Southern Miss
Illinois St,Illinois St
Denver,Denver
Cal St Northridge,CS Northridge
Marshall,Marshall
Liberty,Liberty
Loyola Marymount,Loy Marymount
La Salle,La Salle
Massachusetts,Massachusetts
American,American Univ
Northern Arizona,Northern Arizona
Ohio,Ohio
South Alabama,South Alabama
Texas A&M,Texas A&M
Indiana St,Indiana St
Iona,Iona
Loyola Chicago,Loyola-Chicago
Southeastern Louisiana,SE Louisiana
Monmouth,Monmouth NJ
UC Riverside,UC Riverside
Yale,Yale
St John's,St John's
Eastern Kentucky,E Kentucky
New Mexico St,New Mexico St
Brown,Brown
Northeastern,Northeastern
Sacramento St,CS Sacramento
Morehead St,Morehead St
UC Irvine,UC Irvine
Bucknell,Bucknell
Maine,Maine
UT Arlington,UT Arlington
Cal Poly,Cal Poly SLO
Cal St Fullerton,CS Fullerton
Evansville,Evansville
Portland St,Portland St
Siena,Siena
Appalachian St,Appalachian St
North Texas,North Texas
Eastern Michigan,E Michigan
Texas A&M Corpus Chris,TAM C. Christi
South Florida,South Florida
Lafayette,Lafayette
South Carolina St,S Carolina St
Houston,Houston
Montana St,Montana St
Southeast Missouri St,SE Missouri St
Northern Illinois,N Illinois
Rider,Rider
Fairleigh Dickinson,F Dickinson
Penn St,Penn St
Tulane,Tulane
Winthrop,Winthrop
Central Connecticut,Central Conn
UNC Greensboro,UNC Greensboro
Cornell,Cornell
Canisius,Canisius
William & Mary,William & Mary
Chicago St,Chicago St
Baylor,Baylor
Tennessee Tech,Tennessee Tech
Western Carolina,W Carolina
Jacksonville St,Jacksonville St
McNeese St,McNeese St
Coppin St,Coppin St
Lehigh,Lehigh
Coastal Carolina,Coastal Car
Montana,Montana
Mercer,Mercer
St Francis NY,St Francis NY
Florida Atlantic,FL Atlantic
San Jose St,San Jose St
UTSA,UT San Antonio
Youngstown St,Youngstown St
Texas Pan American,UTRGV
Delaware St,Delaware St
Elon,Elon
St Bonaventure,St Bonaventure
Tennessee Martin,TN Martin
High Point,High Point
Texas St,Texas St
Florida A&M,Florida A&M
Samford,Samford
Northwestern St,Northwestern LA
Binghamton,Binghamton
Southern Utah,Southern Utah
Fordham,Fordham
Idaho St,Idaho St
James Madison,James Madison
Tennessee St,Tennessee St
Alabama St,Alabama St
Columbia,Columbia
Hampton,Hampton
St Francis PA,St Francis PA
Robert Morris,Robert Morris
Sam Houston St,Sam Houston St
Mount St Mary's,Mt St Mary's
Stetson,Stetson
Central Michigan,C Michigan
Louisiana Monroe,ULM
Wagner,Wagner
Gardner Webb,Gardner Webb
Towson,Towson
Eastern Illinois,E Illinois
Colgate,Colgate
San Diego,San Diego
Cleveland St,Cleveland St
Sacred Heart,Sacred Heart
Lamar,Lamar
UMBC,UMBC
IPFW,IPFW
Wofford,Wofford
Radford,Radford
Jacksonville,Jacksonville
Southern,Southern Univ
Marist,Marist
Jackson St,Jackson St
Long Beach St,Long Beach St
New Hampshire,New Hampshire
Hartford,Hartford
Morgan St,Morgan St
Stony Brook,Stony Brook
Texas Southern,TX Southern
Quinnipiac,Quinnipiac
Grambling St,Grambling
Norfolk St,Norfolk St
Alabama A&M,Alabama A&M
LIU Brooklyn,Long Island
Western Illinois,W Illinois
UNC Asheville,UNC Asheville
Lipscomb,Lipscomb
Harvard,Harvard
Charleston Southern,Charleston So
Howard,Howard
Albany,Albany NY
FIU,Florida Intl
Alcorn St,Alcorn St
