Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
60,Southwest Missouri St.,MVC,19-13,11.2,104.7,93.5,70.7,-0.044,5.7,103.4,97.7,0.31
61,DePaul,CUSA,20-11,11.12,107.4,96.3,65.4,-0.001,4.64,101.9,97.2,1.98
62,Providence,BE,14-17,11.09,107.3,96.2,71.4,-0.093,10.44,105.7,95.2,5.43
63,Western Michigan,MAC,20-13,10.87,107.1,96.3,68.2,-0.066,2.82,101.7,98.9,0.7
64,Indiana,B10,15-14,10.82,105.6,94.8,64.4,0.011,10.89,104.4,93.5,9.76
65,Holy Cross,Pat,25-7,10.78,100.9,90.2,66.1,0.012,-4.05,95.9,99.9,0.07
66,Miami OH,MAC,19-11,10.78,102.3,91.6,63.3,0.009,4.8,103.4,98.6,5.42
67,UCLA 11,P10,18-11,10.53,104.4,93.8,71.8,0.036,7.47,103.8,96.3,3.09
68,Miami FL,ACC,16-13,10.53,106.6,96.1,67.9,-0.006,8.49,103.8,95.3,-2.83
69,Stanford 8,P10,18-13,10.46,102.2,91.7,70.2,0.048,8.25,104.2,96,3.87
70,Arizona St.,P10,18-14,10.08,107.3,97.2,71.4,-0.05,6.05,102.7,96.7,-0.66
71,Old Dominion 12,CAA,28-6,9.9,101.3,91.4,68.8,0.05,-3.24,97.7,101,-3.89
72,Akron,MAC,19-10,9.83,101.5,91.7,69.4,-0.014,2.64,102.5,99.8,-1.92
73,Kansas St.,B12,17-12,9.8,105.6,95.8,66.3,-0.011,7.86,103.6,95.8,-1.2
74,Louisiana Lafayette 13,SB,20-11,9.69,103.9,94.2,69.9,0.038,2.13,101.3,99.1,7.09
75,Oral Roberts,MCon,25-8,9.69,103.3,93.7,72.3,-0.012,-3.04,99.9,102.9,0.37
76,Buffalo,MAC,23-10,9.64,103.1,93.4,71.5,0.057,3.46,102.2,98.7,-2.43
77,Penn 13,Ivy,20-9,9.32,98.1,88.8,70.4,0.034,-1.9,98.4,100.3,2.83
78,Saint Mary's 10,WCC,25-9,9.22,102.5,93.3,68.1,0.081,2.95,101.9,99,0.09
79,Nebraska,B12,14-14,9.04,101.2,92.2,67.8,-0.083,6.21,102.5,96.3,-3.91
80,Washington St.,P10,12-16,8.97,91.8,82.8,61.7,-0.049,7.67,104.7,97,3.55
81,Xavier,A10,17-12,8.83,107.6,98.7,65.6,-0.087,1.92,100.3,98.3,5.81
82,Tennessee,SEC,14-17,8.71,107,98.3,66.9,-0.052,9.59,104.2,94.6,3.64
