Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
257,East Tennessee St.,SC,10-19,-9.18,98.6,107.8,74.9,-0.059,-3.27,96.8,100,2.5
258,St. Francis PA,NEC,15-13,-9.3,101.3,110.6,66.8,0.077,-8.35,95.3,103.6,2.69
259,Mississippi Valley St.,SWAC,13-14,-9.34,93.5,102.8,68.9,-0.064,-13.52,89.4,102.9,0.31
260,Robert Morris,NEC,14-15,-9.45,99.4,108.8,67.6,0.036,-7.85,95.4,103.3,1.22
261,Eastern Washington,BSky,8-20,-9.48,89.1,98.5,66.9,-0.095,-3.22,99,102.2,5.37
262,Canisius,MAAC,11-18,-9.52,96,105.6,70,0.035,-4.56,97.9,102.4,-5.05
263,Troy,ASun,12-18,-9.75,100.3,110,71.6,-0.008,-6.7,95.6,102.3,4.32
264,UNC Asheville,BSth,11-17,-9.88,97.2,107.1,71.7,-0.009,-4.98,96.4,101.4,7.12
265,UC Davis,ind,11-17,-9.96,97.8,107.8,67.1,0.013,-3.29,97.6,100.9,-1.78
266,Stephen F. Austin,Slnd,12-15,-10.14,93.6,103.7,63.3,-0.046,-7.7,94,101.7,-11.39
267,Southern Utah,MCon,13-15,-10.14,97.6,107.7,68.6,0.068,-4,98.5,102.5,-6.15
268,UC Riverside,BW,9-19,-10.21,90.5,100.7,67.4,0.01,-1.93,99,100.9,-4.32
269,New Hampshire,AE,9-19,-10.33,94.3,104.6,68.9,-0.024,-3.61,96.5,100.1,-2.77
270,Norfolk St.,MEAC,13-14,-11.08,87.2,98.2,67.2,-0.026,-13.52,90.5,104,-5.5
271,New Mexico St.,SB,6-24,-11.13,93.6,104.7,70.5,-0.041,1.43,100.8,99.4,2.37
272,Liberty,BSth,13-15,-11.22,93.2,104.4,71.4,0.097,-6.44,95.6,102.1,1.44
273,Coastal Carolina,BSth,10-19,-11.8,96,107.8,69.9,-0.026,-6.4,95.7,102.1,-0.96
274,LIU Brooklyn,NEC,14-15,-11.82,90.5,102.3,71.6,0.08,-8.51,95.8,104.3,-2.83
275,Lafayette,Pat,9-19,-11.86,91.7,103.6,73.8,0.018,-2.31,97.2,99.5,0.86
276,Lipscomb,ASun,16-12,-12.08,91.6,103.7,67.5,0.091,-10.95,94,104.9,-15.97
277,Texas Pan American,ind,12-16,-12.08,93.5,105.6,70.9,0.017,-3.89,97.7,101.6,-0.51
278,Sacramento St.,BSky,12-16,-12.16,91.4,103.6,73.1,0.086,-6.41,95.8,102.2,-3.05
279,Alabama A&M 16,SWAC,15-14,-12.23,87.4,99.6,74.8,-0.021,-14.44,89.1,103.6,-1.9
280,San Jose St.,WAC,6-23,-12.32,91.6,103.9,67.3,0.031,1.76,101,99.3,-0.17
281,Dartmouth,Ivy,10-17,-12.37,91.3,103.7,63.2,0.082,-3.74,96.8,100.6,-3.41
282,Elon,SC,8-23,-12.46,88.4,100.8,65.9,0.021,-2.83,98.7,101.6,1.82
283,Stetson,ASun,10-17,-12.53,92.7,105.2,68.9,0.014,-6.94,96.5,103.5,5.68
284,Navy,Pat,9-19,-12.63,90.5,103.1,76.2,-0.027,-7.6,94,101.6,-10.56
285,Siena,MAAC,6-24,-12.98,89.2,102.1,69.3,0.013,-1.96,99.5,101.5,1.93
286,Jacksonville St.,OVC,7-22,-13.07,95.3,108.3,69.4,-0.076,-4.06,98.3,102.3,-4
287,UMBC,AE,11-18,-13.19,90.4,103.6,67.1,0.065,-5.47,95.4,100.9,-13.26
288,Charleston Southern,BSth,13-17,-13.2,86.6,99.8,64.9,0.106,-6.76,95.8,102.6,-0.82
289,Jacksonville,ASun,16-13,-13.33,89.7,103.1,73.6,0.128,-9.72,94.8,104.5,-7.27
290,William & Mary,CAA,8-21,-13.58,91.2,104.8,69.1,-0.036,-2.95,97.3,100.3,-6.62
291,Radford,BSth,12-16,-13.65,93.5,107.2,69.2,0.037,-8.88,94.4,103.3,-6.97
292,IPFW,ind,7-22,-13.67,90.5,104.2,68.2,-0.043,-2.71,99.2,101.9,0.71
293,Louisiana Monroe,Slnd,8-19,-13.92,92,105.9,66.8,-0.071,-4.95,97.2,102.2,-3.28
294,Morehead St.,OVC,11-16,-13.94,91.9,105.8,67.5,0.033,-3.78,99,102.7,-1.63
295,Western Carolina,SC,8-22,-14.03,88.8,102.9,73.9,-0.003,-2.96,98,101,2.22
296,Quinnipiac,NEC,10-17,-14.03,96.3,110.3,72.8,-0.008,-9.38,94.7,104.1,-6.45
297,Morgan St.,MEAC,14-15,-14.08,89,103.1,70.3,0.045,-12.55,90.9,103.4,-3.16
298,Towson,CAA,5-24,-14.69,92.6,107.3,66.9,-0.063,-3.2,96.7,99.9,-6.05
299,Jackson St.,SWAC,14-16,-14.92,85.7,100.7,72.8,0.058,-12.27,90.7,103,0.67
300,Grambling St.,SWAC,14-10,-15.04,90,105.1,71.1,0.122,-14.51,88.2,102.7,4.38
301,Alabama St.,SWAC,13-14,-15.41,84.7,100.1,64.3,0.084,-12.92,90.4,103.3,1.88
302,The Citadel,SC,12-16,-15.44,86.7,102.1,71.7,0.012,-6.18,95.4,101.6,-16.56
303,Florida A&M,MEAC,14-15,-15.55,91.7,107.3,71.4,0.101,-11.9,90.4,102.3,6.58
304,Tennessee Martin,OVC,6-21,-15.56,92.9,108.5,70,-0.005,-2.8,99.5,102.3,-0.75
305,Southern,SWAC,12-14,-15.9,87.2,103.1,70.8,0.004,-14.27,88.5,102.8,-2.97
306,Loyola MD,MAAC,6-22,-16.55,86.7,103.3,72.6,0.036,-4.49,98.5,103,-7.12
307,Idaho St.,BSky,9-18,-16.6,87.1,103.7,68.9,-0.018,-7.02,96.3,103.4,-5.54
308,Northern Colorado,ind,8-21,-16.65,92.6,109.2,69.2,-0.022,0.3,99.8,99.5,8.11
309,Mount St. Mary's,NEC,7-20,-17.04,91.1,108.2,68.4,-0.05,-9.57,94.5,104.1,-7.92
310,Hartford,AE,8-20,-17.08,88,105.1,68.5,0.013,-4.59,96,100.6,-8.02
311,Cal Poly,BW,5-22,-17.47,93.1,110.6,73.4,0.003,-1.21,98.8,100,-4.25
312,James Madison,CAA,6-22,-17.85,88.3,106.2,67.9,-0.003,-2.81,97.6,100.5,-5.11
313,Bethune Cookman,MEAC,13-17,-17.95,87.3,105.2,70.3,0.073,-12.77,89.8,102.5,-7.37
314,Sacred Heart,NEC,4-23,-18.01,86.7,104.7,71.8,-0.07,-8.32,96.1,104.4,-2.46
315,Texas Southern,SWAC,11-14,-18.05,90.1,108.1,70.2,0.052,-14.78,87.9,102.7,-4.14
316,VMI,BSth,9-18,-18.06,87.5,105.5,70.2,-0.003,-10.01,93.9,103.9,-11.5
317,Nicholls St.,Slnd,6-21,-18.13,91.8,109.9,74.4,-0.105,-5.43,95.9,101.3,-5.21
318,Youngstown St.,Horz,5-23,-18.97,88.6,107.5,66.9,-0.001,-0.34,100,100.3,-3.44
319,Centenary,MCon,3-24,-19.55,90.6,110.2,68.1,-0.033,-1.68,100.6,102.3,0.42
320,North Carolina A&T,MEAC,6-23,-20.05,79.2,99.2,76.5,-0.024,-10.01,93.6,103.6,1.84
321,St. Bonaventure,A10,2-26,-20.8,89,109.8,70.1,-0.012,0.49,99.9,99.5,-0.91
322,Arkansas Pine Bluff,SWAC,6-20,-22.43,80,102.5,70.4,-0.038,-11.87,90.6,102.5,6.74
323,Campbell,ASun,2-25,-22.97,84.6,107.6,70.2,-0.083,-7.3,96.4,103.7,1.13
324,Howard,MEAC,5-23,-24.86,85.5,110.3,71.7,-0.026,-12.35,90.8,103.2,-7.41
325,Army,Pat,3-24,-25.67,85.3,111,64.8,-0.078,-5.24,95.2,100.4,-7.74
326,Prairie View A&M,SWAC,5-23,-26.01,76.6,102.6,71.5,-0.015,-11.64,90.8,102.5,2.56
327,Alcorn St.,SWAC,7-22,-26.46,76.6,103.1,71.2,0.026,-12.87,90.9,103.8,-3.08
328,Longwood,ind,1-30,-27.28,81.1,108.4,73.8,-0.024,-7.41,96.6,104,-6.51
329,Savannah St.,ind,0-28,-36.21,74.7,110.9,74.6,-0.019,-8.73,93.8,102.5,-9.14
330,Maryland Eastern Shore,MEAC,2-26,-37.13,75.2,112.3,73.2,0.007,-11.58,91.8,103.4,-6.61
