Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,Season,Team_Id,Team_Name
128.0,Michigan,B10,11-18,3.16,103.3,100.2,67.3,-0.038,8.53,106.8,98.3,0.66,2002.0,1276,Michigan
137.0,North Carolina,ACC,8-20,2.53,103.6,101.1,71.6,-0.066,12.23,109.1,96.8,5.32,2002.0,1314,North Carolina
142.0,Virginia Tech,BE,10-18,2.09,102.0,100.0,69.5,-0.099,4.62,102.8,98.2,-3.09,2002.0,1439,Virginia Tech
145.0,Princeton,Ivy,15-12,1.47,101.5,100.0,59.9,0.023,-0.9,100.2,101.1,4.88,2002.0,1343,Princeton
152.0,Wichita St,MVC,15-15,0.58,105.6,105.0,68.3,-0.006,0.34,102.3,102.0,0.34,2002.0,1455,Wichita St
157.0,Troy,ASun,18-10,0.15,102.1,102.0,70.4,0.044,-5.62,100.5,106.1,-1.73,2002.0,1407,Troy
172.0,New Orleans,SB,14-14,-1.18,96.2,97.3,69.5,0.042,-1.53,100.3,101.8,-3.37,2002.0,1309,New Orleans
190.0,Vermont,AE,21-8,-2.47,103.6,106.1,69.4,0.026,-12.61,94.1,106.8,-8.0,2002.0,1436,Vermont
193.0,West Virginia,BE,7-20,-2.64,101.3,103.9,73.4,-0.03,7.09,104.7,97.6,-0.21,2002.0,1452,West Virginia
202.0,MTSU,SB,13-15,-3.36,94.7,98.0,67.8,0.04,-1.13,101.0,102.1,-3.26,2002.0,1292,MTSU
218.0,Iona,MAAC,13-17,-5.08,96.3,101.4,72.5,-0.019,-4.19,98.8,102.9,-2.21,2002.0,1233,Iona
220.0,Winthrop,BSth,17-12,-5.33,95.2,100.5,68.0,0.039,-10.81,95.4,106.2,-1.4,2002.0,1457,Winthrop
226.0,St Mary's CA,WCC,8-20,-5.89,89.1,95.0,67.1,-0.044,0.81,102.7,101.9,0.45,2002.0,1388,St Mary's CA
235.0,Rhode Island,A10,8-20,-6.74,95.5,102.2,67.1,0.061,4.32,104.8,100.4,1.96,2002.0,1348,Rhode Island
245.0,Jacksonville St,ASun,13-16,-7.91,99.4,107.4,67.6,-0.028,-7.64,97.8,105.4,-20.14,2002.0,1240,Jacksonville St
269.0,Bucknell,Pat,13-16,-11.27,92.3,103.6,66.8,0.059,-8.48,95.6,104.1,-7.24,2002.0,1137,Bucknell
311.0,TX Southern,SWAC,11-17,-19.54,92.6,112.1,70.0,0.078,-12.27,95.3,107.6,3.28,2002.0,1411,TX Southern
325.0,Mt St Mary's,NEC,3-24,-29.37,83.1,112.4,68.7,0.019,-10.74,96.1,106.8,-3.72,2002.0,1291,Mt St Mary's
,,,,,,,,,,,,,,1195,FL Gulf Coast
