Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,Season,Team_Id,Team_Name
3.0,Duke,ACC,27-6,26.79,111.8,85.0,71.1,-0.002,11.44,106.4,95.0,4.02,2005.0,1181,Duke
4.0,Louisville,CUSA,33-5,25.23,114.9,89.7,69.3,0.046,7.24,103.3,96.1,2.19,2005.0,1257,Louisville
5.0,Michigan St,B10,26-7,25.22,116.1,90.8,69.0,-0.012,8.33,104.0,95.6,0.29,2005.0,1277,Michigan St
6.0,Oklahoma St,B12,26-7,24.47,117.4,92.9,68.8,-0.015,10.05,104.9,94.8,6.18,2005.0,1329,Oklahoma St
7.0,Wake Forest,ACC,27-6,24.35,120.2,95.9,71.7,0.046,10.94,105.0,94.1,6.33,2005.0,1448,Wake Forest
8.0,Villanova,BE,24-8,24.28,110.2,85.9,69.7,-0.054,10.07,104.8,94.8,2.68,2005.0,1437,Villanova
9.0,Kentucky,SEC,28-6,23.65,109.6,85.9,68.6,0.031,9.34,105.0,95.6,1.23,2005.0,1246,Kentucky
10.0,Florida,SEC,24-8,23.31,111.9,88.6,68.3,-0.027,8.06,103.8,95.8,-0.8,2005.0,1196,Florida
11.0,Kansas,B12,23-7,22.61,111.9,89.3,68.9,0.009,11.69,105.4,93.7,13.9,2005.0,1242,Kansas
13.0,Arizona,P10,30-7,21.79,112.6,90.8,71.3,0.027,8.5,104.8,96.3,5.41,2005.0,1112,Arizona
17.0,Wisconsin,B10,25-9,20.41,108.2,87.8,65.2,0.043,10.78,105.6,94.8,3.47,2005.0,1458,Wisconsin
19.0,Cincinnati,CUSA,25-8,19.9,108.0,88.1,71.0,-0.005,6.71,103.4,96.7,4.24,2005.0,1153,Cincinnati
26.0,Gonzaga,WCC,26-5,17.54,115.7,98.1,69.4,0.013,3.94,100.9,97.0,3.96,2005.0,1211,Gonzaga
33.0,Vanderbilt,SEC,20-14,15.05,107.3,92.2,68.4,-0.053,7.9,103.7,95.8,3.68,2005.0,1435,Vanderbilt
35.0,West Virginia,BE,24-11,14.65,110.3,95.7,66.4,0.081,9.26,105.2,95.9,-4.88,2005.0,1452,West Virginia
37.0,Maryland,ACC,19-13,14.37,105.3,90.9,77.7,-0.034,9.14,104.6,95.5,-1.82,2005.0,1268,Maryland
39.0,Creighton,MVC,23-11,13.95,110.1,96.1,66.2,-0.033,4.8,101.9,97.0,0.15,2005.0,1166,Creighton
41.0,Minnesota,B10,21-11,13.78,100.4,86.6,69.3,0.016,7.43,103.4,96.0,-0.13,2005.0,1278,Minnesota
43.0,Vermont,AE,25-7,13.26,107.6,94.3,67.3,0.032,-2.06,97.2,99.3,3.11,2005.0,1436,Vermont
47.0,Wichita St,MVC,22-10,12.91,109.6,96.7,67.1,-0.013,5.0,102.5,97.5,0.15,2005.0,1455,Wichita St
48.0,Iowa St,B12,19-12,12.71,99.5,86.8,69.7,0.004,7.72,104.4,96.7,0.13,2005.0,1235,Iowa St
50.0,South Carolina,SEC,20-13,12.4,106.2,93.8,66.4,-0.016,8.54,103.7,95.1,3.06,2005.0,1376,South Carolina
56.0,Nevada,WAC,25-7,11.7,99.5,87.8,69.0,0.046,1.59,101.4,99.8,1.65,2005.0,1305,Nevada
57.0,Arkansas,SEC,18-12,11.67,102.2,90.6,68.3,-0.062,3.94,102.1,98.1,-6.47,2005.0,1116,Arkansas
59.0,Notre Dame,BE,17-12,11.22,105.5,94.3,66.8,-0.042,7.9,103.9,96.0,-3.8,2005.0,1323,Notre Dame
62.0,Providence,BE,14-17,11.09,107.3,96.2,71.4,-0.093,10.44,105.7,95.2,5.43,2005.0,1344,Providence
67.0,UCLA,P10,18-11,10.53,104.4,93.8,71.8,0.036,7.47,103.8,96.3,3.09,2005.0,1417,UCLA
68.0,Miami FL,ACC,16-13,10.53,106.6,96.1,67.9,-0.006,8.49,103.8,95.3,-2.83,2005.0,1274,Miami FL
73.0,Kansas St,B12,17-12,9.8,105.6,95.8,66.3,-0.011,7.86,103.6,95.8,-1.2,2005.0,1243,Kansas St
78.0,St Mary's CA,WCC,25-9,9.22,102.5,93.3,68.1,0.081,2.95,101.9,99.0,0.09,2005.0,1388,St Mary's CA
81.0,Xavier,A10,17-12,8.83,107.6,98.7,65.6,-0.087,1.92,100.3,98.3,5.81,2005.0,1462,Xavier
83.0,Kent,MAC,20-13,8.47,103.0,94.5,68.1,0.002,3.88,102.2,98.3,4.35,2005.0,1245,Kent
89.0,Virginia,ACC,14-15,7.19,103.6,96.4,70.8,0.059,11.55,106.4,94.8,3.28,2005.0,1438,Virginia
93.0,Oregon,P10,14-13,6.6,103.5,96.9,68.9,0.026,7.6,103.5,95.9,2.13,2005.0,1332,Oregon
94.0,Bucknell,Pat,23-10,6.56,98.6,92.0,65.5,0.065,-2.43,98.0,100.4,1.19,2005.0,1137,Bucknell
95.0,Virginia Tech,ACC,16-14,6.56,101.4,94.8,69.0,0.036,7.52,102.7,95.2,-10.62,2005.0,1439,Virginia Tech
100.0,Marquette,CUSA,19-12,6.38,105.5,99.1,63.4,0.052,5.3,102.0,96.7,1.86,2005.0,1266,Marquette
101.0,Florida St,ACC,12-19,6.24,101.0,94.7,68.8,-0.069,10.1,104.8,94.7,0.31,2005.0,1199,Florida St
107.0,Winthrop,BSth,27-6,4.9,97.6,92.7,65.7,0.064,-7.43,96.3,103.7,0.07,2005.0,1457,Winthrop
109.0,Seton Hall,BE,12-16,4.83,96.4,91.6,67.1,-0.034,7.24,103.7,96.4,-2.57,2005.0,1371,Seton Hall
111.0,Dayton,A10,18-11,4.56,98.9,94.3,65.4,-0.001,0.25,99.6,99.4,2.15,2005.0,1173,Dayton
113.0,USC,P10,12-17,4.53,103.9,99.4,73.3,-0.018,7.27,103.2,95.9,2.33,2005.0,1425,USC
117.0,MTSU,SB,19-12,4.35,100.4,96.1,68.5,-0.018,-1.14,99.3,100.4,-2.04,2005.0,1292,MTSU
122.0,Purdue,B10,7-21,3.96,101.5,97.6,66.1,-0.102,12.45,106.2,93.8,7.53,2005.0,1345,Purdue
123.0,VA Commonwealth,CAA,19-13,3.95,101.6,97.7,68.2,-0.033,-1.21,98.5,99.7,1.91,2005.0,1433,VA Commonwealth
127.0,Northwestern,B10,15-16,3.63,97.3,93.7,63.3,0.06,7.71,104.5,96.8,0.14,2005.0,1321,Northwestern
171.0,Northwestern,Slnd,21-12,-0.26,100.2,100.5,71.2,0.075,-2.92,97.8,100.7,7.01,2005.0,1321,Northwestern
128.0,SMU,WAC,14-14,3.56,101.2,97.6,66.5,-0.058,1.08,100.1,99.0,0.26,2005.0,1374,SMU
131.0,Michigan,B10,13-18,3.51,99.9,96.4,64.7,-0.026,7.81,103.4,95.6,2.89,2005.0,1276,Michigan
141.0,Princeton,Ivy,15-13,2.03,101.5,99.4,55.8,-0.017,-1.74,97.8,99.5,3.19,2005.0,1343,Princeton
144.0,Butler,Horz,13-15,1.78,105.5,103.7,60.8,-0.119,-0.72,99.2,99.9,-0.24,2005.0,1139,Butler
155.0,UNC Wilmington,CAA,19-10,0.49,97.2,96.7,65.1,0.076,-3.5,98.1,101.6,-5.56,2005.0,1423,UNC Wilmington
185.0,Iona,MAAC,15-16,-1.97,96.9,98.8,71.2,-0.02,-3.38,99.3,102.7,0.51,2005.0,1233,Iona
187.0,New Orleans,SB,13-17,-2.04,99.2,101.2,67.1,0.003,0.4,100.5,100.1,1.13,2005.0,1309,New Orleans
236.0,Baylor,B12,9-19,-7.43,100.0,107.5,66.5,-0.051,5.71,101.7,96.0,-16.06,2005.0,1124,Baylor
250.0,Rhode Island,A10,6-22,-8.7,91.7,100.4,64.7,-0.024,0.49,99.1,98.6,1.33,2005.0,1348,Rhode Island
257.0,ETSU,SC,10-19,-9.18,98.6,107.8,74.9,-0.059,-3.27,96.8,100.0,2.5,2005.0,1190,ETSU
263.0,Troy,ASun,12-18,-9.75,100.3,110.0,71.6,-0.008,-6.7,95.6,102.3,4.32,2005.0,1407,Troy
265.0,UC Davis,ind,11-17,-9.96,97.8,107.8,67.1,0.013,-3.29,97.6,100.9,-1.78,2005.0,1413,UC Davis
271.0,New Mexico St,SB,6-24,-11.13,93.6,104.7,70.5,-0.041,1.43,100.8,99.4,2.37,2005.0,1308,New Mexico St
286.0,Jacksonville St,OVC,7-22,-13.07,95.3,108.3,69.4,-0.076,-4.06,98.3,102.3,-4.0,2005.0,1240,Jacksonville St
309.0,Mt St Mary's,NEC,7-20,-17.04,91.1,108.2,68.4,-0.05,-9.57,94.5,104.1,-7.92,2005.0,1291,Mt St Mary's
315.0,TX Southern,SWAC,11-14,-18.05,90.1,108.1,70.2,0.052,-14.78,87.9,102.7,-4.14,2005.0,1411,TX Southern
,,,,,,,,,,,,,,1195,FL Gulf Coast
,,,,,,,,,,,,,,1297,N Kentucky
,,,,,,,,,,,,,,1300,NC Central
,,,,,,,,,,,,,,1315,North Dakota
,,,,,,,,,,,,,,1355,S Dakota St
1.0,Florida,SEC,33-6,27.56,113.8,86.2,69.8,-0.011,8.32,104.7,96.4,-4.71,2006.0,1196,Florida
2.0,Duke,ACC,32-4,26.98,115.7,88.7,73.0,0.048,10.75,105.3,94.5,8.2,2006.0,1181,Duke
5.0,Villanova,BE,28-5,23.98,111.7,87.7,69.1,0.081,10.75,105.3,94.6,3.94,2006.0,1437,Villanova
7.0,UCLA,P10,32-7,22.86,108.7,85.8,64.8,0.021,8.77,104.5,95.8,5.61,2006.0,1417,UCLA
9.0,Kansas,B12,25-8,22.69,106.5,83.8,71.0,-0.043,7.19,103.6,96.5,2.89,2006.0,1242,Kansas
10.0,North Carolina,ACC,23-8,21.65,111.8,90.2,73.2,-0.009,9.81,105.1,95.3,2.74,2006.0,1314,North Carolina
16.0,West Virginia,BE,22-11,19.1,112.7,93.6,65.1,-0.047,10.68,105.5,94.8,1.61,2006.0,1452,West Virginia
19.0,Arkansas,SEC,22-10,18.07,108.5,90.4,69.6,-0.061,7.22,103.3,96.1,-0.79,2006.0,1116,Arkansas
20.0,South Carolina,SEC,23-15,18.02,110.5,92.5,63.0,-0.056,10.28,105.5,95.2,2.25,2006.0,1376,South Carolina
23.0,Arizona,P10,20-13,16.85,108.2,91.3,71.0,-0.038,10.68,105.0,94.3,9.99,2006.0,1112,Arizona
24.0,Kentucky,SEC,22-13,16.68,110.7,94.0,67.3,-0.0,10.53,105.4,94.9,5.35,2006.0,1246,Kentucky
26.0,Michigan,B10,22-11,15.69,109.7,94.0,68.7,0.012,9.14,104.3,95.2,2.52,2006.0,1276,Michigan
27.0,Michigan St,B10,22-12,15.67,111.9,96.2,67.6,0.004,9.31,103.7,94.4,1.04,2006.0,1277,Michigan St
28.0,Wichita St,MVC,26-9,15.66,107.8,92.2,65.7,0.032,6.4,102.1,95.7,2.02,2006.0,1455,Wichita St
29.0,Notre Dame,BE,16-14,15.57,113.2,97.6,67.4,-0.144,8.79,105.8,97.0,-0.97,2006.0,1323,Notre Dame
33.0,Gonzaga,WCC,29-4,15.32,114.9,99.6,70.0,0.036,5.48,102.0,96.5,9.77,2006.0,1211,Gonzaga
36.0,Marquette,BE,20-11,15.03,108.6,93.5,71.0,-0.011,9.28,105.8,96.5,0.79,2006.0,1266,Marquette
37.0,Nevada,WAC,27-6,14.8,106.0,91.2,68.9,0.025,2.57,100.9,98.4,4.05,2006.0,1305,Nevada
38.0,Wisconsin,B10,19-12,14.68,108.0,93.3,68.2,-0.023,8.97,104.1,95.1,3.97,2006.0,1458,Wisconsin
39.0,Florida St,ACC,20-10,14.67,106.8,92.2,71.1,-0.032,6.76,103.7,97.0,-7.99,2006.0,1199,Florida St
41.0,UNC Wilmington,CAA,25-8,14.43,103.3,88.9,66.1,-0.005,1.43,100.6,99.2,-0.42,2006.0,1423,UNC Wilmington
44.0,Cincinnati,BE,21-13,14.0,107.1,93.1,71.6,-0.001,10.45,104.8,94.4,5.56,2006.0,1153,Cincinnati
45.0,Louisville,BE,21-13,13.86,105.3,91.4,67.3,-0.042,7.97,104.7,96.7,-1.76,2006.0,1257,Louisville
49.0,Vanderbilt,SEC,17-13,13.17,110.5,97.4,65.3,-0.029,9.26,105.5,96.2,0.32,2006.0,1435,Vanderbilt
51.0,Creighton,MVC,20-10,12.83,103.4,90.6,65.7,0.001,6.15,101.4,95.3,1.21,2006.0,1166,Creighton
53.0,Xavier,A10,21-11,12.5,107.2,94.7,67.8,-0.066,3.06,101.1,98.0,-1.0,2006.0,1462,Xavier
54.0,Oklahoma St,B12,17-16,12.45,103.8,91.4,68.2,-0.096,6.99,103.9,96.9,1.25,2006.0,1329,Oklahoma St
55.0,Miami FL,ACC,18-16,12.43,107.2,94.7,64.5,-0.039,9.67,105.2,95.6,0.3,2006.0,1274,Miami FL
56.0,Bucknell,Pat,27-5,12.38,102.3,89.9,64.6,0.093,-3.27,97.2,100.4,5.17,2006.0,1137,Bucknell
58.0,Maryland,ACC,19-13,12.31,103.3,91.0,76.3,-0.021,8.88,105.3,96.4,1.07,2006.0,1268,Maryland
61.0,Butler,Horz,20-13,11.67,110.8,99.2,61.7,-0.073,0.84,99.9,99.1,2.77,2006.0,1139,Butler
64.0,Iona,MAAC,23-8,11.1,105.8,94.7,73.2,0.024,0.21,102.8,102.5,2.22,2006.0,1233,Iona
65.0,Oregon,P10,15-18,11.04,108.1,97.1,66.2,-0.143,7.86,103.3,95.4,0.76,2006.0,1332,Oregon
70.0,Kent,MAC,25-9,10.27,104.5,94.2,68.8,0.019,0.92,100.5,99.5,-0.64,2006.0,1245,Kent
74.0,Virginia Tech,ACC,14-16,9.97,104.6,94.7,66.5,-0.148,6.44,102.7,96.3,-5.83,2006.0,1439,Virginia Tech
75.0,Winthrop,BSth,23-8,9.9,100.5,90.6,67.4,-0.027,-4.67,99.5,104.1,6.27,2006.0,1457,Winthrop
76.0,Iowa St,B12,16-14,9.77,107.4,97.6,73.1,-0.051,7.59,103.1,95.5,4.29,2006.0,1235,Iowa St
77.0,Kansas St,B12,15-13,9.39,102.2,92.8,66.7,-0.097,4.93,102.8,97.9,-1.96,2006.0,1243,Kansas St
79.0,Wake Forest,ACC,17-17,9.26,107.0,97.8,69.5,-0.034,8.98,104.9,96.0,-1.43,2006.0,1448,Wake Forest
80.0,Providence,BE,12-15,9.2,108.4,99.2,71.9,-0.057,9.74,105.8,96.0,3.65,2006.0,1344,Providence
81.0,Minnesota,B10,16-15,9.14,100.7,91.6,67.7,-0.016,8.03,103.7,95.6,-1.13,2006.0,1278,Minnesota
82.0,Virginia,ACC,15-15,9.12,102.0,92.9,67.8,-0.013,8.68,105.2,96.5,-2.04,2006.0,1438,Virginia
87.0,Seton Hall,BE,18-12,8.81,102.4,93.6,68.9,0.086,7.95,103.5,95.6,1.87,2006.0,1371,Seton Hall
93.0,Northwestern,Slnd,26-8,7.32,103.0,95.7,70.7,0.017,-2.11,98.9,101.0,5.77,2006.0,1321,Northwestern
123.0,Northwestern,B10,14-15,4.76,99.0,94.3,61.0,0.003,7.39,104.0,96.6,-0.03,2006.0,1321,Northwestern
102.0,USC,P10,17-13,6.57,101.1,94.5,70.3,0.021,6.46,102.5,96.1,-3.82,2006.0,1425,USC
103.0,VA Commonwealth,CAA,19-10,6.53,103.4,96.9,65.4,0.005,-0.52,99.2,99.8,-3.59,2006.0,1433,VA Commonwealth
106.0,St Mary's CA,WCC,17-12,6.25,101.8,95.5,67.6,-0.031,2.52,101.4,98.9,4.82,2006.0,1388,St Mary's CA
126.0,New Mexico St,WAC,16-14,4.09,101.8,97.7,69.6,0.044,3.73,101.3,97.6,3.66,2006.0,1308,New Mexico St
131.0,Dayton,A10,14-17,3.14,99.2,96.0,65.1,-0.092,3.17,101.0,97.8,0.36,2006.0,1173,Dayton
150.0,Rhode Island,A10,14-14,0.54,99.7,99.2,65.5,0.043,2.56,100.7,98.1,-0.29,2006.0,1348,Rhode Island
154.0,Purdue,B10,9-19,0.17,97.9,97.7,69.2,-0.009,8.48,104.7,96.2,0.8,2006.0,1345,Purdue
155.0,Baylor,B12,4-13,0.15,99.8,99.6,68.0,-0.046,11.57,105.6,94.1,0.0,2006.0,1124,Baylor
159.0,MTSU,SB,16-12,-0.12,101.6,101.7,67.7,0.064,-1.56,99.3,100.9,0.28,2006.0,1292,MTSU
167.0,Troy,SB,14-15,-0.76,101.5,102.2,68.5,-0.106,-3.49,98.1,101.6,-6.18,2006.0,1407,Troy
186.0,SMU,CUSA,13-16,-2.3,94.6,96.9,68.0,-0.113,-3.68,96.0,99.7,-9.2,2006.0,1374,SMU
196.0,Vermont,AE,13-17,-3.22,94.9,98.2,67.7,-0.067,-4.26,96.9,101.1,2.11,2006.0,1436,Vermont
207.0,Jacksonville St,OVC,16-13,-4.35,103.3,107.6,72.2,0.034,-5.19,98.5,103.7,1.52,2006.0,1240,Jacksonville St
221.0,ETSU,ASun,15-13,-5.58,96.5,102.1,76.1,-0.066,-10.93,96.1,107.0,-4.19,2006.0,1190,ETSU
230.0,New Orleans,SB,10-19,-6.37,95.6,102.0,66.7,0.003,0.25,99.2,98.9,3.49,2006.0,1309,New Orleans
242.0,Mt St Mary's,NEC,13-17,-7.46,93.0,100.4,67.2,-0.008,-5.86,97.4,103.3,-1.7,2006.0,1291,Mt St Mary's
264.0,Princeton,Ivy,12-15,-9.09,94.0,103.0,56.2,0.064,-4.76,95.9,100.7,0.85,2006.0,1343,Princeton
287.0,UC Davis,ind,8-20,-12.35,94.8,107.2,66.3,-0.005,-2.25,99.9,102.2,-1.99,2006.0,1413,UC Davis
299.0,S Dakota St,ind,9-20,-14.64,87.6,102.2,70.4,0.067,-1.33,100.6,101.9,3.28,2006.0,1355,S Dakota St
319.0,TX Southern,SWAC,8-22,-18.73,88.2,107.0,73.0,-0.041,-8.17,93.8,101.9,9.67,2006.0,1411,TX Southern
,,,,,,,,,,,,,,1195,FL Gulf Coast
,,,,,,,,,,,,,,1297,N Kentucky
,,,,,,,,,,,,,,1300,NC Central
,,,,,,,,,,,,,,1315,North Dakota
1.0,North Carolina,ACC,31-7,30.78,117.0,86.2,74.5,-0.046,11.47,107.7,96.2,5.4,2007.0,1314,North Carolina
2.0,Florida,SEC,35-5,30.18,118.5,88.4,68.3,0.029,8.89,105.4,96.5,-3.15,2007.0,1196,Florida
5.0,Kansas,B12,33-5,27.18,110.7,83.5,71.1,0.032,7.56,104.9,97.3,2.26,2007.0,1242,Kansas
6.0,UCLA,P10,30-6,26.52,111.0,84.4,66.1,0.019,11.86,107.8,95.9,9.25,2007.0,1417,UCLA
8.0,Wisconsin,B10,30-6,24.88,110.7,85.9,65.9,0.034,8.88,104.9,96.0,2.2,2007.0,1458,Wisconsin
10.0,Duke,ACC,22-11,22.76,108.2,85.5,67.6,-0.073,12.69,107.9,95.2,7.57,2007.0,1181,Duke
12.0,Maryland,ACC,25-9,21.98,108.2,86.3,73.8,-0.027,9.49,105.7,96.2,0.75,2007.0,1268,Maryland
13.0,Kentucky,SEC,22-12,21.29,112.1,90.8,68.8,-0.029,13.9,107.7,93.8,11.2,2007.0,1246,Kentucky
15.0,Butler,Horz,29-7,20.93,113.1,92.2,61.0,0.015,5.04,103.0,98.0,8.59,2007.0,1139,Butler
17.0,Michigan St,B10,23-12,20.53,107.8,87.3,63.3,-0.036,10.68,106.3,95.7,3.13,2007.0,1277,Michigan St
18.0,Oregon,P10,29-8,20.32,114.0,93.7,67.8,0.032,7.84,104.7,96.9,-4.73,2007.0,1332,Oregon
20.0,Louisville,BE,24-10,19.89,109.4,89.5,67.0,-0.045,8.97,105.0,96.1,1.34,2007.0,1257,Louisville
21.0,Villanova,BE,22-11,19.72,108.3,88.6,68.9,-0.036,11.08,106.8,95.7,3.63,2007.0,1437,Villanova
22.0,Notre Dame,BE,24-8,19.62,113.9,94.3,72.6,-0.018,5.2,102.7,97.5,-8.1,2007.0,1323,Notre Dame
24.0,Arizona,P10,20-11,18.97,115.2,96.2,70.6,-0.008,12.7,107.1,94.4,12.27,2007.0,1112,Arizona
28.0,Creighton,MVC,22-11,18.2,110.0,91.8,64.7,-0.023,8.69,104.6,95.9,4.12,2007.0,1166,Creighton
31.0,Purdue,B10,22-12,17.96,106.2,88.3,68.7,0.002,10.17,106.5,96.3,3.86,2007.0,1345,Purdue
32.0,Xavier,A10,25-9,17.85,112.8,95.0,68.3,-0.047,4.05,103.5,99.4,6.3,2007.0,1462,Xavier
33.0,West Virginia,BE,27-9,17.68,112.3,94.6,65.7,0.022,6.52,103.8,97.3,-4.39,2007.0,1452,West Virginia
34.0,Florida St,ACC,22-13,17.44,111.8,94.4,68.7,-0.007,10.65,106.6,96.0,-0.63,2007.0,1199,Florida St
37.0,Virginia Tech,ACC,22-12,17.02,108.2,91.1,66.5,-0.004,9.97,106.4,96.5,1.45,2007.0,1439,Virginia Tech
38.0,Marquette,BE,24-10,16.76,107.2,90.4,69.7,0.009,8.74,105.1,96.4,-0.13,2007.0,1266,Marquette
40.0,USC,P10,25-12,16.45,107.0,90.5,69.1,0.017,9.37,105.2,95.8,-2.09,2007.0,1425,USC
42.0,Arkansas,SEC,21-14,16.3,105.8,89.5,69.2,-0.022,10.72,106.9,96.2,4.17,2007.0,1116,Arkansas
44.0,Vanderbilt,SEC,22-12,15.86,110.5,94.7,69.3,0.008,10.01,106.2,96.2,-0.16,2007.0,1435,Vanderbilt
46.0,Nevada,WAC,29-5,15.84,113.1,97.2,68.4,0.03,2.34,100.8,98.5,2.51,2007.0,1305,Nevada
48.0,Virginia,ACC,21-11,15.08,108.8,93.7,71.6,0.007,9.3,106.2,96.9,-0.52,2007.0,1438,Virginia
49.0,Gonzaga,WCC,23-11,15.0,110.1,95.1,70.3,-0.032,4.55,103.3,98.7,10.14,2007.0,1211,Gonzaga
51.0,Winthrop,BSth,29-5,14.37,107.5,93.1,66.8,0.055,-3.16,99.3,102.4,10.33,2007.0,1457,Winthrop
54.0,VA Commonwealth,CAA,28-7,14.1,111.7,97.6,67.9,0.003,0.59,100.8,100.2,0.93,2007.0,1433,VA Commonwealth
57.0,Kansas St,B12,23-12,13.38,104.6,91.2,68.8,0.026,5.71,104.0,98.3,-1.42,2007.0,1243,Kansas St
60.0,Michigan,B10,22-13,13.17,104.2,91.1,65.3,0.038,8.53,104.8,96.2,-0.55,2007.0,1276,Michigan
65.0,Wichita St,MVC,17-14,12.13,106.2,94.0,66.3,-0.07,8.24,105.8,97.6,2.17,2007.0,1455,Wichita St
71.0,Providence,BE,18-13,10.68,107.5,96.8,71.6,-0.024,6.89,104.5,97.6,-0.47,2007.0,1344,Providence
74.0,Oklahoma St,B12,22-13,10.37,104.9,94.5,68.3,0.045,8.17,105.3,97.1,0.85,2007.0,1329,Oklahoma St
81.0,Kent,MAC,21-11,9.66,100.7,91.0,67.8,0.002,1.42,101.6,100.2,1.59,2007.0,1245,Kent
93.0,New Mexico St,WAC,25-9,7.21,104.3,97.1,72.5,0.036,0.76,101.2,100.5,-2.32,2007.0,1308,New Mexico St
98.0,Bucknell,Pat,22-9,6.73,102.6,95.9,63.0,-0.001,-3.83,97.3,101.1,1.24,2007.0,1137,Bucknell
102.0,St Mary's CA,WCC,17-15,6.34,101.7,95.4,68.2,-0.102,1.56,100.6,99.0,4.6,2007.0,1388,St Mary's CA
103.0,Wake Forest,ACC,15-16,6.32,103.9,97.6,72.4,0.049,10.63,107.2,96.5,-0.95,2007.0,1448,Wake Forest
106.0,Seton Hall,BE,13-16,5.93,103.7,97.7,72.7,-0.099,6.23,103.7,97.5,-1.55,2007.0,1371,Seton Hall
107.0,Baylor,B12,15-16,5.81,106.9,101.1,69.4,-0.057,5.91,103.8,97.9,-8.61,2007.0,1124,Baylor
109.0,Miami FL,ACC,12-20,5.66,108.3,102.7,66.7,-0.078,9.15,105.8,96.7,-2.73,2007.0,1274,Miami FL
122.0,Dayton,A10,19-12,4.05,101.0,97.0,66.5,0.088,2.45,102.8,100.3,2.52,2007.0,1173,Dayton
123.0,Vermont,AE,25-8,4.04,101.2,97.1,68.4,0.056,-5.82,97.0,102.9,-3.12,2007.0,1436,Vermont
126.0,South Carolina,SEC,14-16,3.91,105.4,101.5,63.7,0.067,10.04,105.7,95.7,-1.25,2007.0,1376,South Carolina
134.0,Iowa St,B12,15-16,2.62,96.7,94.1,66.6,0.038,6.29,104.1,97.9,-2.51,2007.0,1235,Iowa St
135.0,Rhode Island,A10,19-14,2.57,108.7,106.1,70.0,0.066,2.55,102.4,99.9,2.1,2007.0,1348,Rhode Island
136.0,Northwestern,B10,13-18,2.45,100.4,98.0,59.6,-0.05,8.22,104.6,96.4,-1.46,2007.0,1321,Northwestern
165.0,Northwestern,Slnd,17-15,-1.26,100.9,102.1,76.3,-0.0,-4.21,98.1,102.3,2.74,2007.0,1321,Northwestern
142.0,Cincinnati,BE,11-19,1.85,99.4,97.5,66.9,-0.031,8.45,105.8,97.4,2.7,2007.0,1153,Cincinnati
160.0,Minnesota,B10,9-22,-0.51,96.8,97.3,66.7,-0.029,9.02,104.4,95.4,1.3,2007.0,1278,Minnesota
166.0,ETSU,ASun,24-10,-1.46,94.8,96.3,72.3,0.1,-7.52,96.4,103.9,-2.18,2007.0,1190,ETSU
168.0,SMU,CUSA,14-17,-1.52,97.6,99.1,63.7,-0.049,0.44,99.0,98.5,-4.57,2007.0,1374,SMU
202.0,MTSU,SB,15-17,-4.27,94.0,98.3,63.8,0.002,-3.52,100.2,103.7,3.62,2007.0,1292,MTSU
225.0,UNC Wilmington,CAA,7-22,-6.89,95.1,102.0,68.2,-0.043,1.11,101.8,100.7,1.96,2007.0,1423,UNC Wilmington
227.0,Troy,SB,13-17,-7.06,100.5,107.5,70.0,0.018,-4.6,99.5,104.1,-0.58,2007.0,1407,Troy
231.0,New Orleans,SB,14-17,-7.12,103.4,110.6,67.4,0.004,-5.13,98.6,103.7,1.81,2007.0,1309,New Orleans
240.0,Mt St Mary's,NEC,11-20,-8.33,91.1,99.5,67.3,-0.042,-6.72,98.5,105.3,-0.81,2007.0,1291,Mt St Mary's
268.0,Princeton,Ivy,11-17,-10.41,88.0,98.4,55.3,-0.007,-5.63,98.3,103.9,-5.88,2007.0,1343,Princeton
294.0,Jacksonville St,OVC,9-21,-13.86,93.3,107.2,68.3,-0.011,-7.98,97.3,105.3,-4.18,2007.0,1240,Jacksonville St
318.0,UC Davis,ind,5-23,-17.69,89.3,107.0,71.9,0.019,-3.49,99.2,102.7,-4.17,2007.0,1413,UC Davis
319.0,S Dakota St,ind,6-24,-17.95,90.4,108.3,67.8,-0.034,-5.55,97.9,103.4,-4.98,2007.0,1355,S Dakota St
321.0,TX Southern,SWAC,14-17,-18.37,86.0,104.3,72.0,0.09,-11.82,91.7,103.5,6.67,2007.0,1411,TX Southern
323.0,Iona,MAAC,2-28,-19.0,83.8,102.8,67.9,-0.041,-4.63,98.7,103.4,-1.18,2007.0,1233,Iona
,,,,,,,,,,,,,,1195,FL Gulf Coast
,,,,,,,,,,,,,,1297,N Kentucky
,,,,,,,,,,,,,,1300,NC Central
,,,,,,,,,,,,,,1315,North Dakota
1.0,Kansas,B12,37-3,34.39,116.7,82.3,69.9,0.012,9.71,106.0,96.3,1.98,2008.0,1242,Kansas
3.0,North Carolina,ACC,36-3,29.56,118.2,88.6,75.7,0.05,10.27,104.8,94.5,2.9,2008.0,1314,North Carolina
4.0,UCLA,P10,35-4,29.27,113.9,84.6,67.3,0.047,10.87,106.4,95.5,1.84,2008.0,1417,UCLA
5.0,Wisconsin,B10,31-5,26.24,109.8,83.6,64.2,0.043,8.15,104.0,95.9,3.64,2008.0,1458,Wisconsin
6.0,Duke,ACC,28-6,25.84,112.2,86.4,75.1,-0.006,10.51,106.0,95.5,5.87,2008.0,1181,Duke
