Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Kentucky,SEC,32-4,28.5,112.8,84.3,70.4,0.051,11.1,105.9,94.8,7.02
2,Kansas,B12,30-8,28.09,111.8,83.7,75.0,-0.017,11.66,106.0,94.3,7.43
3,Pittsburgh,BE,28-5,27.82,110.7,82.9,68.5,-0.022,7.43,102.9,95.5,-4.94
4,Arizona,P10,28-4,26.35,112.3,85.9,75.8,-0.006,8.95,104.6,95.7,10.12
5,Illinois,B10,25-7,23.92,109.8,85.8,70.2,-0.029,7.84,103.3,95.4,-0.79
6,Duke,ACC,26-7,23.32,111.9,88.6,73.4,-0.03,9.76,105.0,95.2,4.06
7,Texas,B12,26-7,23.09,115.8,92.7,72.3,-0.009,10.97,104.7,93.7,5.06
8,Syracuse,BE,30-5,22.74,111.1,88.4,74.1,0.083,10.47,104.0,93.5,0.8
9,Oklahoma,B12,27-7,22.52,108.5,85.9,65.6,0.034,10.2,104.6,94.4,2.65
10,Louisville,CUSA,25-7,22.31,112.6,90.3,74.3,-0.028,7.69,103.1,95.4,7.3
11,Florida,SEC,25-8,21.75,112.7,90.9,68.1,0.009,8.77,103.5,94.7,1.42
12,Wisconsin,B10,24-8,21.65,110.8,89.2,65.0,-0.024,7.32,103.7,96.4,2.12
13,Maryland,ACC,21-10,21.63,107.5,85.8,74.2,-0.078,9.09,104.4,95.3,-1.23
14,Mississippi St,SEC,21-10,21.08,104.2,83.1,67.4,-0.06,9.27,104.3,95.1,-0.27
15,Marquette,CUSA,27-6,20.84,116.5,95.6,69.2,0.07,8.48,103.7,95.2,1.95
16,Georgia,SEC,19-8,20.45,116.1,95.7,71.1,0.012,12.65,106.0,93.4,11.15
17,St Joseph's PA,A10,23-7,20.42,105.5,85.1,67.4,-0.05,4.37,102.3,98.0,5.31
18,Michigan St,B10,22-13,19.89,106.7,86.8,67.0,-0.05,10.87,104.9,94.1,6.47
19,Notre Dame,BE,24-10,19.84,112.6,92.8,73.0,0.009,11.39,104.8,93.4,6.69
20,Xavier,A10,26-6,19.54,110.5,91.0,70.7,0.018,5.21,102.5,97.3,5.77
21,Wake Forest,ACC,25-6,19.47,111.4,91.9,70.5,0.073,8.39,103.5,95.2,-0.36
22,Connecticut,BE,23-10,19.04,107.7,88.6,74.6,0.004,9.07,104.7,95.7,-0.28
23,LSU,SEC,21-11,17.83,108.0,90.2,69.8,-0.034,7.62,102.8,95.2,-3.81
24,Oklahoma St,B12,22-10,17.33,102.3,84.9,70.0,0.003,9.78,104.0,94.3,1.53
25,BYU,MWC,23-9,17.32,105.8,88.5,68.5,-0.031,5.88,104.9,99.1,6.16
26,Creighton,MVC,29-5,17.25,109.3,92.0,71.2,0.025,0.81,100.5,99.7,2.54
27,Purdue,B10,19-11,17.21,103.8,86.6,71.9,-0.013,10.38,105.2,94.8,8.08
28,Missouri,B12,22-11,17.03,108.5,91.5,69.9,0.044,11.51,104.6,93.1,5.35
29,Memphis,CUSA,23-7,16.42,107.6,91.1,71.5,0.006,5.64,101.3,95.7,6.26
30,Arizona St,P10,20-12,16.17,110.4,94.2,70.5,-0.014,9.31,104.0,94.7,8.18
31,Butler,Horz,27-6,15.75,112.2,96.4,61.5,0.073,3.22,101.3,98.1,0.29
32,Texas Tech,B12,21-13,15.54,105.8,90.3,69.4,-0.026,9.44,104.5,95.0,-0.65
33,Gonzaga,WCC,24-9,15.3,110.0,94.7,70.0,-0.021,3.82,101.2,97.3,6.41
34,Colorado,B12,20-12,15.1,106.0,90.9,72.9,0.001,9.14,104.3,95.1,0.99
35,Georgetown,BE,19-15,14.55,103.3,88.7,74.1,-0.101,7.66,102.7,95.1,-6.16
36,Cincinnati,CUSA,17-12,14.43,101.8,87.4,69.1,-0.069,8.26,104.4,96.1,6.41
37,Stanford,P10,24-9,14.39,106.6,92.2,69.3,0.066,8.26,103.9,95.7,7.29
38,Alabama,SEC,17-12,14.39,106.2,91.8,68.3,-0.016,10.49,104.5,94.0,5.75
39,UNC Wilmington,CAA,24-7,14.35,106.4,92.0,67.5,-0.031,-2.99,96.4,99.4,-3.03
40,Dayton,A10,24-6,14.29,113.7,99.4,66.5,0.085,6.08,102.4,96.3,7.06
41,Indiana,B10,21-13,14.29,109.4,95.1,67.2,0.049,10.55,104.5,93.9,9.76
42,Georgia Tech,ACC,16-15,13.94,105.6,91.7,72.1,-0.09,9.22,104.1,94.9,0.01
43,Oregon,P10,23-10,13.91,107.9,93.9,75.0,0.032,5.6,102.4,96.8,-1.91
44,Utah,MWC,25-8,13.78,103.2,89.4,64.5,0.068,5.71,104.4,98.7,3.47
45,Providence,BE,18-14,13.54,104.2,90.7,70.3,-0.051,8.81,103.8,95.0,4.1
46,California,P10,22-9,13.4,106.2,92.8,69.6,0.062,7.33,104.1,96.7,2.38
47,Penn,Ivy,22-6,13.37,109.0,95.6,65.4,0.035,-1.22,98.1,99.3,4.03
48,Auburn,SEC,22-12,13.36,104.7,91.3,69.2,0.051,9.55,104.0,94.4,-0.42
49,Boston College,BE,19-12,12.97,113.8,100.8,71.5,0.033,8.12,103.2,95.1,3.56
50,NC State,ACC,18-13,12.97,108.1,95.1,67.8,-0.023,9.13,104.5,95.4,-3.14
51,Tulsa,WAC,23-10,12.75,104.5,91.8,70.4,-0.061,1.81,100.6,98.8,5.03
52,WI Milwaukee,Horz,23-8,12.7,105.4,92.7,73.7,0.025,1.69,101.8,100.1,-0.78
53,North Carolina,ACC,19-16,11.94,104.4,92.5,72.0,0.024,11.72,105.1,93.4,7.61
54,Seton Hall,BE,17-13,11.93,101.3,89.3,69.1,0.023,9.52,103.7,94.2,2.38
55,WKU,SB,24-9,11.55,104.9,93.4,70.1,0.036,1.73,100.8,99.0,2.19
56,S Illinois,MVC,24-7,11.49,106.8,95.3,70.8,0.063,2.13,101.0,98.9,4.11
57,Villanova,BE,15-16,11.01,103.1,92.1,71.8,-0.059,9.05,104.0,95.0,7.3
58,Tennessee,SEC,17-12,10.76,105.3,94.5,67.5,0.026,8.99,103.8,94.8,-2.11
59,Mississippi,SEC,14-15,10.73,107.4,96.6,65.6,-0.099,7.66,101.5,93.9,-4.54
60,Kansas St,B12,13-17,10.72,104.3,93.6,68.8,-0.154,7.8,102.3,94.5,-1.97
61,Michigan,B10,17-13,10.54,105.1,94.6,68.7,0.024,8.41,103.9,95.5,4.15
62,Iowa St,B12,16-14,10.46,103.2,92.7,69.7,-0.045,7.39,102.5,95.1,-7.75
63,IL Chicago,Horz,21-9,10.41,106.9,96.5,71.4,0.025,0.41,100.5,100.1,-1.48
64,Detroit,Horz,18-12,10.41,106.0,95.6,67.6,-0.089,0.95,101.0,100.0,-0.34
65,ULL,SB,19-10,10.4,104.7,94.3,73.1,-0.015,1.6,100.2,98.6,2.58
66,Holy Cross,Pat,25-5,10.23,101.7,91.5,68.3,0.064,-6.03,96.3,102.3,-2.4
67,St John's,BE,21-13,9.9,102.2,92.3,70.6,0.035,8.51,104.3,95.8,1.83
68,C Michigan,MAC,25-7,9.84,106.5,96.6,74.5,0.137,1.54,101.5,100.0,1.38
69,DePaul,CUSA,16-13,9.79,102.3,92.5,68.5,-0.003,7.17,102.8,95.7,4.95
70,Manhattan,MAAC,23-7,9.75,102.0,92.2,71.9,0.014,-2.66,98.5,101.2,-0.71
71,UNLV,MWC,21-11,9.6,104.5,94.9,72.8,0.022,4.87,102.8,98.0,2.66
72,Minnesota,B10,19-14,9.48,103.9,94.4,73.1,0.016,7.56,103.3,95.8,0.29
