Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Duke 1,ACC,31-6,31.51,115.9,84.4,71.4,-0.028,12.99,106.1,93.1,4.67
2,Connecticut 2,BE,33-6,27.62,112.9,85.3,71.6,0.011,9.09,104.2,95.1,1.63
3,Saint Joseph's 1,A10,30-2,27.04,114.2,87.2,69.4,0.061,5.9,102.9,97,7.17
4,Oklahoma St. 2,B12,31-4,26.74,113.8,87,68.2,0.03,8.01,104.3,96.3,-1.95
5,Pittsburgh 3,BE,31-5,25.27,109.5,84.3,62.9,-0.028,7.36,103.3,96,-3.09
6,Wisconsin 6,B10,25-7,25.1,111.5,86.4,63.7,0,8.73,104.6,95.9,5.88
7,Gonzaga 2,WCC,28-3,24.75,116.2,91.4,70.3,0.013,3.47,101.9,98.5,7.86
8,Georgia Tech 3,ACC,28-10,24.06,109.1,85.1,72.9,0.008,13.24,106.9,93.7,2
9,North Carolina St. 3,ACC,21-10,23.33,114.5,91.2,66.4,-0.071,13.13,106.1,93,2.37
10,Kentucky 1,SEC,27-5,22.83,109.2,86.3,69.5,0.032,9.34,104.7,95.4,5.07
11,North Carolina 6,ACC,19-11,22.69,112.6,89.9,74.3,-0.091,14.51,107.1,92.6,5.5
12,Stanford 1,P10,30-2,22.02,107.6,85.5,68.4,0.051,4,102.4,98.4,0
13,Illinois 5,B10,26-7,21.66,113.8,92.1,66.4,0.055,8.31,104,95.7,4.32
14,Wake Forest 4,ACC,21-10,21.18,117.9,96.7,73.4,-0.018,13.88,106.1,92.3,3.83
15,Mississippi St. 2,SEC,26-4,21.17,109.9,88.8,71.5,0.021,6.53,102.8,96.3,-1.19
16,Texas 3,B12,25-8,21.11,110.8,89.7,68.5,0.037,9.98,105.9,95.9,4.72
17,Cincinnati 4,CUSA,25-7,21.11,111.8,90.7,69.8,0.003,6.76,102.7,95.9,3.07
18,Kansas 4,B12,24-9,20.45,108.6,88.1,72.3,0.018,10.83,105.8,95,8.4
19,Louisville 10,CUSA,20-10,19.97,102.7,82.7,70.9,-0.078,7.8,103.8,96,7.03
20,Nevada 10,WAC,25-9,19.79,108,88.2,72,-0.038,6.95,104,97.1,5.41
21,Xavier 7,A10,26-11,19.76,109.5,89.7,67.6,-0.022,7.07,103.8,96.8,4.02
