Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
177,Troy,SB,20-13,-0.59,101.3,101.9,69.4,0.082,-2.28,99.3,101.5,5.62
178,Seattle,ind,17-14,-0.65,96.4,97,81,0.03,-3.25,98.8,102,-2.89
179,Eastern Kentucky,OVC,20-13,-0.65,106.8,107.4,64.3,-0.012,-5.61,96.5,102.1,-4.1
180,San Jose St.,WAC,14-17,-0.67,106.2,106.8,69,0.003,1.34,101.3,99.9,-2.48
181,Mount St. Mary's,NEC,16-15,-0.82,92.7,93.6,69.5,-0.066,-7.43,94.9,102.3,4.61
182,TCU,MWC,13-19,-0.83,101.7,102.5,66.4,-0.003,4.94,101.8,96.9,0.62
183,Valparaiso,Horz,15-17,-0.9,106.5,107.4,70.3,0.014,1.38,99.3,97.9,0.04
184,Portland St.,BSky,13-19,-0.97,108.5,109.4,70.2,-0.074,-0.35,100.1,100.5,3.5
185,Lehigh 16,Pat,22-11,-0.99,101.6,102.6,71.9,0.018,-9.38,93.8,103.1,-9.05
186,Quinnipiac,NEC,23-10,-1.02,100,101,70.9,-0.022,-11.56,91.7,103.2,-7.77
187,Robert Morris 15,NEC,23-12,-1.08,96.1,97.2,69.5,0.075,-7.2,94.7,101.9,2.63
188,Stony Brook,AE,22-10,-1.11,98.4,99.5,68.5,0.052,-8.2,94.1,102.3,-9.42
189,Davidson,SC,16-15,-1.19,99.6,100.8,68.8,0.01,-0.12,100.1,100.2,6.84
190,Eastern Michigan,MAC,17-15,-1.21,96.5,97.7,68.2,-0.009,-3.27,97,100.2,-4.1
191,LSU,SEC,11-20,-1.36,95.8,97.2,64.9,-0.006,6.85,103.2,96.3,-0.83
192,Rider,MAAC,17-16,-1.4,99.8,101.2,70.3,0.074,-0.22,97.9,98.1,-0.77
193,Denver,SB,19-13,-1.41,102.9,104.3,61.6,0.018,-5.08,96.5,101.6,-0.68
194,Indiana,B10,10-21,-1.55,97.7,99.3,70.1,-0.047,9.16,103.7,94.6,-2.49
195,Montana St.,BSky,15-14,-1.71,99.3,101.1,66.6,0.017,-1.85,100.5,102.4,0.71
196,Central Michigan,MAC,15-15,-1.78,97.6,99.4,66.8,-0.017,-2.77,96.6,99.4,-3.27
