Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
1,Duke 1,ACC,31-4,34.14,118.9,84.7,75.9,-0.027,10.09,107.8,97.7,7.52
2,Cincinnati 1,CUSA,31-4,30.15,116,85.9,68.6,0.002,7.45,105.2,97.8,5.41
3,Maryland 1,ACC,32-4,29.24,117.2,88,74.7,0.025,10.32,107.9,97.6,5.12
4,Kansas 1,B12,31-4,28.95,116.7,87.8,78.4,0.023,10.75,108.8,98.1,8.91
5,Oklahoma 2,B12,31-5,26.02,113,87,68.2,0.044,9.39,107.8,98.4,2.55
6,Indiana 5,B10,25-12,24.8,112,87.2,66.8,-0.049,13.66,109,95.4,13.51
7,Florida 5,SEC,22-9,24.75,113,88.3,70.9,-0.072,10.06,107,97,2.18
8,Illinois 4,B10,26-9,23.19,113.6,90.4,70.4,0.016,11.07,108.5,97.4,8.25
9,Oregon 2,P10,25-9,22.93,117.2,94.3,73.2,-0.041,8.62,106.8,98.1,-1.18
10,Kentucky 4,SEC,21-10,22.21,111.4,89.2,69.8,-0.028,13.79,109,95.3,9.87
11,Marquette 5,CUSA,26-7,21.42,111.3,89.8,66.4,0.007,5.99,104.3,98.3,0.05
12,USC 4,P10,22-10,20.66,110.7,90,71.8,-0.051,9.66,107.9,98.2,1.89
13,Arizona 3,P10,24-10,20.52,117.2,96.7,73,0.08,14.48,109.9,95.4,18.68
14,Kent St. 10,MAC,29-6,20.42,114.8,94.3,66,0.008,2.71,104.3,101.6,1.41
15,Stanford 8,P10,20-10,20.3,114.6,94.3,71.4,-0.02,10.55,108.7,98.2,3.71
16,Pittsburgh 3,BE,29-6,19.94,110.1,90.2,65.5,0.001,4.76,103,98.2,-7.05
17,Ohio St. 4,B10,24-8,19.77,114.4,94.6,67.6,0.005,8.55,105.6,97.1,2.33
18,Connecticut 2,BE,27-7,19.33,110.3,91,70.8,0.063,8.55,105.9,97.4,3.72
19,Notre Dame 8,BE,21-11,19.24,114,94.8,70.2,-0.086,7.02,103.7,96.7,-1.69
20,South Carolina,SEC,21-15,19.16,105.1,85.9,67,-0.073,11.26,107.4,96.2,2.02
21,North Carolina St. 7,ACC,23-11,19.13,111.1,92,69.1,0.012,8.95,107.5,98.5,-1.7
22,Alabama 2,SEC,27-8,18.73,111.9,93.2,69.1,0.076,9.9,106.3,96.4,2.49
23,Xavier 7,A10,26-6,18.59,109.1,90.5,67.7,0.052,5.05,105.1,100.1,5.44
24,Gonzaga 6,WCC,28-4,18.49,113.4,94.9,70.6,0.049,0.68,102,101.3,3.32
25,Georgia 3,SEC,22-9,18.47,114.6,96.1,70.4,-0.02,10.36,106.8,96.4,4.31
26,Mississippi St. 3,SEC,27-8,18.25,109.3,91,69.2,0.107,8.98,105.2,96.2,-0.36
27,Butler,Horz,26-6,17.69,109.8,92.2,63.4,-0.051,-0.92,101.8,102.7,-3.37
28,Texas 6,B12,22-12,17.64,113.9,96.3,70,-0.021,10.68,107.8,97.1,7.27
29,Missouri 12,B12,24-12,17.43,114.2,96.7,71.4,-0.01,8.29,106.6,98.3,1.29
30,Wake Forest 7,ACC,21-13,17.36,116.5,99.1,71.9,0.007,11.65,107.8,96.2,7.32
31,Texas Tech 6,B12,23-9,17.17,112.4,95.3,71.8,0.062,7.69,105.8,98.1,2.42
32,Michigan St. 10,B10,19-12,16.85,110.8,94,65.2,-0.026,11.09,107.7,96.6,5.11
33,Memphis,CUSA,26-9,16.68,110.5,93.9,71.8,-0.008,5.19,104.2,99,1.63
34,Mississippi 9,SEC,19-11,16.67,111.2,94.5,66.4,-0.04,7.9,104.7,96.8,-4.66
35,UCLA 8,P10,21-12,16.3,111.6,95.3,69.7,0.049,12.69,108.9,96.3,10.46
36,Georgetown,BE,18-11,16.1,108.5,92.4,73,-0.093,5.92,103.8,97.9,-6.07
37,California 6,P10,23-9,16.01,107.7,91.7,68.3,0.089,9.04,106.9,97.9,-0.89
38,Miami FL 5,BE,24-8,15.77,108.3,92.5,70.6,0.017,6.57,103.9,97.4,-2.52
39,Oklahoma St. 7,B12,23-9,15.74,105.7,90,67.9,0.048,7.61,106.5,98.9,2.18
40,Charlotte 9,CUSA,18-12,15.72,112.1,96.4,68.4,-0.007,9.36,105.9,96.5,7.26
41,Tulsa 12,WAC,26-7,15.59,114,98.4,71,0.001,2.52,102.4,99.8,-1.51
42,Dayton,A10,21-11,15.57,110.9,95.3,67.4,-0.042,3.95,103.5,99.6,4.08
43,Minnesota,B10,18-13,14.55,111.5,96.9,69.7,-0.044,8.42,106.3,97.9,4.33
44,Western Kentucky 9,SB,26-4,14.5,108.3,93.8,69,0.06,-0.02,101.4,101.4,-0.41
45,Utah 12,MWC,19-9,14.11,109.4,95.2,63.6,0.011,5.87,104.9,99,3.57
46,Iowa,B10,19-16,13.67,108.3,94.6,69.8,-0.059,9.48,107.2,97.8,3.44
47,Valparaiso 13,MCon,24-8,13.66,109.2,95.6,70.4,-0.031,-1.81,101.3,103.1,1.57
48,Temple,A10,19-15,13.59,112.1,98.5,64.3,-0.037,8.41,106.2,97.8,15.62
49,Southern Illinois 11,MVC,28-8,13.46,107.1,93.6,71.5,0.035,1.64,103.4,101.8,1.98
50,Wisconsin 8,B10,19-13,13.25,108.6,95.3,64.8,0.049,10.36,107.3,97,8.01
51,Hawaii 10,WAC,26-6,13.12,108.1,95,67.6,0.007,0.66,102,101.3,-4.81
52,Villanova,BE,19-13,13.08,104.6,91.5,68.6,-0.055,8.09,105.7,97.6,-0.19
53,Virginia,ACC,17-12,12.94,110.1,97.1,71.7,-0.016,8.85,106.8,98,-0.24
54,Tennessee,SEC,14-16,12.67,108.7,96.1,68.4,-0.044,12.18,107.2,95,6.16
55,Ball St.,MAC,23-12,12.66,111.3,98.6,70.4,0.012,3.28,104.1,100.8,8.5
56,Arkansas,SEC,14-15,12.59,106.6,94,73.1,-0.062,12.04,107.2,95.2,7.48
57,Syracuse,BE,23-13,12.58,104,91.4,70.5,-0.004,7.12,104.5,97.4,1.35
58,Penn 11,Ivy,25-7,12.18,108.1,95.9,66.8,-0.018,-1.81,100.7,102.5,2.3
59,Creighton 12,MVC,23-9,11.82,109.3,97.5,68.5,0.029,1.64,103.4,101.8,2.39
60,Bowling Green,MAC,23-9,11.78,109.2,97.4,67.4,0.022,2.14,104.1,102,1.58
61,Louisville,CUSA,19-13,11.74,106.1,94.4,73.6,0.009,8.48,106,97.5,5.54
62,Pepperdine 10,WCC,21-9,11.7,108.9,97.2,74,0.062,3.43,103.8,100.4,10.14
63,BYU,MWC,17-12,11.57,107.2,95.6,66.6,-0.044,6.27,105.5,99.2,4.59
64,Louisiana Tech,WAC,20-10,11.4,108,96.6,68,0.002,2.75,102.2,99.5,0.47
65,UNC Wilmington 13,CAA,23-10,11.37,105.4,94,65.3,-0.002,0.52,101.5,101,3.85
66,LSU,SEC,18-15,11.12,103.4,92.3,66.7,-0.047,8.07,105.4,97.4,-6.47
67,Wyoming 11,MWC,21-9,11.02,105.7,94.6,69.5,0.032,3.59,104,100.5,-4.39
68,Saint Joseph's,A10,19-12,10.78,112.3,101.5,69.1,-0.008,4.08,104.6,100.5,4.17
69,Arizona St.,P10,14-15,10.56,106.4,95.9,73.1,-0.09,8.7,107.3,98.6,-3.61
70,Georgia Tech,ACC,15-16,10.46,108.8,98.3,72.2,-0.022,9.46,106.9,97.5,3.34
71,Boston College 11,BE,20-12,9.95,107.2,97.3,70.3,0.04,7.14,104.1,97,-0.35
72,Tennessee Tech,OVC,24-7,9.44,107.9,98.4,69,0.003,-3.45,101.5,105,0.15
73,South Florida,CUSA,19-13,9.42,105.8,96.3,73.8,0.019,5.28,104.2,98.9,0.55
74,San Diego St. 13,MWC,20-12,9.32,104.8,95.5,71.4,0.055,5.6,105.2,99.6,1.44
75,Utah St.,BW,22-8,9.21,104.2,95,64,-0.024,-1.53,101.1,102.7,-0.05
76,St. John's 9,BE,20-12,9.03,100.6,91.6,70.9,0.089,7.23,105.4,98.1,0.89
77,UC Santa Barbara 14,BW,19-11,8.9,106.1,97.2,64.8,-0.058,0.23,101.4,101.2,2.86
78,St. Bonaventure,A10,17-13,8.63,113.9,105.3,72.4,-0.029,4.14,103.8,99.6,5.49
79,College of Charleston,SC,20-8,8.39,102.9,94.5,64.2,-0.041,-2.4,99.9,102.3,-4.79
80,Richmond,A10,22-14,8.28,102.1,93.8,62.9,0.069,4.94,104.8,99.8,4.95
81,UNLV,MWC,21-11,8.27,107.7,99.5,73.4,0.069,5.71,104.7,99,1.26
82,Fresno St.,WAC,19-15,7.85,102.2,94.3,73.1,-0.025,5.35,104.8,99.5,7.33
83,Purdue,B10,13-18,7.57,107.5,100,69.3,-0.06,10.28,107.3,97,7.87
84,Seton Hall,BE,11-18,7.15,102.8,95.7,70.8,-0.1,7.74,104.6,96.8,2.04
85,Vanderbilt,SEC,17-15,7.15,105.5,98.3,70.2,0.06,9.41,106.2,96.8,-0.69
86,Saint Louis,CUSA,15-16,6.89,95.9,89.1,66.8,-0.022,6.85,105.3,98.5,4.56
87,Colorado,B12,14-14,6.69,109.2,102.5,73.6,-0.027,6.58,105.3,98.7,-5.5
88,Auburn,SEC,12-16,6.64,96.5,89.8,71.1,-0.049,9.51,106.2,96.7,-2.25
89,East Tennessee St.,SC,15-10,6.59,104,97.4,75.3,-0.022,-0.96,100.6,101.5,0.64
90,Northwestern,B10,16-13,6.58,97.8,91.3,63.5,0.036,5.93,104.7,98.8,-4.72
91,UC Irvine,BW,20-11,6.46,105.8,99.4,66.3,0.015,-0.45,101.3,101.7,1.39
92,New Mexico,MWC,16-14,6.38,108.1,101.7,67.8,-0.022,5.16,105.1,99.9,1.37
