OriTeamName,AdjTeamName
Kentucky,Kentucky
Kansas,Kansas
Pittsburgh,Pittsburgh
Arizona,Arizona
Illinois,Illinois
Duke,Duke
Texas,Texas
Syracuse,Syracuse
Oklahoma,Oklahoma
Louisville,Louisville
Florida,Florida
Wisconsin,Wisconsin
Maryland,Maryland
Mississippi St,Mississippi St
Marquette,Marquette
Georgia,Georgia
Saint Joseph's,St Joseph's PA
Michigan St,Michigan St
Notre Dame,Notre Dame
Xavier,Xavier
Wake Forest,Wake Forest
Connecticut,Connecticut
LSU,LSU
Oklahoma St,Oklahoma St
BYU,BYU
Creighton,Creighton
Purdue,Purdue
Missouri,Missouri
Memphis,Memphis
Arizona St,Arizona St
Butler,Butler
Texas Tech,Texas Tech
Gonzaga,Gonzaga
Colorado,Colorado
Georgetown,Georgetown
Cincinnati,Cincinnati
Stanford,Stanford
Alabama,Alabama
UNC Wilmington,UNC Wilmington
Dayton,Dayton
Indiana,Indiana
Georgia Tech,Georgia Tech
Oregon,Oregon
Utah,Utah
Providence,Providence
California,California
Penn,Penn
Auburn,Auburn
Boston College,Boston College
North Carolina St,NC State
Tulsa,Tulsa
Milwaukee,WI Milwaukee
North Carolina,North Carolina
Seton Hall,Seton Hall
Western Kentucky,WKU
Southern Illinois,S Illinois
Villanova,Villanova
Tennessee,Tennessee
Mississippi,Mississippi
Kansas St,Kansas St
Michigan,Michigan
Iowa St,Iowa St
Illinois Chicago,IL Chicago
Detroit,Detroit
Louisiana Lafayette,ULL
Holy Cross,Holy Cross
St John's,St John's
Central Michigan,C Michigan
DePaul,DePaul
Manhattan,Manhattan
UNLV,UNLV
Minnesota,Minnesota
UAB,UAB
Temple,Temple
Weber St,Weber St
Ohio St,Ohio St
Florida St,Florida St
Iowa,Iowa
South Carolina,South Carolina
San Diego,San Diego
Saint Louis,St Louis
Virginia,Virginia
St Bonaventure,St Bonaventure
Nevada,Nevada
Southwest Missouri St,Missouri St
Western Michigan,W Michigan
Utah St,Utah St
New Mexico St,New Mexico St
Texas A&M,Texas A&M
USC,USC
Vanderbilt,Vanderbilt
San Diego St,San Diego St
Valparaiso,Valparaiso
UC Santa Barbara,Santa Barbara
Kent St,Kent
Richmond,Richmond
Wyoming,Wyoming
Fresno St,Fresno St
Miami FL,Miami FL
Troy St,Troy
Colorado St,Colorado St
Charlotte,Charlotte
Rutgers,Rutgers
Baylor,Baylor
Clemson,Clemson
Murray St,Murray St
UCLA,UCLA
Tulane,Tulane
Eastern Washington,E Washington
George Washington,G Washington
Drexel,Drexel
West Virginia,West Virginia
Rice,Rice
South Florida,South Florida
Hawaii,Hawaii
Rhode Island,Rhode Island
George Mason,George Mason
San Francisco,San Francisco
UC Irvine,UC Irvine
VCU,VA Commonwealth
College of Charleston,Col Charleston
Tennessee Tech,Tennessee Tech
Loyola Chicago,Loyola-Chicago
Siena,Siena
Boston University,Boston Univ
Middle Tennessee St,MTSU
Chattanooga,Chattanooga
Oregon St,Oregon St
Washington,Washington
UCF,UCF
Toledo,Toledo
Wichita St,Wichita St
Princeton,Princeton
Arkansas,Arkansas
Austin Peay,Austin Peay
Denver,Denver
Northern Illinois,N Illinois
Nebraska,Nebraska
Miami OH,Miami OH
SMU,SMU
Virginia Tech,Virginia Tech
Saint Mary's,St Mary's CA
Davidson,Davidson
Stephen F Austin,SF Austin
Bradley,Bradley
American,American Univ
East Tennessee St,ETSU
Arkansas Little Rock,Ark Little Rock
Pepperdine,Pepperdine
Vermont,Vermont
Morehead St,Morehead St
Air Force,Air Force
Oral Roberts,Oral Roberts
South Alabama,South Alabama
Fairfield,Fairfield
Yale,Yale
Sam Houston St,Sam Houston St
Brown,Brown
Arkansas St,Arkansas St
Iona,Iona
IUPUI,IUPUI
Old Dominion,Old Dominion
