Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Gonzaga 1,WCC,34-1,32.29,119.6,87.3,70.2,0.02,0.74,105.4,104.6,1.07
2,Villanova 1,BE,32-4,29.98,122.7,92.8,63.9,0.01,9.5,110,100.6,3.69
3,Florida 4,SEC,26-8,28.04,116.6,88.5,68.8,-0.045,11.78,110.3,98.5,8.29
4,North Carolina 1,ACC,29-7,27.31,121.2,93.9,70.8,0.01,10.76,111.4,100.6,3.88
5,Kentucky 2,SEC,31-5,27.24,119,91.8,72.4,0.019,10.03,109.9,99.9,3.85
6,West Virginia 4,B12,28-8,26.92,117.2,90.2,70,-0.03,10.02,109.9,99.9,-7.9
7,Kansas 1,B12,30-4,26.92,121.8,94.9,70.3,0.068,11.61,111,99.4,2.44
8,Wichita St. 10,MVC,31-5,26.28,119,92.8,67.9,-0.021,1.72,105.3,103.6,-0.17
9,Louisville 2,ACC,25-9,25.48,117.4,91.9,67.8,-0.023,11.21,111.9,100.7,4.45
10,Baylor 3,B12,27-7,25.2,118.2,93,63.5,0.009,12.58,111.8,99.2,1.75
11,SMU 6,Amer,30-5,24.61,119.9,95.3,63.3,0.003,3.18,105.5,102.3,-1.16
12,Purdue 4,B10,27-7,24.47,117.5,93.1,69,-0.01,8.5,109.5,101,-2.28
13,Virginia 5,ACC,23-11,24.2,112.4,88.2,59,-0.03,11.66,111.7,100,2.39
14,UCLA 3,P12,31-4,24.06,124.2,100.1,72.8,0.023,4.53,107.9,103.3,-4.54
15,Oregon 3,P12,31-5,23.96,118.8,94.8,66.7,0.043,6.54,108.3,101.8,0.59
16,Duke 2,ACC,28-9,23.96,121.2,97.2,68.2,0.014,11.32,111.2,99.8,0.12
17,Saint Mary's 7,WCC,29-5,23.71,118.9,95.2,60.1,0.03,0.49,104.7,104.2,-4.26
18,Arizona 2,P12,32-4,23.59,118.4,94.8,66,0.062,6.85,108.7,101.8,1.66
19,Iowa St. 5,B12,24-11,23.2,119.8,96.6,68.2,-0.019,13.86,112.8,98.9,-0.58
20,Michigan 7,B10,26-11,23.11,123,99.8,62.8,-0.011,10.49,110.3,99.8,-0.47
21,Wisconsin 8,B10,27-9,22.93,114.8,91.8,63.2,0.013,9.57,110.7,101.1,-1.35
22,Cincinnati 6,Amer,30-6,22.18,115.2,93,63.4,0.026,4.25,107.3,103.1,-0.28
23,Oklahoma St. 10,B12,20-13,22.14,126,103.8,70.2,-0.071,14.17,112.2,98,2.73
24,Butler 4,BE,25-8,21.15,117.8,96.7,65.6,0.004,10.4,110.7,100.3,5.24
25,Florida St. 3,ACC,26-9,20,115.7,95.7,71.2,0.039,8.86,110.8,102,-3.83
26,Notre Dame 5,ACC,26-10,19.65,118.3,98.6,66.9,0.024,10.24,110.3,100.1,-3.78
27,Creighton 6,BE,25-10,18.94,115.6,96.7,71,0.004,9.15,110.5,101.4,-1.04
28,South Carolina 7,SEC,24-10,18.68,107.5,88.8,68.5,0.003,9.12,109.7,100.6,1.93
29,Kansas St. 11,B12,21-14,17.29,113.2,95.9,66.1,-0.029,11.46,110.8,99.3,-5.13
30,Xavier 11,BE,23-13,16.94,116,99.1,67.1,0.03,11,111.1,100.1,5.44
31,Marquette 10,BE,19-13,16.54,121.1,104.5,70,-0.058,9.09,109.3,100.2,-2.12
32,Vanderbilt 9,SEC,19-16,16.46,112.8,96.3,65.6,-0.048,11.43,110.2,98.8,6.46
33,Rhode Island 11,A10,25-10,16.36,111.7,95.3,66.3,-0.033,4.46,107.1,102.7,1.69
34,Wake Forest 11,ACC,19-14,16.19,121.1,104.9,70.5,-0.044,10.56,111.3,100.8,4.75
35,Arkansas 8,SEC,26-10,16.13,116.3,100.1,69.6,0.086,8.39,108.7,100.4,-1.41
36,Minnesota 5,B10,24-10,16.1,110,93.9,69.4,0.022,8.25,109.2,100.9,-1.68
37,Northwestern 8,B10,24-12,15.92,111.6,95.7,65.5,0.019,8.49,109.3,100.8,-3.24
38,Dayton 7,A10,24-8,15.73,112.2,96.5,68.3,-0.021,3.87,106.2,102.3,2.67
39,Michigan St. 9,B10,20-15,15.65,111.7,96.1,66.7,-0.011,11.21,110.9,99.7,4.2
40,TCU,B12,21-15,15.38,113.3,97.9,66.9,-0.006,11.79,111.4,99.6,-3.04
,Strength of Schedule,NCSOS,,,,,,,,,,
Rank,Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,,,
41,Middle Tennessee 12,CUSA,31-5,15.05,112.5,97.4,64.5,0.011,-0.75,104.7,105.4,4.09
42,Miami FL 8,ACC,21-12,14.93,110,95.1,62.9,0.031,9.38,110.9,101.5,-4.28
43,Texas Tech,B12,18-14,14.87,112.7,97.8,63.6,-0.082,7.71,109.6,101.8,-11.7
44,Indiana,B10,18-16,14.6,116.5,101.9,68.3,-0.09,9.3,109.8,100.6,-5.31
45,Illinois St.,MVC,28-6,14.49,107.9,93.4,64.8,0.1,1.1,104.9,103.8,-0.44
46,Maryland 6,B10,24-9,14.4,113.3,98.9,67.1,0.061,7.88,108.6,100.7,-1.12
47,Clemson,ACC,17-16,14.3,115.1,100.8,66.3,-0.064,10.24,110.9,100.7,2.1
48,VCU 10,A10,26-9,14.26,110.5,96.2,68.6,0.026,3.9,106.1,102.2,0.99
49,Utah,P12,20-12,14.11,113.7,99.6,68.5,-0.099,3.36,106.2,102.9,-6.24
50,Virginia Tech 9,ACC,22-11,13.74,117.6,103.8,68.3,0.053,8.26,110.2,101.9,-7.74
51,Seton Hall 9,BE,21-12,13.65,109.8,96.1,67.4,0.058,9.71,110.4,100.7,-2.19
