Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
1,North Carolina 1,ACC,31-7,30.78,117,86.2,74.5,-0.046,11.47,107.7,96.2,5.4
2,Florida 1,SEC,35-5,30.18,118.5,88.4,68.3,0.029,8.89,105.4,96.5,-3.15
3,Ohio St. 1,B10,35-4,28.64,116.3,87.7,67.4,0.056,10.49,105.6,95.1,3.04
4,Georgetown 2,BE,30-7,27.75,116.9,89.2,62.3,0.008,10.82,106.1,95.3,1.8
5,Kansas 1,B12,33-5,27.18,110.7,83.5,71.1,0.032,7.56,104.9,97.3,2.26
6,UCLA 2,P10,30-6,26.52,111,84.4,66.1,0.019,11.86,107.8,95.9,9.25
7,Texas A&M 3,B12,27-7,26.33,114.5,88.1,65.8,-0.046,6.56,103.8,97.2,-1.47
8,Wisconsin 2,B10,30-6,24.88,110.7,85.9,65.9,0.034,8.88,104.9,96,2.2
9,Memphis 2,CUSA,33-4,24.17,110.8,86.6,71.2,0.031,4.14,102.2,98.1,5.51
10,Duke 6,ACC,22-11,22.76,108.2,85.5,67.6,-0.073,12.69,107.9,95.2,7.57
11,Pittsburgh 3,BE,29-8,22.39,112.8,90.4,65.3,0.033,10.3,106.3,96,3.44
12,Maryland 4,ACC,25-9,21.98,108.2,86.3,73.8,-0.027,9.49,105.7,96.2,0.75
13,Kentucky 8,SEC,22-12,21.29,112.1,90.8,68.8,-0.029,13.9,107.7,93.8,11.2
14,Indiana 7,B10,21-11,21.16,111.1,89.9,66.7,-0.058,10.31,104.9,94.6,3.83
15,Butler 5,Horz,29-7,20.93,113.1,92.2,61,0.015,5.04,103,98,8.59
16,Southern Illinois 4,MVC,29-7,20.64,105.5,84.9,63.3,0.017,9.54,106.3,96.7,5.83
17,Michigan St. 9,B10,23-12,20.53,107.8,87.3,63.3,-0.036,10.68,106.3,95.7,3.13
18,Oregon 3,P10,29-8,20.32,114,93.7,67.8,0.032,7.84,104.7,96.9,-4.73
19,Air Force,MWC,26-9,20,112.7,92.7,60.1,-0.021,4.06,103.3,99.3,-0.67
20,Louisville 6,BE,24-10,19.89,109.4,89.5,67,-0.045,8.97,105,96.1,1.34
21,Villanova 9,BE,22-11,19.72,108.3,88.6,68.9,-0.036,11.08,106.8,95.7,3.63
22,Notre Dame 6,BE,24-8,19.62,113.9,94.3,72.6,-0.018,5.2,102.7,97.5,-8.1
23,Georgia Tech 10,ACC,20-12,19.19,112.7,93.5,70.2,-0.066,10.64,106.4,95.8,1.07
24,Arizona 8,P10,20-11,18.97,115.2,96.2,70.6,-0.008,12.7,107.1,94.4,12.27
25,Texas 4,B12,25-10,18.85,114.6,95.8,70.4,-0.008,7.73,104.7,96.9,0.12
26,Mississippi St.,SEC,21-14,18.71,108.7,90,72.3,-0.114,9.23,105.9,96.7,0.64
27,Washington St. 3,P10,26-8,18.45,106.9,88.5,62.8,0.004,7.1,104.3,97.2,-3.57
28,Creighton 10,MVC,22-11,18.2,110,91.8,64.7,-0.023,8.69,104.6,95.9,4.12
29,Clemson,ACC,25-11,18.07,107.8,89.7,69.2,-0.009,9.81,106.6,96.8,-1.5
30,Tennessee 5,SEC,24-11,17.99,112.2,94.2,73.5,0.034,11.4,107,95.6,4.86
31,Purdue 9,B10,22-12,17.96,106.2,88.3,68.7,0.002,10.17,106.5,96.3,3.86
32,Xavier 9,A10,25-9,17.85,112.8,95,68.3,-0.047,4.05,103.5,99.4,6.3
33,West Virginia,BE,27-9,17.68,112.3,94.6,65.7,0.022,6.52,103.8,97.3,-4.39
34,Florida St.,ACC,22-13,17.44,111.8,94.4,68.7,-0.007,10.65,106.6,96,-0.63
35,Illinois 12,B10,23-12,17.18,102.5,85.4,64.7,-0.016,8.9,105.2,96.3,2.9
36,Missouri St.,MVC,22-11,17.17,108.6,91.4,69.7,-0.029,8.19,104.9,96.7,2.59
37,Virginia Tech 5,ACC,22-12,17.02,108.2,91.1,66.5,-0.004,9.97,106.4,96.5,1.45
38,Marquette 8,BE,24-10,16.76,107.2,90.4,69.7,0.009,8.74,105.1,96.4,-0.13
39,UNLV 7,MWC,30-7,16.49,108,91.5,68.1,0.098,6.4,106,99.6,3.7
40,USC 5,P10,25-12,16.45,107,90.5,69.1,0.017,9.37,105.2,95.8,-2.09
41,Syracuse,BE,24-11,16.36,106.8,90.5,73.9,-0.065,7.54,103.5,95.9,0.41
42,Arkansas 12,SEC,21-14,16.3,105.8,89.5,69.2,-0.022,10.72,106.9,96.2,4.17
43,Akron,MAC,26-7,15.88,110.8,94.9,66.6,-0.054,-1.98,98.9,100.9,-5.34
44,Vanderbilt 6,SEC,22-12,15.86,110.5,94.7,69.3,0.008,10.01,106.2,96.2,-0.16
45,BYU 8,MWC,25-9,15.85,112.2,96.4,69.9,0.002,4.64,103.4,98.8,1.58
46,Nevada 7,WAC,29-5,15.84,113.1,97.2,68.4,0.03,2.34,100.8,98.5,2.51
47,Boston College 7,ACC,21-12,15.79,112.8,97,67,0.026,10.99,107.4,96.5,1.62
48,Virginia 4,ACC,21-11,15.08,108.8,93.7,71.6,0.007,9.3,106.2,96.9,-0.52
49,Gonzaga 10,WCC,23-11,15,110.1,95.1,70.3,-0.032,4.55,103.3,98.7,10.14
50,DePaul,BE,20-14,14.99,107.4,92.4,64.8,-0.019,9.83,105.9,96.1,5.68
51,Winthrop 11,BSth,29-5,14.37,107.5,93.1,66.8,0.055,-3.16,99.3,102.4,10.33
52,LSU,SEC,17-15,14.17,104,89.8,65.8,-0.095,9.52,105.8,96.3,1.83
53,Bradley,MVC,22-13,14.16,111.9,97.8,69.7,0.025,9.34,105.2,95.9,5.14
54,VCU 11,CAA,28-7,14.1,111.7,97.6,67.9,0.003,0.59,100.8,100.2,0.93
55,Georgia,SEC,19-14,13.95,106.5,92.6,70.3,-0.03,10.67,106.7,96,-0.5
56,Oklahoma,B12,16-15,13.42,103.4,90,65.1,-0.133,7.74,104.4,96.7,-0.51
57,Kansas St.,B12,23-12,13.38,104.6,91.2,68.8,0.026,5.71,104,98.3,-1.42
58,Connecticut,BE,17-14,13.37,99.2,85.9,71.4,-0.11,6.95,104.1,97.1,-0.82
59,Mississippi,SEC,21-13,13.21,107.4,94.2,70.3,0.017,7.9,104.5,96.6,-4.42
60,Michigan,B10,22-13,13.17,104.2,91.1,65.3,0.038,8.53,104.8,96.2,-0.55
61,Davidson 13,SC,29-5,13.04,107.6,94.6,74.2,0.067,-1.91,99.4,101.3,4.14
62,Alabama,SEC,20-12,12.83,110,97.1,68.4,0.02,8.53,104.8,96.3,-1.9
63,Missouri,B12,18-12,12.49,107.4,95,74,-0.054,6.37,103,96.6,0.58
64,Old Dominion 12,CAA,24-9,12.44,103.8,91.3,67.7,0.014,1.46,102.3,100.8,2.72
65,Wichita St.,MVC,17-14,12.13,106.2,94,66.3,-0.07,8.24,105.8,97.6,2.17
66,Stanford 11,P10,18-13,12.08,104.7,92.7,68.2,0.028,10.19,106,95.8,3.08
67,Massachusetts,A10,24-9,12.04,104.3,92.3,73.1,0.009,0.91,102.6,101.7,0.18
68,Washington,P10,19-13,11.95,108.4,96.5,71.4,0.018,8.01,105.2,97.2,-0.98
69,Northern Iowa,MVC,18-13,11.18,104,92.8,64.8,-0.013,7.48,105.9,98.5,0.26
70,Iowa,B10,17-14,10.88,106.4,95.5,68.2,-0.006,8.01,103.8,95.8,-0.49
71,Providence,BE,18-13,10.68,107.5,96.8,71.6,-0.024,6.89,104.5,97.6,-0.47
72,Texas Tech 10,B12,21-13,10.67,107.6,96.9,67.4,0.058,8.05,104.9,96.9,3.57
73,Drexel,CAA,23-9,10.44,99.4,88.9,67.2,0.05,1.56,102.5,100.9,5.61
74,Oklahoma St.,B12,22-13,10.37,104.9,94.5,68.3,0.045,8.17,105.3,97.1,0.85
75,North Carolina St.,ACC,20-16,10.19,108,97.8,68.8,0.049,10.41,106.1,95.7,-3.33
76,Appalachian St.,SC,25-8,10.07,106.9,96.8,69.3,0.076,-0.38,100.4,100.7,10.1
77,Santa Clara,WCC,21-10,9.93,103.3,93.3,65.8,0.036,2.11,102.4,100.3,4.64
78,California,P10,16-17,9.75,107.5,97.8,66.7,-0.02,10.2,105.8,95.6,4.49
79,San Diego St.,MWC,22-11,9.72,100.3,90.6,71.5,0.052,4.78,104.4,99.6,-0.7
80,Hawaii,WAC,18-13,9.7,100.2,90.5,71.8,-0.093,2.47,102.2,99.8,3.16
81,Kent St.,MAC,21-11,9.66,100.7,91,67.8,0.002,1.42,101.6,100.2,1.59
82,Nebraska,B12,17-14,8.76,104.8,96.1,65.1,-0.012,6.69,103.5,96.8,0.26
83,Evansville,MVC,14-17,8.28,108.9,100.6,66.2,-0.071,6.27,104.7,98.4,-2.31
84,Loyola Chicago,Horz,21-11,8.27,106.1,97.8,66.4,0,1.54,101.7,100.1,1.66
85,Auburn,SEC,17-15,8.19,102.8,94.6,72.6,0.009,8.87,105.7,96.8,-2.1
86,Illinois St.,MVC,15-16,8.19,102.5,94.3,67.4,-0.06,6.29,104,97.7,-2.43
87,Oral Roberts 14,MCon,23-11,8.18,102.7,94.5,68.7,-0.007,-0.6,101.3,101.9,4.04
88,Miami OH 14,MAC,18-15,8.11,100.9,92.8,61,-0.022,3.7,102.2,98.5,5.52
89,George Mason,CAA,18-15,7.76,102.7,94.9,63.2,-0.071,0.89,101.2,100.3,4.16
90,Utah St.,WAC,23-12,7.76,107.2,99.5,66.2,0.039,2.28,101.7,99.4,0.11
