Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Florida 3,SEC,33-6,27.56,113.8,86.2,69.8,-0.011,8.32,104.7,96.4,-4.71
2,Duke 1,ACC,32-4,26.98,115.7,88.7,73,0.048,10.75,105.3,94.5,8.2
3,Texas 2,B12,30-7,25.23,113.5,88.3,67,0.038,8.32,103.5,95.2,2.85
4,Connecticut 1,BE,30-4,24.82,113.4,88.6,72.6,0.078,9.29,104.6,95.3,-1.45
5,Villanova 1,BE,28-5,23.98,111.7,87.7,69.1,0.081,10.75,105.3,94.6,3.94
6,Memphis 1,CUSA,33-4,23.01,109.1,86.1,74.6,-0.007,5.07,101.6,96.5,9.3
7,UCLA 2,P10,32-7,22.86,108.7,85.8,64.8,0.021,8.77,104.5,95.8,5.61
8,Illinois 4,B10,26-7,22.71,110.6,87.9,65.2,-0.019,7.62,103.8,96.2,-1.18
9,Kansas 4,B12,25-8,22.69,106.5,83.8,71,-0.043,7.19,103.6,96.5,2.89
10,North Carolina 3,ACC,23-8,21.65,111.8,90.2,73.2,-0.009,9.81,105.1,95.3,2.74
11,LSU 4,SEC,27-9,21.52,106.1,84.5,70.5,0.008,10.75,105.3,94.6,4.82
12,Pittsburgh 5,BE,25-8,21.19,108.4,87.2,68.2,-0.031,8.91,105.5,96.6,-2.67
13,Georgetown 7,BE,23-10,20.74,112.1,91.4,61,-0.026,9.4,105,95.6,-2.26
14,Ohio St. 2,B10,26-6,20.25,109.2,89,68,0.028,7.71,104.5,96.8,0.84
15,Washington 5,P10,26-7,19.69,111.3,91.6,73.7,0.008,6.64,103.1,96.5,-2.56
16,West Virginia 6,BE,22-11,19.1,112.7,93.6,65.1,-0.047,10.68,105.5,94.8,1.61
17,Tennessee 2,SEC,22-8,18.99,113.7,94.7,73.4,0.012,9.83,105.1,95.2,2.67
18,Boston College 4,ACC,28-8,18.19,113.8,95.6,65.3,0.024,7.61,104.2,96.6,-3.79
19,Arkansas 8,SEC,22-10,18.07,108.5,90.4,69.6,-0.061,7.22,103.3,96.1,-0.79
20,South Carolina,SEC,23-15,18.02,110.5,92.5,63,-0.056,10.28,105.5,95.2,2.25
21,George Mason 11,CAA,27-8,17.85,106.5,88.7,65.5,0.017,3.86,102.2,98.3,1.99
22,Iowa 3,B10,25-9,17.83,100.3,82.5,67.6,0.047,8.37,105,96.7,1.82
23,Arizona 8,P10,20-13,16.85,108.2,91.3,71,-0.038,10.68,105,94.3,9.99
24,Kentucky 8,SEC,22-13,16.68,110.7,94,67.3,0,10.53,105.4,94.9,5.35
25,Bradley 13,MVC,22-11,16.12,104.3,88.2,71.6,-0.019,6.76,102.4,95.7,-1.36
26,Michigan,B10,22-11,15.69,109.7,94,68.7,0.012,9.14,104.3,95.2,2.52
27,Michigan St. 6,B10,22-12,15.67,111.9,96.2,67.6,0.004,9.31,103.7,94.4,1.04
28,Wichita St. 7,MVC,26-9,15.66,107.8,92.2,65.7,0.032,6.4,102.1,95.7,2.02
29,Notre Dame,BE,16-14,15.57,113.2,97.6,67.4,-0.144,8.79,105.8,97,-0.97
30,Northern Iowa 10,MVC,23-10,15.52,105.8,90.3,62.3,-0.025,6.45,101.7,95.2,1.89
31,Texas A&M 12,B12,22-9,15.52,102.6,87.1,66.6,-0.008,5.5,102.5,97,-6.75
32,North Carolina St. 10,ACC,22-10,15.51,108.8,93.3,67.6,0.013,7.63,104.6,97,-3.62
33,Gonzaga 3,WCC,29-4,15.32,114.9,99.6,70,0.036,5.48,102,96.5,9.77
34,Indiana 6,B10,19-12,15.22,106.4,91.2,69.7,-0.011,9.45,105.6,96.2,1.12
35,Missouri St.,MVC,22-9,15.18,107.2,92,71.5,0.04,6.4,102.1,95.7,3.74
36,Marquette 7,BE,20-11,15.03,108.6,93.5,71,-0.011,9.28,105.8,96.5,0.79
37,Nevada 5,WAC,27-6,14.8,106,91.2,68.9,0.025,2.57,100.9,98.4,4.05
38,Wisconsin 9,B10,19-12,14.68,108,93.3,68.2,-0.023,8.97,104.1,95.1,3.97
39,Florida St.,ACC,20-10,14.67,106.8,92.2,71.1,-0.032,6.76,103.7,97,-7.99
40,Air Force 13,MWC,24-7,14.63,110.3,95.7,58.1,-0.001,1.44,100.1,98.6,-4.1
41,UNC Wilmington 9,CAA,25-8,14.43,103.3,88.9,66.1,-0.005,1.43,100.6,99.2,-0.42
42,Saint Joseph's,A10,19-14,14.42,105.6,91.2,65.2,-0.064,6.61,103.2,96.6,8.72
43,George Washington 8,A10,27-3,14.37,107.2,92.8,73.5,0.105,-0.32,98.5,98.9,-11.66
44,Cincinnati,BE,21-13,14,107.1,93.1,71.6,-0.001,10.45,104.8,94.4,5.56
45,Louisville,BE,21-13,13.86,105.3,91.4,67.3,-0.042,7.97,104.7,96.7,-1.76
46,Oklahoma 6,B12,20-9,13.73,109.1,95.4,65.3,0.05,7.06,103,96,2.16
47,California 7,P10,20-11,13.39,107,93.6,65,0.021,8.55,104.3,95.8,2.84
48,Southern Illinois 11,MVC,22-11,13.22,99.2,86,63.9,0.033,5.72,100.7,95,0.63
49,Vanderbilt,SEC,17-13,13.17,110.5,97.4,65.3,-0.029,9.26,105.5,96.2,0.32
50,Syracuse 5,BE,23-12,12.86,106,93.1,71.6,0.077,10.22,105.2,95,0.72
51,Creighton,MVC,20-10,12.83,103.4,90.6,65.7,0.001,6.15,101.4,95.3,1.21
52,San Diego St. 11,MWC,24-9,12.51,109.2,96.7,69.2,0,2.75,100.9,98.1,-0.26
53,Xavier 14,A10,21-11,12.5,107.2,94.7,67.8,-0.066,3.06,101.1,98,-1
54,Oklahoma St.,B12,17-16,12.45,103.8,91.4,68.2,-0.096,6.99,103.9,96.9,1.25
55,Miami FL,ACC,18-16,12.43,107.2,94.7,64.5,-0.039,9.67,105.2,95.6,0.3
56,Bucknell 9,Pat,27-5,12.38,102.3,89.9,64.6,0.093,-3.27,97.2,100.4,5.17
57,UAB 9,CUSA,24-7,12.33,105.3,93,71.5,0.059,1.47,98.9,97.4,1.64
58,Maryland,ACC,19-13,12.31,103.3,91,76.3,-0.021,8.88,105.3,96.4,1.07
59,Clemson,ACC,19-13,12.21,102.3,90.1,71.8,-0.049,6.59,103.4,96.8,-3.03
60,Alabama 10,SEC,18-13,12.15,109.1,96.9,66.2,0.005,10.17,105.1,94.9,5.51
61,Butler,Horz,20-13,11.67,110.8,99.2,61.7,-0.073,0.84,99.9,99.1,2.77
62,Milwaukee 11,Horz,22-9,11.59,104.6,93,70.7,0.017,1.53,101.8,100.2,4.06
63,Hofstra,CAA,26-7,11.46,107.7,96.2,68.9,0.097,1.92,99.7,97.7,-3.53
64,Iona 13,MAAC,23-8,11.1,105.8,94.7,73.2,0.024,0.21,102.8,102.5,2.22
65,Oregon,P10,15-18,11.04,108.1,97.1,66.2,-0.143,7.86,103.3,95.4,0.76
66,Temple,A10,17-15,11.03,105.1,94.1,62.9,-0.05,7.02,103.2,96.2,10.54
67,Old Dominion,CAA,24-10,11,103.2,92.2,68.1,0.056,2.45,101.5,99,1.34
68,Utah St. 12,WAC,23-9,10.59,109.3,98.8,64.7,0.026,1.95,99.9,98,-0.76
69,Pacific 13,BW,24-8,10.59,106,95.4,66.1,0.011,-1.94,99.8,101.8,0.57
70,Kent St. 12,MAC,25-9,10.27,104.5,94.2,68.8,0.019,0.92,100.5,99.5,-0.64
71,Rutgers,BE,19-14,10.14,105,94.8,67.2,-0.003,7,103,96,-0.83
72,Colorado,B12,20-10,10.09,106.1,96,72.3,0.049,5.07,101.9,96.9,-3.94
73,Houston,CUSA,21-10,10,99.8,89.8,71.4,-0.014,1.9,99.8,97.9,2.82
74,Virginia Tech,ACC,14-16,9.97,104.6,94.7,66.5,-0.148,6.44,102.7,96.3,-5.83
75,Winthrop 15,BSth,23-8,9.9,100.5,90.6,67.4,-0.027,-4.67,99.5,104.1,6.27
76,Iowa St.,B12,16-14,9.77,107.4,97.6,73.1,-0.051,7.59,103.1,95.5,4.29
77,Kansas St.,B12,15-13,9.39,102.2,92.8,66.7,-0.097,4.93,102.8,97.9,-1.96
78,Stanford,P10,16-14,9.32,101.9,92.6,67.2,0.006,8.02,104.3,96.3,0.36
79,Wake Forest,ACC,17-17,9.26,107,97.8,69.5,-0.034,8.98,104.9,96,-1.43
80,Providence,BE,12-15,9.2,108.4,99.2,71.9,-0.057,9.74,105.8,96,3.65
81,Minnesota,B10,16-15,9.14,100.7,91.6,67.7,-0.016,8.03,103.7,95.6,-1.13
